col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,division
,Sheriff - Democrat,Mayor - Democrat,,,,,,1
,Jewell Williams,Jim Kenney,Anthony Hardy Williams,Lynne M Abraham,Nelson Diaz,Doug Oliver,T Milton Street Sr,1
Jewell Williams,0,10,14,4,1,1,0,1
Jim Kenney,,19,0,0,0,0,0,1
Anthony Hardy Williams,,,4,0,0,0,0,1
Lynne M Abraham,,,,4,0,0,0,1
Nelson Diaz,,,,,5,0,0,1
Doug Oliver,,,,,,0,0,1
T Milton Street Sr,,,,,,,1,1
Total,30,29,18,8,6,1,1,1
,Mayor - Democrat,,,,,,Sheriff - Democrat,2
,Jim Kenney,Anthony Hardy Williams,Lynne M Abraham,Nelson Diaz,Doug Oliver,T Milton Street Sr,Jewell Williams,2
Jim Kenney,31,0,0,0,0,0,14,2
Anthony Hardy Williams,,6,0,0,0,0,10,2
Lynne M Abraham,,,4,0,0,0,4,2
Nelson Diaz,,,,4,0,0,1,2
Doug Oliver,,,,,1,0,3,2
T Milton Street Sr,,,,,,0,3,2
Jewell Williams,,,,,,,0,2
Total,45,16,8,5,4,3,35,2
,Mayor - Democrat,,,,,,Sheriff - Democrat,3
,Jim Kenney,Lynne M Abraham,Anthony Hardy Williams,Doug Oliver,Nelson Diaz,T Milton Street Sr,Jewell Williams,3
Jim Kenney,23,0,0,0,0,0,10,3
Lynne M Abraham,,4,0,0,0,0,3,3
Anthony Hardy Williams,,,1,0,0,0,5,3
Doug Oliver,,,,1,0,0,1,3
Nelson Diaz,,,,,0,0,2,3
T Milton Street Sr,,,,,,1,0,3
Jewell Williams,,,,,,,0,3
Total,33,7,6,2,2,1,21,3
,Sheriff - Democrat,Mayor - Democrat,,,,,,4
,Jewell Williams,Jim Kenney,Anthony Hardy Williams,Lynne M Abraham,Nelson Diaz,Doug Oliver,T Milton Street Sr,4
Jewell Williams,0,33,17,4,6,5,1,4
Jim Kenney,,31,0,0,0,0,0,4
Anthony Hardy Williams,,,11,0,0,0,0,4
Lynne M Abraham,,,,6,0,0,0,4
Nelson Diaz,,,,,4,0,0,4
Doug Oliver,,,,,,1,0,4
T Milton Street Sr,,,,,,,0,4
Total,66,64,28,10,10,6,1,4
,Mayor - Democrat,,,,,,Sheriff - Democrat,5
,Jim Kenney,Anthony Hardy Williams,Lynne M Abraham,Doug Oliver,Nelson Diaz,T Milton Street Sr,Jewell Williams,5
Jim Kenney,24,0,0,0,0,0,16,5
Anthony Hardy Williams,,4,0,0,0,0,9,5
Lynne M Abraham,,,2,0,0,0,3,5
Doug Oliver,,,,0,0,0,4,5
Nelson Diaz,,,,,1,0,0,5
T Milton Street Sr,,,,,,0,1,5
Jewell Williams,,,,,,,0,5
Total,40,13,5,4,1,1,33,5
,Mayor - Democrat,,,,,,Sheriff - Democrat,6
,Jim Kenney,Anthony Hardy Williams,Lynne M Abraham,Nelson Diaz,Doug Oliver,T Milton Street Sr,Jewell Williams,6
Jim Kenney,25,0,0,0,0,0,18,6
Anthony Hardy Williams,,11,0,0,0,0,7,6
Lynne M Abraham,,,2,0,0,0,10,6
Nelson Diaz,,,,1,0,0,4,6
Doug Oliver,,,,,0,0,1,6
T Milton Street Sr,,,,,,0,1,6
Jewell Williams,,,,,,,1,6
Total,43,18,12,5,1,1,42,6
,Mayor - Democrat,,,,,,Sheriff - Democrat,7
,Jim Kenney,Anthony Hardy Williams,Lynne M Abraham,Doug Oliver,Nelson Diaz,T Milton Street Sr,Jewell Williams,7
Jim Kenney,34,0,0,0,0,0,28,7
Anthony Hardy Williams,,13,0,0,0,0,12,7
Lynne M Abraham,,,5,0,0,0,11,7
Doug Oliver,,,,0,0,0,4,7
Nelson Diaz,,,,,1,0,3,7
T Milton Street Sr,,,,,,3,0,7
Jewell Williams,,,,,,,0,7
Total,62,25,16,4,4,3,58,7
,Sheriff - Democrat,Mayor - Democrat,,,,,,8
,Jewell Williams,Jim Kenney,Anthony Hardy Williams,Lynne M Abraham,Doug Oliver,Nelson Diaz,T Milton Street Sr,8
Jewell Williams,0,40,19,7,6,3,2,8
Jim Kenney,,29,0,0,0,0,0,8
Anthony Hardy Williams,,,9,0,0,0,0,8
Lynne M Abraham,,,,9,0,0,0,8
Doug Oliver,,,,,1,0,0,8
Nelson Diaz,,,,,,3,0,8
T Milton Street Sr,,,,,,,0,8
Total,77,69,28,16,7,6,2,8
,Sheriff - Democrat,Mayor - Democrat,,,,,,9
,Jewell Williams,Jim Kenney,Anthony Hardy Williams,Lynne M Abraham,Doug Oliver,Nelson Diaz,T Milton Street Sr,9
Jewell Williams,2,50,21,8,5,5,0,9
Jim Kenney,,35,0,0,0,0,0,9
Anthony Hardy Williams,,,2,0,0,0,0,9
Lynne M Abraham,,,,10,0,0,0,9
Doug Oliver,,,,,3,0,0,9
Nelson Diaz,,,,,,0,0,9
T Milton Street Sr,,,,,,,0,9
Total,91,85,23,18,8,5,0,9
,Mayor - Democrat,,,,,,Sheriff - Democrat,10
