col_1,col_2,division
,District Council 6th District - Democrat,1
,Bobby Henon,1
Bobby Henon,140,1
Total,140,1
,District Council 6th District - Democrat,2
,Bobby Henon,2
Bobby Henon,153,2
Total,153,2
,District Council 6th District - Democrat,3
,Bobby Henon,3
Bobby Henon,64,3
Total,64,3
,District Council 6th District - Democrat,4
,Bobby Henon,4
Bobby Henon,182,4
Total,182,4
,District Council 6th District - Democrat,5
,Bobby Henon,5
Bobby Henon,41,5
Total,41,5
,District Council 6th District - Democrat,6
,Bobby Henon,6
Bobby Henon,32,6
Total,32,6
,District Council 6th District - Democrat,7
,Bobby Henon,7
Bobby Henon,168,7
Total,168,7
,District Council 6th District - Democrat,8
,Bobby Henon,8
Bobby Henon,64,8
Total,64,8
,District Council 6th District - Democrat,9
,Bobby Henon,9
Bobby Henon,109,9
Total,109,9
,District Council 6th District - Democrat,10
,Bobby Henon,10
Bobby Henon,92,10
Total,92,10
,District Council 6th District - Democrat,11
,Bobby Henon,11
Bobby Henon,86,11
Total,86,11
,District Council 6th District - Democrat,12
,Bobby Henon,12
Bobby Henon,35,12
Total,35,12
,District Council 6th District - Democrat,13
,Bobby Henon,13
Bobby Henon,44,13
Total,44,13
,District Council 6th District - Democrat,14
,Bobby Henon,14
Bobby Henon,39,14
Total,39,14
,District Council 6th District - Democrat,15
,Bobby Henon,15
Bobby Henon,70,15
Total,70,15
,District Council 6th District - Democrat,16
,Bobby Henon,16
Bobby Henon,55,16
Total,55,16
,District Council 6th District - Democrat,17
,Bobby Henon,17
Bobby Henon,93,17
Total,93,17
,District Council 6th District - Democrat,18
,Bobby Henon,18
Bobby Henon,76,18
Total,76,18
,District Council 6th District - Democrat,19
,Bobby Henon,19
Bobby Henon,75,19
Total,75,19
,District Council 6th District - Democrat,20
,Bobby Henon,20
Bobby Henon,263,20
Total,263,20
,District Council 6th District - Democrat,21
,Bobby Henon,21
Bobby Henon,63,21
Total,63,21
,District Council 6th District - Democrat,22
,Bobby Henon,22
Bobby Henon,70,22
Total,70,22
,District Council 6th District - Democrat,23
,Bobby Henon,23
Bobby Henon,108,23
Total,108,23
,District Council 6th District - Democrat,All
,Bobby Henon,All
Bobby Henon,"2,122",All
Total,"2,122",All
