col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,division
,Register Of Wills - Democrat,Council At Large - Democrat,,,,,,,,,,,,,,,,All
,Ronald R Donatucci,Allan Domb,Ed Neilson,Sherrie Cohen,Frank Rizzo,Paul Steinke,Derek S Green,Helen Gym,William K Greenlee,Thomas Wyatt,Blondell Reynolds Brown,Jenne Ayers,W Wilson Goode Jr,Isaiah Thomas,Carla M Cain,Wilson Alexander,Marnie Aument Loughrey,All
Ronald R Donatucci,102,988,676,704,715,610,601,493,500,465,399,407,312,292,286,267,191,All
Allan Domb,,169,608,471,449,511,244,300,310,312,175,162,105,136,147,102,81,All
Ed Neilson,,,100,295,309,273,149,190,325,186,166,65,120,96,67,47,53,All
Sherrie Cohen,,,,26,278,336,164,281,270,191,163,169,102,88,151,74,76,All
Frank Rizzo,,,,,49,277,146,172,215,164,101,119,119,76,100,78,77,All
Paul Steinke,,,,,,11,174,256,224,338,72,92,76,130,57,64,59,All
Derek S Green,,,,,,,31,114,154,212,157,147,118,132,83,146,62,All
Helen Gym,,,,,,,,54,124,141,126,139,112,104,118,35,64,All
William K Greenlee,,,,,,,,,7,142,177,49,122,84,34,51,44,All
Thomas Wyatt,,,,,,,,,,12,75,89,62,117,84,83,41,All
Blondell Reynolds Brown,,,,,,,,,,,8,74,155,94,62,56,33,All
Jenne Ayers,,,,,,,,,,,,18,50,43,139,100,77,All
W Wilson Goode Jr,,,,,,,,,,,,,7,120,30,31,12,All
Isaiah Thomas,,,,,,,,,,,,,,12,24,25,21,All
Carla M Cain,,,,,,,,,,,,,,,7,54,60,All
Wilson Alexander,,,,,,,,,,,,,,,,12,28,All
Marnie Aument Loughrey,,,,,,,,,,,,,,,,,1,All
Total,"2,231","1,652","1,129",943,932,866,732,716,687,656,491,482,399,382,351,307,226,All
,Register Of Wills - Democrat,Council At Large - Democrat,,,,,,,,,,,,,,,,1
,Ronald R Donatucci,Allan Domb,Ed Neilson,Sherrie Cohen,Helen Gym,Frank Rizzo,Derek S Green,Paul Steinke,Jenne Ayers,William K Greenlee,Carla M Cain,Isaiah Thomas,Wilson Alexander,Blondell Reynolds Brown,W Wilson Goode Jr,Thomas Wyatt,Marnie Aument Loughrey,1
Ronald R Donatucci,1,26,16,22,13,14,14,12,8,7,7,8,9,2,5,3,3,1
Allan Domb,,4,22,18,6,8,6,12,1,5,4,5,4,4,1,4,4,1
Ed Neilson,,,4,11,5,3,1,5,0,4,1,2,1,3,2,2,1,1
Sherrie Cohen,,,,0,8,11,5,7,7,4,8,5,2,0,1,4,1,1
Helen Gym,,,,,8,3,3,7,4,2,5,3,2,2,2,1,3,1
Frank Rizzo,,,,,,2,3,3,1,8,2,3,2,0,1,1,0,1
Derek S Green,,,,,,,0,3,6,3,4,2,2,2,0,1,2,1
Paul Steinke,,,,,,,,0,3,1,4,3,1,4,2,2,2,1
Jenne Ayers,,,,,,,,,1,1,6,1,2,0,1,2,1,1
William K Greenlee,,,,,,,,,,0,0,1,0,3,2,0,1,1
Carla M Cain,,,,,,,,,,,0,0,1,0,0,2,1,1
Isaiah Thomas,,,,,,,,,,,,1,2,2,2,1,1,1
Wilson Alexander,,,,,,,,,,,,,1,0,0,1,1,1
Blondell Reynolds Brown,,,,,,,,,,,,,,0,2,1,3,1
W Wilson Goode Jr,,,,,,,,,,,,,,,0,1,0,1
Thomas Wyatt,,,,,,,,,,,,,,,,0,1,1
Marnie Aument Loughrey,,,,,,,,,,,,,,,,,0,1
Total,54,48,34,30,26,19,17,17,13,12,11,10,10,8,8,7,6,1
,Register Of Wills - Democrat,Council At Large - Democrat,,,,,,,,,,,,,,,,2
,Ronald R Donatucci,Allan Domb,Helen Gym,Paul Steinke,Ed Neilson,Sherrie Cohen,Frank Rizzo,Thomas Wyatt,Jenne Ayers,Blondell Reynolds Brown,Derek S Green,Carla M Cain,W Wilson Goode Jr,Isaiah Thomas,William K Greenlee,Marnie Aument Loughrey,Wilson Alexander,2
Ronald R Donatucci,2,28,17,21,17,16,15,14,12,11,12,8,8,9,9,8,3,2
Allan Domb,,4,12,16,11,10,9,9,4,4,4,4,5,5,5,4,1,2
Helen Gym,,,2,10,7,12,8,9,5,4,1,7,6,3,1,0,2,2
Paul Steinke,,,,0,8,5,11,13,1,3,3,2,4,6,4,2,1,2
Ed Neilson,,,,,2,9,7,7,1,2,2,0,1,2,2,4,0,2
Sherrie Cohen,,,,,,1,7,4,5,7,1,6,5,0,2,2,1,2
Frank Rizzo,,,,,,,1,8,1,4,4,2,3,4,4,1,0,2
Thomas Wyatt,,,,,,,,1,2,1,4,2,3,2,2,3,1,2
Jenne Ayers,,,,,,,,,0,2,2,6,1,0,0,1,1,2
Blondell Reynolds Brown,,,,,,,,,,0,3,2,4,2,4,2,1,2
Derek S Green,,,,,,,,,,,0,2,1,2,4,6,2,2
Carla M Cain,,,,,,,,,,,,0,1,0,2,1,1,2
W Wilson Goode Jr,,,,,,,,,,,,,0,2,1,1,0,2
Isaiah Thomas,,,,,,,,,,,,,,0,1,2,0,2
William K Greenlee,,,,,,,,,,,,,,,0,3,0,2
