col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,division
,Council At Large - Republican,,,,,,,District Council 9th District - Republican,1
,David Oh,Terry Tracy,Daniel Tinney,Dennis M O Brien,James Williams,Matt Wolfe,Al Taubenberger,Kevin Strickland,1
David Oh,0,3,2,2,2,2,2,0,1
Terry Tracy,,0,2,2,3,2,1,0,1
Daniel Tinney,,,0,3,2,2,1,0,1
Dennis M O Brien,,,,0,2,2,1,0,1
James Williams,,,,,0,1,0,0,1
Matt Wolfe,,,,,,0,2,0,1
Al Taubenberger,,,,,,,0,0,1
Kevin Strickland,,,,,,,,0,1
Total,4,4,3,3,3,3,2,0,1
,Council At Large - Republican,,,,,,,District Council 9th District - Republican,2
,Dennis M O Brien,Al Taubenberger,Daniel Tinney,David Oh,James Williams,Terry Tracy,Matt Wolfe,Kevin Strickland,2
Dennis M O Brien,0,2,2,2,1,2,1,0,2
Al Taubenberger,,0,2,1,0,2,1,0,2
Daniel Tinney,,,0,1,0,2,1,0,2
David Oh,,,,0,1,1,0,0,2
James Williams,,,,,1,0,0,0,2
Terry Tracy,,,,,,0,1,0,2
Matt Wolfe,,,,,,,0,0,2
Kevin Strickland,,,,,,,,0,2
Total,3,2,2,2,2,2,1,0,2
,Council At Large - Republican,,,,,,,District Council 9th District - Republican,3
,Terry Tracy,David Oh,Dennis M O Brien,James Williams,Al Taubenberger,Daniel Tinney,Matt Wolfe,Kevin Strickland,3
Terry Tracy,1,2,1,1,0,0,0,0,3
David Oh,,0,1,1,0,0,0,0,3
Dennis M O Brien,,,0,0,0,0,0,0,3
James Williams,,,,0,0,0,0,0,3
Al Taubenberger,,,,,0,0,0,0,3
Daniel Tinney,,,,,,0,0,0,3
Matt Wolfe,,,,,,,0,0,3
Kevin Strickland,,,,,,,,0,3
Total,3,2,1,1,0,0,0,0,3
,Council At Large - Republican,,,,,,,District Council 9th District - Republican,4
,Terry Tracy,Al Taubenberger,David Oh,Dennis M O Brien,James Williams,Matt Wolfe,Daniel Tinney,Kevin Strickland,4
Terry Tracy,0,1,1,1,1,1,0,0,4
Al Taubenberger,,0,1,1,0,1,0,0,4
David Oh,,,0,1,0,1,0,0,4
Dennis M O Brien,,,,0,0,1,0,0,4
James Williams,,,,,0,0,0,0,4
Matt Wolfe,,,,,,0,0,0,4
Daniel Tinney,,,,,,,0,0,4
Kevin Strickland,,,,,,,,0,4
Total,2,1,1,1,1,1,0,0,4
,Council At Large - Republican,,,,,,,District Council 9th District - Republican,6
,David Oh,Terry Tracy,Dennis M O Brien,Daniel Tinney,James Williams,Matt Wolfe,Al Taubenberger,Kevin Strickland,6
David Oh,1,3,1,1,1,1,0,0,6
Terry Tracy,,0,2,1,1,1,0,0,6
Dennis M O Brien,,,0,1,1,0,0,0,6
Daniel Tinney,,,,0,1,0,0,0,6
James Williams,,,,,0,0,0,0,6
Matt Wolfe,,,,,,0,0,0,6
Al Taubenberger,,,,,,,0,0,6
Kevin Strickland,,,,,,,,0,6
Total,4,4,2,1,1,1,0,0,6
,Council At Large - Republican,,,,,,,District Council 9th District - Republican,7
,Daniel Tinney,Matt Wolfe,Al Taubenberger,David Oh,Dennis M O Brien,James Williams,Terry Tracy,Kevin Strickland,7
Daniel Tinney,0,4,3,3,3,2,1,0,7
Matt Wolfe,,0,3,3,3,2,1,0,7
Al Taubenberger,,,0,2,3,1,0,0,7
David Oh,,,,0,2,1,1,0,7
Dennis M O Brien,,,,,0,1,0,0,7
James Williams,,,,,,0,1,0,7
Terry Tracy,,,,,,,0,0,7
Kevin Strickland,,,,,,,,0,7
Total,4,4,3,3,3,2,1,0,7
,Council At Large - Republican,,,,,,,District Council 9th District - Republican,8
,Terry Tracy,Daniel Tinney,David Oh,Dennis M O Brien,James Williams,Matt Wolfe,Al Taubenberger,Kevin Strickland,8
Terry Tracy,0,3,3,3,3,1,0,0,8
Daniel Tinney,,0,3,3,3,0,0,0,8
David Oh,,,0,3,3,0,0,0,8
Dennis M O Brien,,,,0,3,0,0,0,8
James Williams,,,,,0,0,0,0,8
Matt Wolfe,,,,,,0,0,0,8
Al Taubenberger,,,,,,,0,0,8
Kevin Strickland,,,,,,,,0,8
Total,4,3,3,3,3,1,0,0,8
,Council At Large - Republican,,,,,,,District Council 9th District - Republican,9
,Al Taubenberger,David Oh,Dennis M O Brien,Daniel Tinney,James Williams,Terry Tracy,Matt Wolfe,Kevin Strickland,9
Al Taubenberger,0,3,3,2,1,1,0,0,9
David Oh,,0,3,2,1,1,0,0,9
Dennis M O Brien,,,0,2,1,1,0,0,9
Daniel Tinney,,,,0,1,1,0,0,9
James Williams,,,,,0,0,0,0,9
Terry Tracy,,,,,,0,0,0,9
Matt Wolfe,,,,,,,0,0,9
Kevin Strickland,,,,,,,,0,9
Total,3,3,3,2,1,1,0,0,9
,Council At Large - Republican,,,,,,,District Council 9th District - Republican,10
,Dennis M O Brien,James Williams,Al Taubenberger,Daniel Tinney,David Oh,Matt Wolfe,Terry Tracy,Kevin Strickland,10
Dennis M O Brien,1,0,0,0,0,0,0,0,10
James Williams,,1,0,0,0,0,0,0,10
Al Taubenberger,,,0,0,0,0,0,0,10
Daniel Tinney,,,,0,0,0,0,0,10
David Oh,,,,,0,0,0,0,10
Matt Wolfe,,,,,,0,0,0,10
Terry Tracy,,,,,,,0,0,10
Kevin Strickland,,,,,,,,0,10
Total,1,1,0,0,0,0,0,0,10
,Council At Large - Republican,,,,,,,District Council 9th District - Republican,11
,Terry Tracy,Al Taubenberger,Daniel Tinney,David Oh,Dennis M O Brien,James Williams,Matt Wolfe,Kevin Strickland,11
Terry Tracy,1,0,0,0,0,0,0,0,11
Al Taubenberger,,0,0,0,0,0,0,0,11
Daniel Tinney,,,0,0,0,0,0,0,11
David Oh,,,,0,0,0,0,0,11
Dennis M O Brien,,,,,0,0,0,0,11
James Williams,,,,,,0,0,0,11
Matt Wolfe,,,,,,,0,0,11
Kevin Strickland,,,,,,,,0,11
Total,1,0,0,0,0,0,0,0,11
,Council At Large - Republican,,,,,,,District Council 9th District - Republican,14
,David Oh,James Williams,Dennis M O Brien,Matt Wolfe,Terry Tracy,Al Taubenberger,Daniel Tinney,Kevin Strickland,14
David Oh,2,2,2,2,2,0,0,0,14
James Williams,,0,2,2,2,1,1,0,14
Dennis M O Brien,,,0,2,2,0,0,0,14
Matt Wolfe,,,,0,2,0,0,0,14
Terry Tracy,,,,,0,0,0,0,14
Al Taubenberger,,,,,,0,1,0,14
Daniel Tinney,,,,,,,0,0,14
Kevin Strickland,,,,,,,,0,14
Total,4,3,2,2,2,1,1,0,14
,Council At Large - Republican,,,,,,,District Council 9th District - Republican,15
,David Oh,Dennis M O Brien,Matt Wolfe,Terry Tracy,Al Taubenberger,Daniel Tinney,James Williams,Kevin Strickland,15
David Oh,1,2,2,2,1,2,1,3,15
Dennis M O Brien,,0,2,3,2,1,1,3,15
Matt Wolfe,,,0,2,1,1,1,3,15
Terry Tracy,,,,0,2,1,1,3,15
Al Taubenberger,,,,,0,1,0,2,15
Daniel Tinney,,,,,,0,0,2,15
James Williams,,,,,,,0,1,15
Kevin Strickland,,,,,,,,0,15
Total,4,3,3,3,2,2,1,4,15
,Council At Large - Republican,,,,,,,District Council 9th District - Republican,16
,Dennis M O Brien,Al Taubenberger,Daniel Tinney,Matt Wolfe,David Oh,Terry Tracy,James Williams,Kevin Strickland,16
Dennis M O Brien,0,3,3,3,2,2,1,2,16
Al Taubenberger,,0,2,2,2,1,1,1,16
Daniel Tinney,,,0,3,1,2,0,2,16
Matt Wolfe,,,,0,1,2,0,2,16
David Oh,,,,,0,0,1,0,16
Terry Tracy,,,,,,0,0,2,16
James Williams,,,,,,,0,0,16
Kevin Strickland,,,,,,,,0,16
Total,4,3,3,3,2,2,1,2,16
,Council At Large - Republican,,,,,,,District Council 9th District - Republican,17
,James Williams,David Oh,Matt Wolfe,Terry Tracy,Daniel Tinney,Al Taubenberger,Dennis M O Brien,Kevin Strickland,17
James Williams,0,3,2,3,1,1,0,0,17
David Oh,,0,1,3,0,1,0,0,17
Matt Wolfe,,,0,1,2,1,0,0,17
Terry Tracy,,,,0,0,1,0,0,17
Daniel Tinney,,,,,0,0,0,0,17
Al Taubenberger,,,,,,0,0,0,17
Dennis M O Brien,,,,,,,0,0,17
Kevin Strickland,,,,,,,,0,17
Total,4,3,3,3,2,1,0,0,17
,Council At Large - Republican,,,,,,,District Council 9th District - Republican,18
,David Oh,Daniel Tinney,Dennis M O Brien,Terry Tracy,Al Taubenberger,James Williams,Matt Wolfe,Kevin Strickland,18
David Oh,1,2,3,3,2,2,1,4,18
Daniel Tinney,,0,2,0,1,0,1,3,18
Dennis M O Brien,,,0,1,2,0,1,2,18
Terry Tracy,,,,0,1,2,1,3,18
