col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,division
,Justice Of The Supreme Court - Democrat,,,,,,Mayor - Democrat,,,,,,1
,Kevin M Dougherty,Anne E Lazarus,Christine Donohue,David Wecht,Dwayne D Woodruff,John Henry Foradora,Nelson Diaz,Jim Kenney,Anthony Hardy Williams,Lynne M Abraham,T Milton Street Sr,Doug Oliver,1
Kevin M Dougherty,1,18,16,7,2,1,8,15,8,6,0,0,1
Anne E Lazarus,,0,15,5,3,2,10,9,2,6,0,0,1
Christine Donohue,,,0,5,1,0,8,6,4,5,0,0,1
David Wecht,,,,3,0,0,5,4,4,1,2,0,1
Dwayne D Woodruff,,,,,0,1,2,0,1,1,0,0,1
John Henry Foradora,,,,,,0,1,1,0,0,0,0,1
Nelson Diaz,,,,,,,9,0,0,0,0,0,1
Jim Kenney,,,,,,,,4,0,0,0,0,1
Anthony Hardy Williams,,,,,,,,,7,0,0,0,1
Lynne M Abraham,,,,,,,,,,2,0,0,1
T Milton Street Sr,,,,,,,,,,,0,0,1
Doug Oliver,,,,,,,,,,,,0,1
Total,38,27,23,19,4,2,25,23,20,9,2,0,1
,Justice Of The Supreme Court - Democrat,,,,,,Mayor - Democrat,,,,,,2
,Kevin M Dougherty,Anne E Lazarus,David Wecht,Christine Donohue,John Henry Foradora,Dwayne D Woodruff,Jim Kenney,Nelson Diaz,Anthony Hardy Williams,Lynne M Abraham,Doug Oliver,T Milton Street Sr,2
Kevin M Dougherty,2,14,14,10,4,1,21,7,6,7,1,0,2
Anne E Lazarus,,0,6,7,6,2,8,5,4,4,1,0,2
David Wecht,,,0,8,0,1,10,3,4,3,1,0,2
Christine Donohue,,,,0,4,0,6,4,7,2,0,0,2
John Henry Foradora,,,,,1,0,4,1,2,1,0,0,2
Dwayne D Woodruff,,,,,,0,2,0,0,1,0,0,2
Jim Kenney,,,,,,,3,0,0,0,0,0,2
Nelson Diaz,,,,,,,,13,0,0,0,0,2
Anthony Hardy Williams,,,,,,,,,4,0,0,0,2
Lynne M Abraham,,,,,,,,,,2,0,0,2
Doug Oliver,,,,,,,,,,,1,0,2
T Milton Street Sr,,,,,,,,,,,,0,2
Total,44,22,21,19,9,3,30,26,15,10,2,0,2
,Justice Of The Supreme Court - Democrat,,,,,,Mayor - Democrat,,,,,,3
,Kevin M Dougherty,Anne E Lazarus,Christine Donohue,David Wecht,Dwayne D Woodruff,John Henry Foradora,Nelson Diaz,Jim Kenney,Anthony Hardy Williams,Lynne M Abraham,Doug Oliver,T Milton Street Sr,3
Kevin M Dougherty,1,17,11,10,3,1,10,12,5,4,2,0,3
Anne E Lazarus,,0,10,9,1,2,11,5,4,5,1,0,3
Christine Donohue,,,1,3,1,0,7,4,3,3,0,0,3
David Wecht,,,,0,1,1,6,3,3,2,1,0,3
Dwayne D Woodruff,,,,,0,0,1,1,1,0,0,0,3
