col_1,col_2,col_3,division
,Judge Of The Superior Court - Republican,District Council 9th District - Republican,1
,Emil Giordano,Kevin Strickland,1
Emil Giordano,5,0,1
Kevin Strickland,,0,1
Total,5,0,1
,Judge Of The Superior Court - Republican,District Council 9th District - Republican,2
,Emil Giordano,Kevin Strickland,2
Emil Giordano,3,0,2
Kevin Strickland,,0,2
Total,3,0,2
,Judge Of The Superior Court - Republican,District Council 9th District - Republican,3
,Emil Giordano,Kevin Strickland,3
Emil Giordano,2,0,3
Kevin Strickland,,0,3
Total,2,0,3
,Judge Of The Superior Court - Republican,District Council 9th District - Republican,4
,Emil Giordano,Kevin Strickland,4
Emil Giordano,1,0,4
Kevin Strickland,,0,4
Total,1,0,4
,Judge Of The Superior Court - Republican,District Council 9th District - Republican,6
,Emil Giordano,Kevin Strickland,6
Emil Giordano,4,0,6
Kevin Strickland,,0,6
Total,4,0,6
,Judge Of The Superior Court - Republican,District Council 9th District - Republican,7
,Emil Giordano,Kevin Strickland,7
Emil Giordano,4,0,7
Kevin Strickland,,0,7
Total,4,0,7
,Judge Of The Superior Court - Republican,District Council 9th District - Republican,8
,Emil Giordano,Kevin Strickland,8
Emil Giordano,4,0,8
Kevin Strickland,,0,8
Total,4,0,8
,Judge Of The Superior Court - Republican,District Council 9th District - Republican,9
,Emil Giordano,Kevin Strickland,9
Emil Giordano,3,0,9
Kevin Strickland,,0,9
Total,3,0,9
,Judge Of The Superior Court - Republican,District Council 9th District - Republican,11
,Emil Giordano,Kevin Strickland,11
Emil Giordano,1,0,11
Kevin Strickland,,0,11
Total,1,0,11
,Judge Of The Superior Court - Republican,District Council 9th District - Republican,14
,Emil Giordano,Kevin Strickland,14
Emil Giordano,4,0,14
Kevin Strickland,,0,14
Total,4,0,14
,Judge Of The Superior Court - Republican,District Council 9th District - Republican,15
,Emil Giordano,Kevin Strickland,15
Emil Giordano,1,4,15
Kevin Strickland,,0,15
Total,5,4,15
,Judge Of The Superior Court - Republican,District Council 9th District - Republican,16
,Emil Giordano,Kevin Strickland,16
Emil Giordano,2,2,16
Kevin Strickland,,0,16
Total,4,2,16
,Judge Of The Superior Court - Republican,District Council 9th District - Republican,17
,Emil Giordano,Kevin Strickland,17
Emil Giordano,4,0,17
Kevin Strickland,,0,17
Total,4,0,17
,District Council 9th District - Republican,Judge Of The Superior Court - Republican,18
,Kevin Strickland,Emil Giordano,18
Kevin Strickland,2,4,18
Emil Giordano,,1,18
Total,6,5,18
,Judge Of The Superior Court - Republican,District Council 9th District - Republican,19
,Emil Giordano,Kevin Strickland,19
Emil Giordano,0,5,19
Kevin Strickland,,0,19
Total,5,5,19
,Judge Of The Superior Court - Republican,District Council 9th District - Republican,21
,Emil Giordano,Kevin Strickland,21
Emil Giordano,1,0,21
Kevin Strickland,,0,21
Total,1,0,21
,Judge Of The Superior Court - Republican,District Council 9th District - Republican,22
,Emil Giordano,Kevin Strickland,22
Emil Giordano,2,0,22
Kevin Strickland,,0,22
Total,2,0,22
,Judge Of The Superior Court - Republican,District Council 9th District - Republican,24
,Emil Giordano,Kevin Strickland,24
Emil Giordano,0,8,24
Kevin Strickland,,0,24
Total,8,8,24
,Judge Of The Superior Court - Republican,District Council 9th District - Republican,25
,Emil Giordano,Kevin Strickland,25
Emil Giordano,1,1,25
Kevin Strickland,,0,25
Total,2,1,25
,Judge Of The Superior Court - Republican,District Council 9th District - Republican,All
,Emil Giordano,Kevin Strickland,All
Emil Giordano,43,24,All
Kevin Strickland,,2,All
Total,67,26,All
