col_1,col_2,col_3,division
,Mayor - Republican,Judge Of The Municipal Court - Republican,1
,Melissa Murray Bailey,Christine Hope,1
Melissa Murray Bailey,2,7,1
Christine Hope,,0,1
Total,9,7,1
,Judge Of The Municipal Court - Republican,Mayor - Republican,2
,Christine Hope,Melissa Murray Bailey,2
Christine Hope,2,9,2
Melissa Murray Bailey,,2,2
Total,11,11,2
,Judge Of The Municipal Court - Republican,Mayor - Republican,3
,Christine Hope,Melissa Murray Bailey,3
Christine Hope,1,0,3
Melissa Murray Bailey,,1,3
Total,1,1,3
,Mayor - Republican,Judge Of The Municipal Court - Republican,4
,Melissa Murray Bailey,Christine Hope,4
Melissa Murray Bailey,2,7,4
Christine Hope,,0,4
Total,9,7,4
,Judge Of The Municipal Court - Republican,Mayor - Republican,5
,Christine Hope,Melissa Murray Bailey,5
Christine Hope,0,14,5
Melissa Murray Bailey,,0,5
Total,14,14,5
,Mayor - Republican,Judge Of The Municipal Court - Republican,6
,Melissa Murray Bailey,Christine Hope,6
Melissa Murray Bailey,2,12,6
Christine Hope,,0,6
Total,14,12,6
,Judge Of The Municipal Court - Republican,Mayor - Republican,7
,Christine Hope,Melissa Murray Bailey,7
Christine Hope,1,5,7
Melissa Murray Bailey,,0,7
Total,6,5,7
,Judge Of The Municipal Court - Republican,Mayor - Republican,9
,Christine Hope,Melissa Murray Bailey,9
Christine Hope,1,2,9
Melissa Murray Bailey,,1,9
Total,3,3,9
,Mayor - Republican,Judge Of The Municipal Court - Republican,10
,Melissa Murray Bailey,Christine Hope,10
Melissa Murray Bailey,3,6,10
Christine Hope,,2,10
Total,9,8,10
,Mayor - Republican,Judge Of The Municipal Court - Republican,11
,Melissa Murray Bailey,Christine Hope,11
Melissa Murray Bailey,2,13,11
Christine Hope,,1,11
Total,15,14,11
,Judge Of The Municipal Court - Republican,Mayor - Republican,12
,Christine Hope,Melissa Murray Bailey,12
Christine Hope,1,15,12
Melissa Murray Bailey,,1,12
Total,16,16,12
,Judge Of The Municipal Court - Republican,Mayor - Republican,13
,Christine Hope,Melissa Murray Bailey,13
Christine Hope,0,1,13
Melissa Murray Bailey,,0,13
Total,1,1,13
,Mayor - Republican,Judge Of The Municipal Court - Republican,14
,Melissa Murray Bailey,Christine Hope,14
Melissa Murray Bailey,2,3,14
Christine Hope,,0,14
Total,5,3,14
,Judge Of The Municipal Court - Republican,Mayor - Republican,15
,Christine Hope,Melissa Murray Bailey,15
Christine Hope,0,1,15
Melissa Murray Bailey,,0,15
Total,1,1,15
,Mayor - Republican,Judge Of The Municipal Court - Republican,16
,Melissa Murray Bailey,Christine Hope,16
Melissa Murray Bailey,1,4,16
Christine Hope,,0,16
Total,5,4,16
,Judge Of The Municipal Court - Republican,Mayor - Republican,17
,Christine Hope,Melissa Murray Bailey,17
Christine Hope,1,4,17
Melissa Murray Bailey,,0,17
Total,5,4,17
,Mayor - Republican,Judge Of The Municipal Court - Republican,All
,Melissa Murray Bailey,Christine Hope,All
Melissa Murray Bailey,19,103,All
Christine Hope,,10,All
Total,122,113,All
