col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,division
,City Commissioners - Democrat,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,All
,Anthony Clark,Tracey L Gordon,Omar Sabir,Will Mega,Lisa M Deeley,Carol A Jenkins,Sharon Williams Losier,Joffie C Pittman,Christine Hope,Matthew Perks,Christian Dicicco,Gary S Silver,Franklin A Bennett Iii,Daniel R Sulman,All
Carol A Jenkins,,,,,,0,6,2,4,3,1,2,0,1,4
Sharon Williams Losier,,,,,,,1,26,16,9,7,5,1,1,4
Joffie C Pittman,,,,,,,,1,8,2,7,2,0,0,4
Christine Hope,,,,,,,,,1,6,2,5,2,1,4
Christian Dicicco,,,,,,,,,,2,1,2,0,1,4
Matthew Perks,,,,,,,,,,,0,1,2,1,4
Gary S Silver,,,,,,,,,,,,0,1,0,4
Franklin A Bennett Iii,,,,,,,,,,,,,0,0,4
Daniel R Sulman,,,,,,,,,,,,,,0,4
Total,52,27,15,15,13,8,51,36,29,15,15,10,3,2,4
,City Commissioners - Democrat,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,5
,Anthony Clark,Lisa M Deeley,Will Mega,Omar Sabir,Tracey L Gordon,Carol A Jenkins,Sharon Williams Losier,Christine Hope,Joffie C Pittman,Matthew Perks,Franklin A Bennett Iii,Gary S Silver,Christian Dicicco,Daniel R Sulman,5
Anthony Clark,5,9,8,3,1,2,27,15,16,13,6,4,2,1,5
Lisa M Deeley,,0,0,2,1,1,8,9,7,1,1,1,2,3,5
Will Mega,,,1,0,2,1,8,4,6,6,2,2,1,1,5
Omar Sabir,,,,1,1,0,2,3,6,2,0,1,1,2,5
Tracey L Gordon,,,,,1,0,3,5,2,2,0,0,0,2,5
Carol A Jenkins,,,,,,0,3,1,1,0,0,1,1,0,5
Sharon Williams Losier,,,,,,,6,14,17,7,2,4,2,0,5
Christine Hope,,,,,,,,1,10,3,3,2,1,4,5
Joffie C Pittman,,,,,,,,,0,9,1,2,0,2,5
Matthew Perks,,,,,,,,,,0,3,1,1,2,5
Franklin A Bennett Iii,,,,,,,,,,,0,0,1,0,5
Gary S Silver,,,,,,,,,,,,1,1,0,5
Christian Dicicco,,,,,,,,,,,,,1,0,5
Daniel R Sulman,,,,,,,,,,,,,,0,5
Total,48,14,14,11,9,4,42,25,24,15,6,6,5,5,5
,City Commissioners - Democrat,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,6
,Anthony Clark,Will Mega,Tracey L Gordon,Lisa M Deeley,Omar Sabir,Carol A Jenkins,Sharon Williams Losier,Joffie C Pittman,Christine Hope,Matthew Perks,Gary S Silver,Christian Dicicco,Daniel R Sulman,Franklin A Bennett Iii,6
Anthony Clark,11,12,7,19,9,6,53,40,33,17,6,8,5,3,6
Will Mega,,3,2,0,1,1,15,17,6,8,3,0,0,0,6
Tracey L Gordon,,,4,0,3,4,8,10,9,5,5,2,2,2,6
Lisa M Deeley,,,,1,0,0,16,14,16,0,1,2,0,1,6
Omar Sabir,,,,,1,5,13,11,12,4,4,2,2,2,6
Carol A Jenkins,,,,,,0,8,5,10,5,6,2,2,2,6
Sharon Williams Losier,,,,,,,3,38,31,14,5,5,1,3,6
Joffie C Pittman,,,,,,,,4,28,12,4,3,4,1,6
Christine Hope,,,,,,,,,0,5,7,5,5,3,6
Matthew Perks,,,,,,,,,,2,2,1,1,0,6
Gary S Silver,,,,,,,,,,,0,1,1,2,6
Christian Dicicco,,,,,,,,,,,,0,0,1,6
Daniel R Sulman,,,,,,,,,,,,,0,0,6
Franklin A Bennett Iii,,,,,,,,,,,,,,0,6
Total,83,27,24,21,21,17,67,60,49,24,15,9,6,5,6
,City Commissioners - Democrat,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,7
,Anthony Clark,Lisa M Deeley,Omar Sabir,Tracey L Gordon,Will Mega,Carol A Jenkins,Sharon Williams Losier,Christine Hope,Joffie C Pittman,Christian Dicicco,Matthew Perks,Gary S Silver,Franklin A Bennett Iii,Daniel R Sulman,7
Anthony Clark,10,5,8,8,5,5,33,19,13,14,12,10,4,2,7
Lisa M Deeley,,2,5,5,9,0,14,12,6,5,7,3,2,2,7
Omar Sabir,,,4,3,2,1,14,14,7,8,5,2,3,0,7
Tracey L Gordon,,,,1,3,3,12,15,8,6,6,8,6,0,7
Will Mega,,,,,1,1,10,7,7,4,8,3,2,1,7
Carol A Jenkins,,,,,,0,8,7,2,5,2,4,2,2,7
Sharon Williams Losier,,,,,,,4,24,12,13,12,4,3,2,7
Christine Hope,,,,,,,,1,11,13,10,5,6,0,7
Joffie C Pittman,,,,,,,,,4,2,7,4,3,1,7
Christian Dicicco,,,,,,,,,,4,2,5,2,0,7
Matthew Perks,,,,,,,,,,,0,5,1,2,7
Gary S Silver,,,,,,,,,,,,0,3,1,7
