col_1,col_2,division
,District Council 10th District - Republican,1
,Brian J O Neill,1
Brian J O Neill,17,1
Total,17,1
,District Council 10th District - Republican,2
,Brian J O Neill,2
Brian J O Neill,26,2
Total,26,2
,District Council 10th District - Republican,3
,Brian J O Neill,3
Brian J O Neill,30,3
Total,30,3
,District Council 10th District - Republican,4
,Brian J O Neill,4
Brian J O Neill,22,4
Total,22,4
,District Council 10th District - Republican,5
,Brian J O Neill,5
Brian J O Neill,19,5
Total,19,5
,District Council 10th District - Republican,6
,Brian J O Neill,6
Brian J O Neill,20,6
Total,20,6
,District Council 10th District - Republican,7
,Brian J O Neill,7
Brian J O Neill,42,7
Total,42,7
,District Council 10th District - Republican,8
,Brian J O Neill,8
Brian J O Neill,28,8
Total,28,8
,District Council 10th District - Republican,9
,Brian J O Neill,9
Brian J O Neill,28,9
Total,28,9
,District Council 10th District - Republican,10
,Brian J O Neill,10
Brian J O Neill,36,10
Total,36,10
,District Council 10th District - Republican,11
,Brian J O Neill,11
Brian J O Neill,38,11
Total,38,11
,District Council 10th District - Republican,12
,Brian J O Neill,12
Brian J O Neill,20,12
Total,20,12
,District Council 10th District - Republican,13
,Brian J O Neill,13
Brian J O Neill,27,13
Total,27,13
,District Council 10th District - Republican,14
,Brian J O Neill,14
Brian J O Neill,16,14
Total,16,14
,District Council 10th District - Republican,15
,Brian J O Neill,15
Brian J O Neill,33,15
Total,33,15
,District Council 10th District - Republican,16
,Brian J O Neill,16
Brian J O Neill,25,16
Total,25,16
,District Council 10th District - Republican,17
,Brian J O Neill,17
Brian J O Neill,97,17
Total,97,17
,District Council 10th District - Republican,18
,Brian J O Neill,18
Brian J O Neill,29,18
Total,29,18
,District Council 10th District - Republican,19
,Brian J O Neill,19
Brian J O Neill,26,19
Total,26,19
,District Council 10th District - Republican,20
,Brian J O Neill,20
Brian J O Neill,28,20
Total,28,20
,District Council 10th District - Republican,21
,Brian J O Neill,21
Brian J O Neill,38,21
Total,38,21
,District Council 10th District - Republican,22
,Brian J O Neill,22
Brian J O Neill,28,22
Total,28,22
,District Council 10th District - Republican,23
,Brian J O Neill,23
Brian J O Neill,31,23
Total,31,23
,District Council 10th District - Republican,24
,Brian J O Neill,24
Brian J O Neill,31,24
Total,31,24
,District Council 10th District - Republican,25
,Brian J O Neill,25
Brian J O Neill,35,25
Total,35,25
,District Council 10th District - Republican,26
,Brian J O Neill,26
Brian J O Neill,27,26
Total,27,26
,District Council 10th District - Republican,27
,Brian J O Neill,27
Brian J O Neill,12,27
Total,12,27
,District Council 10th District - Republican,28
,Brian J O Neill,28
Brian J O Neill,35,28
Total,35,28
,District Council 10th District - Republican,29
,Brian J O Neill,29
Brian J O Neill,78,29
Total,78,29
,District Council 10th District - Republican,30
,Brian J O Neill,30
Brian J O Neill,39,30
Total,39,30
,District Council 10th District - Republican,31
,Brian J O Neill,31
Brian J O Neill,22,31
Total,22,31
,District Council 10th District - Republican,32
,Brian J O Neill,32
Brian J O Neill,20,32
Total,20,32
,District Council 10th District - Republican,33
,Brian J O Neill,33
Brian J O Neill,44,33
Total,44,33
,District Council 10th District - Republican,34
,Brian J O Neill,34
Brian J O Neill,37,34
Total,37,34
,District Council 10th District - Republican,35
,Brian J O Neill,35
Brian J O Neill,30,35
Total,30,35
,District Council 10th District - Republican,36
,Brian J O Neill,36
Brian J O Neill,37,36
Total,37,36
,District Council 10th District - Republican,37
,Brian J O Neill,37
Brian J O Neill,18,37
Total,18,37
,District Council 10th District - Republican,38
,Brian J O Neill,38
Brian J O Neill,31,38
Total,31,38
,District Council 10th District - Republican,39
,Brian J O Neill,39
Brian J O Neill,32,39
Total,32,39
,District Council 10th District - Republican,40
,Brian J O Neill,40
Brian J O Neill,25,40
Total,25,40
,District Council 10th District - Republican,41
,Brian J O Neill,41
Brian J O Neill,21,41
Total,21,41
,District Council 10th District - Republican,42
,Brian J O Neill,42
Brian J O Neill,35,42
Total,35,42
,District Council 10th District - Republican,43
,Brian J O Neill,43
Brian J O Neill,65,43
Total,65,43
,District Council 10th District - Republican,44
,Brian J O Neill,44
Brian J O Neill,42,44
Total,42,44
,District Council 10th District - Republican,45
,Brian J O Neill,45
Brian J O Neill,36,45
Total,36,45
,District Council 10th District - Republican,46
,Brian J O Neill,46
Brian J O Neill,72,46
Total,72,46
,District Council 10th District - Republican,All
,Brian J O Neill,All
Brian J O Neill,"1,528",All
Total,"1,528",All
