col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,division
,Justice Of The Supreme Court - Democrat,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Kevin M Dougherty,Anne E Lazarus,Christine Donohue,David Wecht,Dwayne D Woodruff,John Henry Foradora,Tracy B Roman,Kai Scott,Ken Powell,Lynne M Summers,Abbe Fletman,Jennifer Schultz,Daine Grey Jr,Scott Diclaudio,Stephanie M Sawyer,Mia Roberts Perez,Betsy Wahl,Jon Marshall,Lyris Younge,Frances Fattah,Leon Goodman,Stella Tsai,Brian T Ortelere,Chris Mallios,Rainy Papademetriou,Lucretia Clemons,Deborah Watson Stokes,Shanese Johnson,Vincent N Melchiorre,Edward William Louden Jr,Rania Major,Thomas Martin,Anthony Kyriakakis,Joshua Hill,Marissa Brumbach,Wayne M D Bennett,Chris Mccabe,Leon A King Ii,Michael Fanning,Jodi Lobel,Vincent Furlong,Vince Giusini,William J Ciancaglini,Franklin A Bennett Iii,James F Berardinelli,Sandjai Weaver,Sherman Toppin,Starr Marshall Cash,Tangie M Boston,1
Kevin M Dougherty,11,40,26,20,8,3,23,26,20,24,23,20,17,20,19,17,18,16,12,17,13,14,14,16,14,12,11,11,9,10,12,8,10,9,11,11,4,9,10,7,9,8,8,5,4,5,5,3,4,1
Anne E Lazarus,,1,23,16,10,4,14,24,10,17,22,17,14,10,21,19,22,5,7,16,7,16,13,16,14,14,12,12,11,4,12,6,9,13,9,9,6,7,5,6,6,6,7,7,3,5,3,6,5,1
Christine Donohue,,,5,13,2,1,26,14,14,17,11,15,7,13,10,12,12,11,10,10,10,8,7,7,6,7,8,6,4,9,7,5,5,6,7,2,3,4,3,4,5,3,4,3,4,4,3,4,3,1
David Wecht,,,,4,4,1,15,13,17,13,14,9,9,12,5,7,6,15,15,7,10,9,10,9,7,4,5,5,7,10,4,10,4,7,2,7,8,5,2,4,2,7,5,4,3,5,4,1,0,1
Dwayne D Woodruff,,,,,1,0,0,6,2,4,4,1,6,2,5,5,5,0,1,9,3,5,4,3,4,0,3,3,2,1,1,1,2,1,0,5,3,1,2,0,1,2,2,1,1,1,2,1,1,1
John Henry Foradora,,,,,,1,0,2,1,1,2,2,2,0,2,1,2,0,0,0,0,1,1,1,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Tracy B Roman,,,,,,,1,7,17,14,10,13,6,17,11,8,10,13,16,7,10,6,4,3,3,7,6,9,4,14,7,5,2,1,6,2,2,2,4,2,5,4,2,3,3,2,1,2,3,1
Kai Scott,,,,,,,,0,11,8,18,7,14,9,15,16,10,4,10,13,2,12,6,15,10,5,6,5,9,3,3,6,6,5,6,8,5,5,7,2,2,5,3,4,1,3,3,3,1,1
Ken Powell,,,,,,,,,0,8,9,8,8,16,6,4,3,13,15,8,13,2,6,7,4,6,5,7,5,14,5,6,4,2,2,1,0,3,5,3,7,3,2,5,2,1,1,2,1,1
Lynne M Summers,,,,,,,,,,0,5,13,10,9,10,9,11,7,6,12,5,7,6,4,5,7,9,5,6,5,9,7,4,6,6,4,4,5,5,5,2,5,1,4,3,4,5,4,2,1
Abbe Fletman,,,,,,,,,,,0,11,15,10,13,14,11,6,7,8,4,8,10,15,9,6,5,3,8,4,0,3,6,5,5,7,5,2,5,4,5,4,1,2,5,3,2,0,0,1
Jennifer Schultz,,,,,,,,,,,,0,6,6,9,7,11,7,4,6,4,7,6,4,3,9,8,6,0,5,8,2,4,5,8,4,4,2,0,3,5,4,0,2,4,2,2,3,3,1
Daine Grey Jr,,,,,,,,,,,,,0,8,13,13,6,4,5,9,2,7,10,12,10,3,5,1,8,3,4,3,4,4,1,6,3,4,7,1,4,3,1,1,2,2,4,0,0,1
Scott Diclaudio,,,,,,,,,,,,,,0,3,5,5,13,15,7,10,0,4,6,3,4,3,4,6,10,5,4,2,3,2,3,1,3,7,2,5,3,3,4,3,2,4,1,0,1
Stephanie M Sawyer,,,,,,,,,,,,,,,0,15,11,2,4,10,2,11,7,13,9,5,11,6,6,1,7,1,4,3,6,6,3,2,4,3,3,1,2,1,1,1,1,2,3,1
Mia Roberts Perez,,,,,,,,,,,,,,,,0,11,1,4,10,1,14,10,14,10,5,6,2,10,1,5,2,6,5,7,6,9,2,4,7,2,2,1,0,1,2,2,2,1,1
Betsy Wahl,,,,,,,,,,,,,,,,,0,1,3,8,5,7,2,6,5,10,12,8,4,1,5,3,7,6,8,4,3,2,3,5,3,5,3,4,2,4,1,3,3,1
Jon Marshall,,,,,,,,,,,,,,,,,,0,12,6,7,1,6,1,4,3,1,3,1,12,4,7,2,0,2,2,0,2,2,1,3,2,0,3,2,2,2,0,0,1
Lyris Younge,,,,,,,,,,,,,,,,,,,1,9,8,1,3,3,2,3,3,6,3,10,4,4,2,0,2,2,2,2,3,0,2,1,0,4,0,2,2,1,1,1
Frances Fattah,,,,,,,,,,,,,,,,,,,,0,4,8,8,5,9,5,7,9,4,4,7,6,4,3,1,5,6,2,3,1,3,1,1,6,1,3,4,2,3,1
