col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,division
,Register Of Wills - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Ronald R Donatucci,Abbe Fletman,Rainy Papademetriou,Kai Scott,Stella Tsai,Chris Mallios,Brian T Ortelere,Mia Roberts Perez,Ken Powell,Anthony Kyriakakis,Betsy Wahl,Tracy B Roman,Lucretia Clemons,Leon Goodman,Jennifer Schultz,Leon A King Ii,Jodi Lobel,Stephanie M Sawyer,Vincent N Melchiorre,James F Berardinelli,Daine Grey Jr,Chris Mccabe,Lynne M Summers,Scott Diclaudio,Deborah Watson Stokes,Marissa Brumbach,Joshua Hill,Thomas Martin,Lyris Younge,Frances Fattah,Vince Giusini,Wayne M D Bennett,Michael Fanning,Rania Major,Vincent Furlong,Jon Marshall,Edward William Louden Jr,Shanese Johnson,Sandjai Weaver,William J Ciancaglini,Sherman Toppin,Franklin A Bennett Iii,Starr Marshall Cash,Tangie M Boston,All
Ronald R Donatucci,313,"1,716","1,304","1,298","1,238","1,129","1,148","1,086","1,030",970,960,913,823,755,757,634,584,566,517,508,493,443,495,483,446,431,335,322,311,313,286,267,250,264,262,252,209,173,167,154,152,103,86,84,All
Abbe Fletman,,41,"1,499","1,676","1,378","1,435","1,260","1,112","1,025","1,072",915,648,875,703,516,631,502,468,515,383,403,410,262,196,290,277,282,287,156,122,152,178,202,102,124,105,77,66,78,67,68,40,30,27,All
Rainy Papademetriou,,,23,"1,295","1,196","1,031","1,153",968,928,997,762,547,808,539,379,600,355,316,429,359,325,349,159,152,191,179,170,257,158,98,109,112,124,129,110,87,79,43,65,50,46,31,23,14,All
Kai Scott,,,,4,"1,182","1,261","1,095","1,018",912,985,772,459,821,494,333,591,385,399,457,296,351,345,126,119,222,197,230,250,141,100,97,136,176,108,67,46,38,59,55,48,39,30,24,13,All
Stella Tsai,,,,,16,965,986,"1,026",832,966,833,542,727,507,474,625,393,415,244,290,263,210,219,125,286,280,200,110,120,143,87,108,108,168,67,51,44,85,93,49,45,25,42,40,All
Chris Mallios,,,,,,27,809,838,785,782,685,315,565,357,223,453,340,336,326,324,286,239,82,125,195,131,158,135,68,63,91,104,181,40,46,30,29,16,40,50,20,23,23,14,All
Brian T Ortelere,,,,,,,24,781,872,911,599,541,738,506,301,572,278,219,355,315,258,317,123,180,107,129,143,248,118,79,91,91,97,98,93,84,78,32,48,54,64,40,14,21,All
Mia Roberts Perez,,,,,,,,7,804,772,759,518,648,440,354,499,262,444,251,242,328,166,218,132,255,214,150,104,122,121,84,101,145,119,73,42,40,92,65,48,43,28,39,32,All
Ken Powell,,,,,,,,,13,776,578,551,552,595,230,555,213,268,227,285,300,147,99,205,99,94,116,122,157,67,104,109,139,48,98,141,116,43,54,51,59,43,22,18,All
