col_1,col_2,division
,Register Of Wills - Republican,All
,Ross Feinberg,All
Ross Feinberg,453,All
Total,453,All
,Register Of Wills - Republican,1
,Ross Feinberg,1
Ross Feinberg,19,1
Total,19,1
,Register Of Wills - Republican,2
,Ross Feinberg,2
Ross Feinberg,32,2
Total,32,2
,Register Of Wills - Republican,3
,Ross Feinberg,3
Ross Feinberg,19,3
Total,19,3
,Register Of Wills - Republican,4
,Ross Feinberg,4
Ross Feinberg,28,4
Total,28,4
,Register Of Wills - Republican,5
,Ross Feinberg,5
Ross Feinberg,23,5
Total,23,5
,Register Of Wills - Republican,6
,Ross Feinberg,6
Ross Feinberg,31,6
Total,31,6
,Register Of Wills - Republican,7
,Ross Feinberg,7
Ross Feinberg,32,7
Total,32,7
,Register Of Wills - Republican,8
,Ross Feinberg,8
Ross Feinberg,32,8
Total,32,8
,Register Of Wills - Republican,9
,Ross Feinberg,9
Ross Feinberg,13,9
Total,13,9
,Register Of Wills - Republican,10
,Ross Feinberg,10
Ross Feinberg,23,10
Total,23,10
,Register Of Wills - Republican,11
,Ross Feinberg,11
Ross Feinberg,39,11
Total,39,11
,Register Of Wills - Republican,12
,Ross Feinberg,12
Ross Feinberg,9,12
Total,9,12
,Register Of Wills - Republican,13
,Ross Feinberg,13
Ross Feinberg,34,13
Total,34,13
,Register Of Wills - Republican,14
,Ross Feinberg,14
Ross Feinberg,27,14
Total,27,14
,Register Of Wills - Republican,15
,Ross Feinberg,15
Ross Feinberg,17,15
Total,17,15
,Register Of Wills - Republican,16
,Ross Feinberg,16
Ross Feinberg,19,16
Total,19,16
,Register Of Wills - Republican,17
,Ross Feinberg,17
Ross Feinberg,17,17
Total,17,17
,Register Of Wills - Republican,18
,Ross Feinberg,18
Ross Feinberg,39,18
Total,39,18
