col_1,col_2,col_3,col_4,col_5,division
,Judge Of The Superior Court - Democrat,,Judge Of The Commonwealth Court - Democrat,,All
,Alice Beck Dubow,Robert Colville,Todd Eagen,Michael Wojcik,All
Alice Beck Dubow,230,0,521,366,All
Robert Colville,,17,50,75,All
Todd Eagen,,,26,0,All
Michael Wojcik,,,,21,All
Total,"1,117",142,597,462,All
,Judge Of The Superior Court - Democrat,,Judge Of The Commonwealth Court - Democrat,,1
,Alice Beck Dubow,Robert Colville,Michael Wojcik,Todd Eagen,1
Alice Beck Dubow,11,0,12,10,1
Robert Colville,,0,3,1,1
Michael Wojcik,,,1,0,1
Todd Eagen,,,,0,1
Total,33,4,16,11,1
,Judge Of The Superior Court - Democrat,,Judge Of The Commonwealth Court - Democrat,,2
,Alice Beck Dubow,Robert Colville,Todd Eagen,Michael Wojcik,2
Alice Beck Dubow,12,0,31,18,2
Robert Colville,,1,3,5,2
Todd Eagen,,,0,0,2
Michael Wojcik,,,,0,2
Total,61,9,34,23,2
,Judge Of The Superior Court - Democrat,,Judge Of The Commonwealth Court - Democrat,,3
,Alice Beck Dubow,Robert Colville,Todd Eagen,Michael Wojcik,3
Alice Beck Dubow,22,0,34,20,3
Robert Colville,,0,7,5,3
Todd Eagen,,,3,0,3
Michael Wojcik,,,,1,3
Total,76,12,44,26,3
,Judge Of The Superior Court - Democrat,,Judge Of The Commonwealth Court - Democrat,,4
,Alice Beck Dubow,Robert Colville,Todd Eagen,Michael Wojcik,4
Alice Beck Dubow,16,0,28,13,4
Robert Colville,,2,4,3,4
Todd Eagen,,,5,0,4
Michael Wojcik,,,,6,4
Total,57,9,37,22,4
,Judge Of The Superior Court - Democrat,,Judge Of The Commonwealth Court - Democrat,,5
,Alice Beck Dubow,Robert Colville,Todd Eagen,Michael Wojcik,5
Alice Beck Dubow,17,0,36,29,5
Robert Colville,,3,3,10,5
Todd Eagen,,,1,0,5
Michael Wojcik,,,,0,5
Total,82,16,40,39,5
,Judge Of The Superior Court - Democrat,,Judge Of The Commonwealth Court - Democrat,,6
,Alice Beck Dubow,Robert Colville,Todd Eagen,Michael Wojcik,6
Alice Beck Dubow,7,0,37,23,6
Robert Colville,,1,0,5,6
Todd Eagen,,,0,0,6
Michael Wojcik,,,,1,6
Total,67,6,37,29,6
,Judge Of The Superior Court - Democrat,,Judge Of The Commonwealth Court - Democrat,,7
,Alice Beck Dubow,Robert Colville,Michael Wojcik,Todd Eagen,7
Alice Beck Dubow,7,0,19,11,7
Robert Colville,,0,6,1,7
Michael Wojcik,,,0,0,7
Todd Eagen,,,,0,7
Total,37,7,25,12,7
,Judge Of The Superior Court - Democrat,,Judge Of The Commonwealth Court - Democrat,,8
,Alice Beck Dubow,Robert Colville,Todd Eagen,Michael Wojcik,8
Alice Beck Dubow,18,0,64,43,8
Robert Colville,,1,5,6,8
Todd Eagen,,,3,0,8
Michael Wojcik,,,,1,8
Total,125,12,72,50,8
,Judge Of The Superior Court - Democrat,,Judge Of The Commonwealth Court - Democrat,,9
,Alice Beck Dubow,Robert Colville,Michael Wojcik,Todd Eagen,9
Alice Beck Dubow,19,0,36,34,9
Robert Colville,,3,6,4,9
Michael Wojcik,,,1,0,9
Todd Eagen,,,,1,9
Total,89,13,43,39,9
,Judge Of The Superior Court - Democrat,,Judge Of The Commonwealth Court - Democrat,,10
,Alice Beck Dubow,Robert Colville,Todd Eagen,Michael Wojcik,10
Alice Beck Dubow,11,0,23,12,10
Robert Colville,,0,0,2,10
Todd Eagen,,,1,0,10
Michael Wojcik,,,,1,10
Total,46,2,24,15,10
,Judge Of The Superior Court - Democrat,,Judge Of The Commonwealth Court - Democrat,,11
,Alice Beck Dubow,Robert Colville,Todd Eagen,Michael Wojcik,11
Alice Beck Dubow,10,0,21,18,11
Robert Colville,,2,2,3,11
Todd Eagen,,,0,0,11
Michael Wojcik,,,,1,11
Total,49,7,23,22,11
,Judge Of The Superior Court - Democrat,,Judge Of The Commonwealth Court - Democrat,,12
,Alice Beck Dubow,Robert Colville,Todd Eagen,Michael Wojcik,12
Alice Beck Dubow,10,0,22,20,12
Robert Colville,,0,2,2,12
Todd Eagen,,,2,0,12
Michael Wojcik,,,,1,12
Total,52,4,26,23,12
,Judge Of The Superior Court - Democrat,,Judge Of The Commonwealth Court - Democrat,,13
,Alice Beck Dubow,Robert Colville,Todd Eagen,Michael Wojcik,13
Alice Beck Dubow,13,0,36,27,13
Robert Colville,,2,4,4,13
Todd Eagen,,,3,0,13
Michael Wojcik,,,,3,13
Total,76,10,43,34,13
,Judge Of The Superior Court - Democrat,,Judge Of The Commonwealth Court - Democrat,,14
,Alice Beck Dubow,Robert Colville,Todd Eagen,Michael Wojcik,14
Alice Beck Dubow,8,0,18,15,14
Robert Colville,,1,1,1,14
Todd Eagen,,,3,0,14
Michael Wojcik,,,,0,14
Total,41,3,22,16,14
,Judge Of The Superior Court - Democrat,,Judge Of The Commonwealth Court - Democrat,,15
,Alice Beck Dubow,Robert Colville,Todd Eagen,Michael Wojcik,15
Alice Beck Dubow,11,0,22,12,15
Robert Colville,,0,3,2,15
Todd Eagen,,,0,0,15
Michael Wojcik,,,,3,15
Total,45,5,25,17,15
,Judge Of The Superior Court - Democrat,,Judge Of The Commonwealth Court - Democrat,,16
,Alice Beck Dubow,Robert Colville,Todd Eagen,Michael Wojcik,16
Alice Beck Dubow,12,0,20,16,16
Robert Colville,,1,5,2,16
Todd Eagen,,,3,0,16
Michael Wojcik,,,,1,16
Total,48,8,28,19,16
,Judge Of The Superior Court - Democrat,,Judge Of The Commonwealth Court - Democrat,,17
,Alice Beck Dubow,Robert Colville,Todd Eagen,Michael Wojcik,17
Alice Beck Dubow,13,0,41,10,17
Robert Colville,,0,1,5,17
Todd Eagen,,,1,0,17
Michael Wojcik,,,,0,17
Total,64,6,43,15,17
,Judge Of The Superior Court - Democrat,,Judge Of The Commonwealth Court - Democrat,,18
,Alice Beck Dubow,Robert Colville,Todd Eagen,Michael Wojcik,18
Alice Beck Dubow,13,0,33,23,18
Robert Colville,,0,4,5,18
Todd Eagen,,,0,0,18
Michael Wojcik,,,,0,18
Total,69,9,37,28,18
