col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,division
,Mayor - Democrat,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,All
,Anthony Hardy Williams,Jim Kenney,Doug Oliver,Lynne M Abraham,Nelson Diaz,T Milton Street Sr,Sharon Williams Losier,Joffie C Pittman,Christine Hope,Matthew Perks,Gary S Silver,Christian Dicicco,Franklin A Bennett Iii,Daniel R Sulman,All
Anthony Hardy Williams,257,0,0,0,0,0,231,149,112,67,36,31,35,19,All
Jim Kenney,,230,0,0,0,0,144,136,135,81,59,63,53,44,All
Doug Oliver,,,42,0,0,0,21,16,15,4,14,8,10,7,All
Lynne M Abraham,,,,30,0,0,26,11,25,10,11,8,8,7,All
Nelson Diaz,,,,,23,0,6,7,6,10,3,4,4,3,All
T Milton Street Sr,,,,,,18,12,10,5,8,1,2,5,3,All
Sharon Williams Losier,,,,,,,9,188,174,82,44,46,36,19,All
Joffie C Pittman,,,,,,,,3,121,80,28,20,27,39,All
Christine Hope,,,,,,,,,6,38,40,52,47,20,All
Matthew Perks,,,,,,,,,,2,30,24,22,30,All
Gary S Silver,,,,,,,,,,,1,22,25,12,All
Christian Dicicco,,,,,,,,,,,,0,27,12,All
Franklin A Bennett Iii,,,,,,,,,,,,,0,10,All
Daniel R Sulman,,,,,,,,,,,,,,0,All
Total,592,550,85,80,46,43,459,338,311,185,126,118,115,84,All
,Mayor - Democrat,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,1
,Jim Kenney,Anthony Hardy Williams,Lynne M Abraham,Doug Oliver,Nelson Diaz,T Milton Street Sr,Sharon Williams Losier,Joffie C Pittman,Matthew Perks,Christine Hope,Daniel R Sulman,Christian Dicicco,Gary S Silver,Franklin A Bennett Iii,1
Jim Kenney,28,0,0,0,0,0,25,30,23,17,13,14,8,7,1
Anthony Hardy Williams,,23,0,0,0,0,14,8,6,5,2,0,4,1,1
Lynne M Abraham,,,0,0,0,0,7,2,2,6,4,3,4,1,1
Doug Oliver,,,,1,0,0,4,1,0,3,0,2,2,3,1
Nelson Diaz,,,,,1,0,0,2,3,1,2,1,0,1,1
T Milton Street Sr,,,,,,2,0,0,1,0,0,0,0,0,1
Sharon Williams Losier,,,,,,,0,21,12,21,4,8,10,3,1
Joffie C Pittman,,,,,,,,0,17,10,13,5,3,3,1
Matthew Perks,,,,,,,,,0,9,12,4,6,2,1
Christine Hope,,,,,,,,,,0,2,7,5,6,1
Daniel R Sulman,,,,,,,,,,,0,1,3,0,1
Christian Dicicco,,,,,,,,,,,,0,5,4,1
Gary S Silver,,,,,,,,,,,,,0,1,1
Franklin A Bennett Iii,,,,,,,,,,,,,,0,1
Total,86,41,11,7,5,3,51,43,35,33,21,20,18,13,1
,Mayor - Democrat,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,2
,Anthony Hardy Williams,Jim Kenney,Doug Oliver,Lynne M Abraham,T Milton Street Sr,Nelson Diaz,Sharon Williams Losier,Joffie C Pittman,Christine Hope,Matthew Perks,Gary S Silver,Christian Dicicco,Franklin A Bennett Iii,Daniel R Sulman,2
Anthony Hardy Williams,22,0,0,0,0,0,42,38,22,13,5,6,4,2,2
Jim Kenney,,16,0,0,0,0,14,9,17,5,9,7,6,1,2
Doug Oliver,,,9,0,0,0,6,6,2,0,4,1,2,1,2
Lynne M Abraham,,,,3,0,0,3,2,2,3,0,1,3,0,2
T Milton Street Sr,,,,,0,0,5,3,2,3,0,1,0,0,2
Nelson Diaz,,,,,,2,1,0,1,1,1,0,1,0,2
Sharon Williams Losier,,,,,,,1,41,29,15,6,6,5,0,2
Joffie C Pittman,,,,,,,,1,23,13,8,6,4,3,2
Christine Hope,,,,,,,,,1,4,8,7,7,1,2
Matthew Perks,,,,,,,,,,0,4,2,2,0,2
Gary S Silver,,,,,,,,,,,0,1,4,3,2
Christian Dicicco,,,,,,,,,,,,0,5,1,2
Franklin A Bennett Iii,,,,,,,,,,,,,0,0,2
Daniel R Sulman,,,,,,,,,,,,,,0,2
Total,81,45,20,10,6,5,74,60,48,26,19,16,16,4,2
,Mayor - Democrat,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,3
,Jim Kenney,Anthony Hardy Williams,Doug Oliver,Lynne M Abraham,T Milton Street Sr,Nelson Diaz,Sharon Williams Losier,Christine Hope,Joffie C Pittman,Christian Dicicco,Franklin A Bennett Iii,Gary S Silver,Matthew Perks,Daniel R Sulman,3
Jim Kenney,31,0,0,0,0,0,24,33,22,11,10,9,9,7,3
Anthony Hardy Williams,,22,0,0,0,0,25,15,9,4,4,5,6,5,3
Doug Oliver,,,6,0,0,0,2,1,0,2,1,2,0,0,3
Lynne M Abraham,,,,5,0,0,2,2,2,0,0,1,0,0,3
T Milton Street Sr,,,,,2,0,1,0,0,0,1,0,1,0,3
Nelson Diaz,,,,,,0,2,0,1,1,2,0,1,0,3
Sharon Williams Losier,,,,,,,1,30,18,7,5,5,8,4,3
Christine Hope,,,,,,,,1,22,10,5,7,6,7,3
Joffie C Pittman,,,,,,,,,0,1,4,4,5,7,3
Christian Dicicco,,,,,,,,,,0,5,4,3,2,3
Franklin A Bennett Iii,,,,,,,,,,,0,5,5,3,3
Gary S Silver,,,,,,,,,,,,0,3,0,3
Matthew Perks,,,,,,,,,,,,,0,1,3
Daniel R Sulman,,,,,,,,,,,,,,0,3
Total,85,56,10,8,4,3,58,54,36,18,18,17,17,13,3
,Mayor - Democrat,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,4
,Anthony Hardy Williams,Jim Kenney,Doug Oliver,Lynne M Abraham,T Milton Street Sr,Nelson Diaz,Sharon Williams Losier,Joffie C Pittman,Christine Hope,Matthew Perks,Gary S Silver,Franklin A Bennett Iii,Daniel R Sulman,Christian Dicicco,4
Anthony Hardy Williams,56,0,0,0,0,0,33,20,18,10,5,4,1,3,4
Jim Kenney,,38,0,0,0,0,11,15,14,7,11,6,7,5,4
Doug Oliver,,,6,0,0,0,5,2,3,2,2,2,1,0,4
Lynne M Abraham,,,,6,0,0,2,1,3,1,0,1,1,0,4
T Milton Street Sr,,,,,4,0,1,3,1,2,0,2,1,0,4
Nelson Diaz,,,,,,1,1,1,0,1,0,0,0,0,4
Sharon Williams Losier,,,,,,,2,24,21,12,3,5,3,4,4
Joffie C Pittman,,,,,,,,0,15,13,3,3,2,1,4
Christine Hope,,,,,,,,,1,5,6,8,2,4,4
Matthew Perks,,,,,,,,,,0,2,2,3,1,4
Gary S Silver,,,,,,,,,,,0,3,3,2,4
Franklin A Bennett Iii,,,,,,,,,,,,0,3,1,4
Daniel R Sulman,,,,,,,,,,,,,0,1,4
Christian Dicicco,,,,,,,,,,,,,,0,4
Total,105,76,13,10,9,2,56,43,41,23,18,15,11,8,4
,Mayor - Democrat,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,5
,Anthony Hardy Williams,Jim Kenney,Doug Oliver,Lynne M Abraham,Nelson Diaz,T Milton Street Sr,Sharon Williams Losier,Joffie C Pittman,Christine Hope,Matthew Perks,Christian Dicicco,Franklin A Bennett Iii,Gary S Silver,Daniel R Sulman,5
Anthony Hardy Williams,22,0,0,0,0,0,16,10,10,3,3,4,0,0,5
Jim Kenney,,14,0,0,0,0,10,4,3,4,2,1,2,1,5
Doug Oliver,,,2,0,0,0,1,2,1,1,2,0,2,1,5
Lynne M Abraham,,,,0,0,0,3,2,3,1,1,0,0,0,5
Nelson Diaz,,,,,2,0,1,0,2,1,0,0,0,1,5
T Milton Street Sr,,,,,,2,0,2,0,1,0,1,0,0,5
Sharon Williams Losier,,,,,,,0,14,12,6,3,2,4,1,5
Joffie C Pittman,,,,,,,,0,10,3,0,0,1,1,5
