col_1,col_2,division
,Sheriff - Democrat,All
,Jewell Williams,All
Jewell Williams,"1,322",All
Total,"1,322",All
,Sheriff - Democrat,1
,Jewell Williams,1
Jewell Williams,80,1
Total,80,1
,Sheriff - Democrat,2
,Jewell Williams,2
Jewell Williams,88,2
Total,88,2
,Sheriff - Democrat,3
,Jewell Williams,3
Jewell Williams,90,3
Total,90,3
,Sheriff - Democrat,4
,Jewell Williams,4
Jewell Williams,68,4
Total,68,4
,Sheriff - Democrat,5
,Jewell Williams,5
Jewell Williams,62,5
Total,62,5
,Sheriff - Democrat,6
,Jewell Williams,6
Jewell Williams,72,6
Total,72,6
,Sheriff - Democrat,7
,Jewell Williams,7
Jewell Williams,111,7
Total,111,7
,Sheriff - Democrat,8
,Jewell Williams,8
Jewell Williams,91,8
Total,91,8
,Sheriff - Democrat,9
,Jewell Williams,9
Jewell Williams,76,9
Total,76,9
,Sheriff - Democrat,10
,Jewell Williams,10
Jewell Williams,32,10
Total,32,10
,Sheriff - Democrat,11
,Jewell Williams,11
Jewell Williams,42,11
Total,42,11
,Sheriff - Democrat,12
,Jewell Williams,12
Jewell Williams,91,12
Total,91,12
,Sheriff - Democrat,13
,Jewell Williams,13
Jewell Williams,68,13
Total,68,13
,Sheriff - Democrat,14
,Jewell Williams,14
Jewell Williams,44,14
Total,44,14
,Sheriff - Democrat,15
,Jewell Williams,15
Jewell Williams,47,15
Total,47,15
,Sheriff - Democrat,16
,Jewell Williams,16
Jewell Williams,37,16
Total,37,16
,Sheriff - Democrat,17
,Jewell Williams,17
Jewell Williams,108,17
Total,108,17
,Sheriff - Democrat,18
,Jewell Williams,18
Jewell Williams,115,18
Total,115,18
