col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,1
,Derek S Green,Blondell Reynolds Brown,Allan Domb,Isaiah Thomas,W Wilson Goode Jr,William K Greenlee,Sherrie Cohen,Ed Neilson,Jenne Ayers,Helen Gym,Thomas Wyatt,Wilson Alexander,Frank Rizzo,Carla M Cain,Marnie Aument Loughrey,Paul Steinke,Sharon Williams Losier,Christine Hope,Matthew Perks,Joffie C Pittman,Gary S Silver,Christian Dicicco,Franklin A Bennett Iii,Daniel R Sulman,1
Derek S Green,2,26,27,24,22,29,14,22,10,2,9,7,4,4,3,2,36,24,23,19,7,6,6,1,1
Blondell Reynolds Brown,,2,16,15,21,13,13,11,8,10,4,3,2,3,2,1,22,17,16,12,3,6,3,1,1
Allan Domb,,,3,18,12,19,5,9,8,4,9,5,2,4,3,4,17,20,11,11,4,8,2,0,1
Isaiah Thomas,,,,1,16,20,10,12,3,7,2,4,5,2,2,2,17,17,7,9,4,5,6,3,1
W Wilson Goode Jr,,,,,3,16,14,15,2,3,2,3,8,1,0,4,21,20,13,12,1,5,2,3,1
William K Greenlee,,,,,,1,10,19,4,2,4,2,3,2,4,2,21,18,7,13,2,6,4,0,1
Sherrie Cohen,,,,,,,0,6,3,6,6,2,9,2,1,1,17,17,7,7,5,2,3,2,1
Ed Neilson,,,,,,,,0,1,2,1,0,0,0,0,1,12,8,7,6,2,3,2,0,1
Jenne Ayers,,,,,,,,,2,4,4,5,2,6,2,1,15,10,6,3,4,5,1,2,1
Helen Gym,,,,,,,,,,0,1,2,1,1,1,1,6,5,4,3,2,3,2,1,1
Thomas Wyatt,,,,,,,,,,,0,3,2,2,3,3,9,9,3,4,3,2,1,0,1
Wilson Alexander,,,,,,,,,,,,0,3,2,2,1,9,7,2,5,2,2,3,1,1
Frank Rizzo,,,,,,,,,,,,,0,0,0,1,8,7,4,1,2,2,0,2,1
Carla M Cain,,,,,,,,,,,,,,0,1,0,4,7,4,3,2,2,2,0,1
Marnie Aument Loughrey,,,,,,,,,,,,,,,0,2,5,3,1,2,2,1,2,0,1
Paul Steinke,,,,,,,,,,,,,,,,0,4,3,0,0,1,2,1,0,1
Sharon Williams Losier,,,,,,,,,,,,,,,,,3,28,13,21,7,7,4,1,1
Christine Hope,,,,,,,,,,,,,,,,,,0,9,16,4,10,4,2,1
Matthew Perks,,,,,,,,,,,,,,,,,,,6,4,3,1,2,1,1
Joffie C Pittman,,,,,,,,,,,,,,,,,,,,0,1,3,2,2,1
Gary S Silver,,,,,,,,,,,,,,,,,,,,,0,1,4,1,1
Christian Dicicco,,,,,,,,,,,,,,,,,,,,,,1,0,0,1
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,,,,,0,0,1
Daniel R Sulman,,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,77,49,47,44,44,42,28,27,23,14,14,13,11,8,7,7,62,47,35,31,14,13,9,8,1
,Council At Large - Democrat,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,2
,Derek S Green,Blondell Reynolds Brown,W Wilson Goode Jr,Ed Neilson,Isaiah Thomas,William K Greenlee,Helen Gym,Sherrie Cohen,Allan Domb,Jenne Ayers,Carla M Cain,Thomas Wyatt,Wilson Alexander,Frank Rizzo,Paul Steinke,Marnie Aument Loughrey,Matthew Perks,Joffie C Pittman,Sharon Williams Losier,Christine Hope,Daniel R Sulman,Gary S Silver,Christian Dicicco,Franklin A Bennett Iii,2
Derek S Green,4,35,29,26,9,11,7,10,7,9,7,6,8,3,8,2,36,19,23,14,3,4,4,3,2
Blondell Reynolds Brown,,2,46,24,14,16,17,15,6,4,5,3,2,4,1,3,31,22,16,17,8,1,6,5,2
W Wilson Goode Jr,,,3,23,11,15,13,11,3,4,3,0,4,5,1,2,28,19,12,11,6,2,5,3,2
Ed Neilson,,,,0,9,7,2,5,1,0,3,0,0,1,3,0,21,5,5,4,1,0,2,0,2
Isaiah Thomas,,,,,1,11,11,7,5,3,3,2,0,5,3,3,7,8,10,8,5,2,2,2,2
William K Greenlee,,,,,,0,14,10,5,2,0,1,3,3,2,0,3,18,14,10,5,2,2,2,2
Helen Gym,,,,,,,1,12,3,2,0,2,1,1,3,1,2,13,10,7,6,1,1,1,2
Sherrie Cohen,,,,,,,,0,2,1,6,1,0,3,0,0,7,12,9,7,3,2,3,1,2
Allan Domb,,,,,,,,,2,3,7,6,1,1,2,0,2,5,6,11,1,5,2,2,2
Jenne Ayers,,,,,,,,,,1,4,2,6,2,2,2,6,11,13,7,1,2,1,0,2
Carla M Cain,,,,,,,,,,,0,7,0,4,1,0,5,5,7,11,1,5,1,0,2
Thomas Wyatt,,,,,,,,,,,,0,1,1,2,0,2,4,4,11,1,7,1,0,2
Wilson Alexander,,,,,,,,,,,,,0,1,1,0,4,7,7,3,0,3,1,2,2
Frank Rizzo,,,,,,,,,,,,,,0,0,0,5,4,5,2,0,2,1,1,2
Paul Steinke,,,,,,,,,,,,,,,0,1,2,3,1,5,2,2,1,0,2
Marnie Aument Loughrey,,,,,,,,,,,,,,,,0,4,0,2,3,2,0,1,0,2
Matthew Perks,,,,,,,,,,,,,,,,,2,7,10,7,3,1,3,1,2
Joffie C Pittman,,,,,,,,,,,,,,,,,,0,19,12,7,4,3,3,2
Sharon Williams Losier,,,,,,,,,,,,,,,,,,,0,15,1,2,2,1,2
Christine Hope,,,,,,,,,,,,,,,,,,,,0,3,6,6,2,2
Daniel R Sulman,,,,,,,,,,,,,,,,,,,,,0,1,2,0,2
Gary S Silver,,,,,,,,,,,,,,,,,,,,,,0,0,1,2
Christian Dicicco,,,,,,,,,,,,,,,,,,,,,,,0,0,2
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,,,,,,0,2
Total,76,69,56,32,31,27,26,24,21,21,17,14,13,10,8,4,47,44,44,33,13,12,8,5,2
,Council At Large - Democrat,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,3
,Derek S Green,Isaiah Thomas,Blondell Reynolds Brown,Ed Neilson,William K Greenlee,Sherrie Cohen,W Wilson Goode Jr,Helen Gym,Jenne Ayers,Wilson Alexander,Allan Domb,Paul Steinke,Thomas Wyatt,Carla M Cain,Frank Rizzo,Marnie Aument Loughrey,Sharon Williams Losier,Joffie C Pittman,Christine Hope,Matthew Perks,Gary S Silver,Franklin A Bennett Iii,Christian Dicicco,Daniel R Sulman,3
Derek S Green,5,28,16,28,23,19,10,3,6,8,7,1,1,2,1,1,36,34,26,14,6,3,2,1,3
Isaiah Thomas,,7,6,18,18,18,4,1,0,2,3,0,1,3,1,0,23,18,17,3,5,2,1,1,3
Blondell Reynolds Brown,,,1,5,12,9,17,10,4,5,5,2,1,1,1,1,12,8,8,12,7,2,2,2,3
Ed Neilson,,,,1,20,18,6,1,1,0,2,0,1,1,0,1,22,21,18,9,2,1,1,0,3
William K Greenlee,,,,,0,23,9,9,1,0,5,1,1,0,1,1,25,17,19,7,3,0,4,0,3
Sherrie Cohen,,,,,,0,8,7,4,2,1,1,2,2,1,0,20,17,19,3,4,4,3,0,3
W Wilson Goode Jr,,,,,,,1,8,2,3,1,2,1,0,1,0,8,5,7,8,6,4,1,1,3
Helen Gym,,,,,,,,0,3,0,2,3,2,0,0,0,7,5,4,5,5,2,2,1,3
Jenne Ayers,,,,,,,,,1,5,3,1,1,1,1,0,9,6,3,5,2,3,1,0,3
Wilson Alexander,,,,,,,,,,2,2,0,1,0,0,0,7,4,2,6,3,2,0,1,3
Allan Domb,,,,,,,,,,,0,2,1,1,2,0,7,5,6,4,1,1,2,1,3
Paul Steinke,,,,,,,,,,,,0,2,0,0,1,1,3,1,0,2,1,0,1,3
