col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,division
,Register Of Wills - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Ronald R Donatucci,Ken Powell,Kai Scott,Rainy Papademetriou,Abbe Fletman,Stella Tsai,Anthony Kyriakakis,Brian T Ortelere,Chris Mallios,Betsy Wahl,Lucretia Clemons,Jodi Lobel,Sandjai Weaver,Mia Roberts Perez,Stephanie M Sawyer,Tracy B Roman,Jennifer Schultz,Leon Goodman,Daine Grey Jr,Joshua Hill,Frances Fattah,Leon A King Ii,Lynne M Summers,James F Berardinelli,Lyris Younge,Scott Diclaudio,Chris Mccabe,Deborah Watson Stokes,Vincent N Melchiorre,Marissa Brumbach,Wayne M D Bennett,Thomas Martin,Jon Marshall,Edward William Louden Jr,Vince Giusini,Rania Major,Shanese Johnson,Vincent Furlong,Michael Fanning,Sherman Toppin,Franklin A Bennett Iii,Tangie M Boston,William J Ciancaglini,Starr Marshall Cash,1
Ronald R Donatucci,25,86,80,87,81,73,75,74,62,67,62,56,47,35,35,37,36,30,32,23,22,22,22,24,23,22,20,17,18,17,19,13,16,16,17,14,15,12,12,11,9,8,8,7,1
Ken Powell,,3,79,90,78,80,83,82,69,63,65,58,58,24,19,23,17,20,24,14,10,12,9,18,13,13,5,5,5,4,9,6,15,10,8,5,5,3,8,4,5,2,2,3,1
Kai Scott,,,0,94,95,84,82,76,84,73,73,60,50,29,28,10,14,8,20,9,12,14,8,10,8,3,13,8,9,5,9,9,3,4,5,1,6,3,8,3,2,2,1,3,1
Rainy Papademetriou,,,,1,92,89,89,89,79,70,73,60,55,29,20,21,17,13,22,15,10,11,9,19,12,12,15,6,12,4,9,11,9,8,6,6,6,4,9,3,2,3,2,1,1
Abbe Fletman,,,,,0,86,78,83,84,72,74,59,53,29,25,15,21,11,15,9,4,9,8,11,3,3,13,7,7,10,8,11,5,2,2,6,1,1,6,3,2,1,0,2,1
Stella Tsai,,,,,,1,83,77,74,75,67,61,58,35,25,14,14,11,14,12,10,11,12,9,7,4,12,10,5,11,6,6,2,1,3,8,4,2,6,2,3,2,0,2,1
Anthony Kyriakakis,,,,,,,0,76,69,63,68,63,57,26,18,11,11,11,15,12,7,9,7,17,5,9,10,3,6,7,9,7,5,3,10,6,6,7,8,2,5,2,5,1,1
Brian T Ortelere,,,,,,,,0,69,63,68,59,51,23,14,11,8,11,16,11,3,8,4,18,7,11,16,1,10,5,7,8,6,6,3,4,1,3,4,4,2,2,0,2,1
Chris Mallios,,,,,,,,,0,63,62,55,43,25,22,4,10,6,11,8,3,10,2,11,1,2,9,5,5,4,4,5,0,0,1,0,2,0,9,1,0,2,2,1,1
Betsy Wahl,,,,,,,,,,1,74,65,56,22,23,15,19,9,7,8,11,10,11,3,10,3,5,14,6,13,3,7,3,4,5,5,6,4,5,5,2,3,2,4,1
Lucretia Clemons,,,,,,,,,,,2,61,54,15,12,10,13,8,3,8,3,6,5,2,4,3,7,5,8,7,2,8,2,2,1,4,2,3,4,2,2,1,3,2,1
Jodi Lobel,,,,,,,,,,,,1,50,13,13,7,10,9,4,6,8,5,9,4,6,4,4,9,5,10,2,3,2,4,6,4,3,2,4,4,3,3,2,2,1
Sandjai Weaver,,,,,,,,,,,,,0,4,7,11,12,5,2,4,9,2,9,3,4,5,1,6,3,6,3,3,5,0,6,5,4,2,0,3,6,1,3,2,1
Mia Roberts Perez,,,,,,,,,,,,,,0,22,11,13,6,13,10,8,14,10,10,4,2,10,8,4,8,4,6,1,1,1,8,5,3,6,3,1,3,0,2,1
Stephanie M Sawyer,,,,,,,,,,,,,,,0,8,16,5,15,6,9,9,11,9,6,3,6,13,4,10,4,4,0,3,6,6,9,1,4,4,4,3,2,2,1
Tracy B Roman,,,,,,,,,,,,,,,,0,19,19,12,10,9,8,12,9,14,13,0,9,3,7,5,5,14,12,7,9,8,9,5,4,0,3,2,1,1
Jennifer Schultz,,,,,,,,,,,,,,,,,0,14,8,6,6,6,11,8,8,8,2,11,5,11,6,6,10,7,5,7,4,7,1,4,4,3,3,2,1
Leon Goodman,,,,,,,,,,,,,,,,,,3,10,11,6,9,5,8,11,14,2,8,3,3,7,4,11,9,6,6,5,5,4,2,1,1,4,1,1
Daine Grey Jr,,,,,,,,,,,,,,,,,,,1,7,7,8,7,14,11,10,5,4,3,2,4,3,9,10,8,2,6,2,6,5,1,2,1,2,1
Joshua Hill,,,,,,,,,,,,,,,,,,,,2,5,6,7,5,4,5,6,5,5,1,6,7,3,2,5,3,6,3,3,3,2,0,2,2,1
Frances Fattah,,,,,,,,,,,,,,,,,,,,,0,9,9,1,9,5,3,10,3,1,3,2,1,4,4,2,9,4,2,4,3,3,2,1,1
Leon A King Ii,,,,,,,,,,,,,,,,,,,,,,0,5,2,9,6,3,8,3,2,5,4,2,2,5,4,6,3,2,4,1,1,0,3,1
Lynne M Summers,,,,,,,,,,,,,,,,,,,,,,,0,2,7,1,2,6,3,6,1,4,3,3,5,7,8,1,1,4,4,2,0,1,1
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,0,5,13,3,1,5,2,5,3,6,6,6,3,3,4,3,2,1,2,4,0,1
Lyris Younge,,,,,,,,,,,,,,,,,,,,,,,,,0,13,1,6,1,0,3,3,10,13,5,3,5,5,1,5,2,0,0,1,1
Scott Diclaudio,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,3,2,5,1,8,10,7,4,4,6,2,2,3,2,4,1,1
Chris Mccabe,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,11,5,3,8,0,0,2,1,2,2,4,1,0,4,3,2,1
Deborah Watson Stokes,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,6,3,0,2,1,2,5,5,2,2,0,1,3,2,2,1
Vincent N Melchiorre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,5,7,2,1,4,3,4,4,5,1,1,3,4,4,1
Marissa Brumbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1,3,4,2,3,2,1,2,5,2,3,1
