col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,division
,District Council 2nd District - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Kenyatta Johnson,Ori C Feibush,Ken Powell,Abbe Fletman,Rainy Papademetriou,Kai Scott,Tracy B Roman,Scott Diclaudio,Brian T Ortelere,Stella Tsai,Chris Mallios,Mia Roberts Perez,Vincent N Melchiorre,Marissa Brumbach,Jennifer Schultz,Anthony Kyriakakis,Vince Giusini,Lyris Younge,Leon Goodman,Betsy Wahl,Lynne M Summers,Daine Grey Jr,Stephanie M Sawyer,James F Berardinelli,Lucretia Clemons,Thomas Martin,Michael Fanning,Deborah Watson Stokes,Jodi Lobel,Jon Marshall,Frances Fattah,Leon A King Ii,Chris Mccabe,Edward William Louden Jr,Vincent Furlong,William J Ciancaglini,Joshua Hill,Wayne M D Bennett,Rania Major,Shanese Johnson,Sandjai Weaver,Sherman Toppin,Franklin A Bennett Iii,Tangie M Boston,Starr Marshall Cash,All
Kenyatta Johnson,"3,596",0,"3,376","2,308","2,454","2,962","3,169","2,543","2,012","1,889","1,711","2,307","1,925","1,211","1,691","1,200","1,204","2,505","2,208","1,319","2,064","2,172","1,986","1,240","1,433","1,500","1,184","1,766","1,156","1,548","1,940","1,376","1,199","1,543",952,606,"1,126","1,244",930,"1,142",741,735,470,450,414,All
Ori C Feibush,,"1,851","2,192","2,234","2,228","2,015","1,610","1,259","1,636","1,706","1,627","1,177","1,462","1,345","1,166","1,482","1,440",754,955,"1,460","1,130",852,900,"1,048","1,257",749,854,746,"1,251",564,454,632,655,576,629,736,685,489,513,369,711,337,236,170,166,All
Ken Powell,,,211,"3,814","3,755","3,171","3,458","3,289","3,361","2,228","2,753","2,191","2,157","1,305","1,399","2,202","1,328","2,654","2,334","1,863","1,192","2,063","1,598","1,490","1,647","1,946","2,185",881,"1,255","1,878",773,"1,318",772,"1,560",929,567,744,825,523,580,930,493,370,207,212,All
Abbe Fletman,,,,70,"4,883","4,837","2,159","1,820","3,806","3,652","4,303","2,975","2,056","1,378","1,942","2,817","1,021","1,449","1,383","2,624","1,004","2,073","2,016","1,443","2,283","1,481","1,483","1,073","1,759",644,640,"1,201","1,296",531,706,383,870,761,531,424,879,369,195,166,163,All
Rainy Papademetriou,,,,,133,"3,913","2,211","1,843","4,537","3,753","3,217","2,880","2,225","1,311","1,764","2,983","1,094","1,370","1,403","2,413","1,310","2,010","1,588","1,687","2,274","1,981","1,460",975,"1,896",944,895,"1,226","1,425",699,822,460,"1,051",703,666,425,912,318,202,168,172,All
Kai Scott,,,,,,39,"1,863","1,049","2,870","3,355","3,993","3,227","1,665","1,003","1,417","2,675",718,"1,533","1,325","2,569","1,223","2,214","2,381","1,034","2,442","1,153","1,278","1,462","1,632",457,"1,083","1,467","1,298",441,487,361,"1,013",996,687,731,966,523,270,298,330,All
Tracy B Roman,,,,,,,171,"3,065","1,757","1,563","1,247","1,812","1,654","1,553","2,036","1,021","1,167","2,646","2,155","1,302","1,900","1,774","1,682","1,242","1,211","1,532","1,514","1,383",831,"2,075","1,069","1,096",568,"1,575",965,654,584,740,974,911,582,505,330,379,310,All
Scott Diclaudio,,,,,,,,250,"1,725",675,"1,051",999,"2,065","1,192","1,271",749,"1,671","2,352","1,621",561,891,"1,391",934,"1,743",423,"1,430","1,627",621,442,"1,790",550,560,589,"1,511",924,"1,018",465,663,487,368,331,396,378,216,159,All
