col_1,col_2,col_3,division
,City Commissioners - Republican,Judge Of The Commonwealth Court - Republican,1
,Al Schmidt,Paul Lalley,1
Al Schmidt,3,5,1
Paul Lalley,,0,1
Total,8,5,1
,City Commissioners - Republican,Judge Of The Commonwealth Court - Republican,2
,Al Schmidt,Paul Lalley,2
Al Schmidt,0,7,2
Paul Lalley,,0,2
Total,7,7,2
,City Commissioners - Republican,Judge Of The Commonwealth Court - Republican,3
,Al Schmidt,Paul Lalley,3
Al Schmidt,3,17,3
Paul Lalley,,2,3
Total,20,19,3
,City Commissioners - Republican,Judge Of The Commonwealth Court - Republican,4
,Al Schmidt,Paul Lalley,4
Al Schmidt,12,62,4
Paul Lalley,,2,4
Total,74,64,4
,Judge Of The Commonwealth Court - Republican,City Commissioners - Republican,5
,Paul Lalley,Al Schmidt,5
Paul Lalley,4,29,5
Al Schmidt,,2,5
Total,33,31,5
,City Commissioners - Republican,Judge Of The Commonwealth Court - Republican,6
,Al Schmidt,Paul Lalley,6
Al Schmidt,6,19,6
Paul Lalley,,3,6
Total,25,22,6
,City Commissioners - Republican,Judge Of The Commonwealth Court - Republican,7
,Al Schmidt,Paul Lalley,7
Al Schmidt,5,22,7
Paul Lalley,,2,7
Total,27,24,7
,City Commissioners - Republican,Judge Of The Commonwealth Court - Republican,8
,Al Schmidt,Paul Lalley,8
Al Schmidt,4,10,8
Paul Lalley,,0,8
Total,14,10,8
,City Commissioners - Republican,Judge Of The Commonwealth Court - Republican,9
,Al Schmidt,Paul Lalley,9
Al Schmidt,7,23,9
Paul Lalley,,0,9
Total,30,23,9
,City Commissioners - Republican,Judge Of The Commonwealth Court - Republican,10
,Al Schmidt,Paul Lalley,10
Al Schmidt,4,24,10
Paul Lalley,,1,10
Total,28,25,10
,Judge Of The Commonwealth Court - Republican,City Commissioners - Republican,11
,Paul Lalley,Al Schmidt,11
Paul Lalley,2,25,11
Al Schmidt,,1,11
Total,27,26,11
,City Commissioners - Republican,Judge Of The Commonwealth Court - Republican,12
