col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,division
,Mayor - Democrat,,,,,,Judge Of The Commonwealth Court - Democrat,,All
,Jim Kenney,Lynne M Abraham,Anthony Hardy Williams,Doug Oliver,Nelson Diaz,T Milton Street Sr,Todd Eagen,Michael Wojcik,All
Jim Kenney,"1,347",0,0,0,0,0,"1,729",574,All
Lynne M Abraham,,509,0,0,0,0,375,196,All
Anthony Hardy Williams,,,254,0,0,0,216,124,All
Doug Oliver,,,,82,0,0,97,46,All
Nelson Diaz,,,,,73,0,71,41,All
T Milton Street Sr,,,,,,7,7,7,All
Todd Eagen,,,,,,,39,0,All
Michael Wojcik,,,,,,,,10,All
Total,"3,650","1,080",594,225,185,21,"2,534",998,All
,Mayor - Democrat,,,,,,Judge Of The Commonwealth Court - Democrat,,1
,Jim Kenney,Lynne M Abraham,Anthony Hardy Williams,Nelson Diaz,Doug Oliver,T Milton Street Sr,Todd Eagen,Michael Wojcik,1
Jim Kenney,35,0,0,0,0,0,60,16,1
Lynne M Abraham,,12,0,0,0,0,11,4,1
Anthony Hardy Williams,,,5,0,0,0,4,7,1
Nelson Diaz,,,,0,0,0,4,2,1
Doug Oliver,,,,,2,0,1,2,1
T Milton Street Sr,,,,,,0,0,0,1
Todd Eagen,,,,,,,3,0,1
Michael Wojcik,,,,,,,,2,1
Total,111,27,16,6,5,0,83,33,1
,Mayor - Democrat,,,,,,Judge Of The Commonwealth Court - Democrat,,2
,Jim Kenney,Lynne M Abraham,Anthony Hardy Williams,Doug Oliver,Nelson Diaz,T Milton Street Sr,Todd Eagen,Michael Wojcik,2
Jim Kenney,32,0,0,0,0,0,70,25,2
Lynne M Abraham,,14,0,0,0,0,11,8,2
Anthony Hardy Williams,,,12,0,0,0,10,3,2
Doug Oliver,,,,3,0,0,3,3,2
Nelson Diaz,,,,,6,0,0,1,2
T Milton Street Sr,,,,,,0,0,0,2
Todd Eagen,,,,,,,0,0,2
Michael Wojcik,,,,,,,,0,2
Total,127,33,25,9,7,0,94,40,2
,Mayor - Democrat,,,,,,Judge Of The Commonwealth Court - Democrat,,3
,Jim Kenney,Lynne M Abraham,Anthony Hardy Williams,Doug Oliver,Nelson Diaz,T Milton Street Sr,Todd Eagen,Michael Wojcik,3
Jim Kenney,57,0,0,0,0,0,70,23,3
Lynne M Abraham,,15,0,0,0,0,14,9,3
Anthony Hardy Williams,,,5,0,0,0,5,2,3
Doug Oliver,,,,5,0,0,1,1,3
Nelson Diaz,,,,,2,0,2,0,3
T Milton Street Sr,,,,,,1,0,0,3
Todd Eagen,,,,,,,2,0,3
Michael Wojcik,,,,,,,,0,3
Total,150,38,12,7,4,1,94,35,3
,Mayor - Democrat,,,,,,Judge Of The Commonwealth Court - Democrat,,4
,Jim Kenney,Anthony Hardy Williams,Lynne M Abraham,Doug Oliver,Nelson Diaz,T Milton Street Sr,Todd Eagen,Michael Wojcik,4
Jim Kenney,35,0,0,0,0,0,92,14,4
Anthony Hardy Williams,,9,0,0,0,0,7,1,4
Lynne M Abraham,,,5,0,0,0,7,4,4
Doug Oliver,,,,4,0,0,2,1,4
Nelson Diaz,,,,,2,0,3,0,4
T Milton Street Sr,,,,,,0,0,0,4
Todd Eagen,,,,,,,2,0,4
Michael Wojcik,,,,,,,,1,4
Total,141,17,16,7,5,0,113,21,4
,Mayor - Democrat,,,,,,Judge Of The Commonwealth Court - Democrat,,5
,Jim Kenney,Lynne M Abraham,Anthony Hardy Williams,Doug Oliver,Nelson Diaz,T Milton Street Sr,Todd Eagen,Michael Wojcik,5
Jim Kenney,51,0,0,0,0,0,38,10,5
Lynne M Abraham,,9,0,0,0,0,5,5,5
Anthony Hardy Williams,,,5,0,0,0,2,4,5
