col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,col_53,col_54,col_55,col_56,col_57,col_58,col_59,col_60,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Blondell Reynolds Brown,W Wilson Goode Jr,William K Greenlee,Sherrie Cohen,Derek S Green,Ed Neilson,Isaiah Thomas,Jenne Ayers,Allan Domb,Wilson Alexander,Helen Gym,Thomas Wyatt,Paul Steinke,Frank Rizzo,Carla M Cain,Marnie Aument Loughrey,Lyris Younge,Ken Powell,Tracy B Roman,Scott Diclaudio,Daine Grey Jr,Abbe Fletman,Kai Scott,Stephanie M Sawyer,Mia Roberts Perez,Vincent N Melchiorre,Chris Mallios,Jon Marshall,Michael Fanning,Leon Goodman,Lynne M Summers,Wayne M D Bennett,Frances Fattah,Jennifer Schultz,Edward William Louden Jr,Brian T Ortelere,Deborah Watson Stokes,Jodi Lobel,Rania Major,Sandjai Weaver,Shanese Johnson,Sherman Toppin,Thomas Martin,Vince Giusini,Chris Mccabe,James F Berardinelli,Lucretia Clemons,Vincent Furlong,Anthony Kyriakakis,Franklin A Bennett Iii,Marissa Brumbach,Rainy Papademetriou,Betsy Wahl,Joshua Hill,Leon A King Ii,Stella Tsai,Tangie M Boston,William J Ciancaglini,Starr Marshall Cash,1
Blondell Reynolds Brown,3,30,27,25,8,21,11,4,6,1,5,2,0,2,2,2,24,23,19,16,22,22,20,19,18,16,16,9,13,6,7,6,5,4,1,4,2,2,3,2,4,4,2,3,3,0,2,2,1,1,2,1,2,1,2,2,0,0,0,1
W Wilson Goode Jr,,1,22,22,4,18,8,1,5,0,7,2,1,1,0,0,24,19,17,15,18,19,19,18,16,15,15,6,11,3,4,4,4,1,1,0,4,1,1,3,1,2,0,2,1,1,3,0,1,1,1,0,1,0,1,0,0,0,0,1
William K Greenlee,,,0,20,3,19,7,0,4,2,1,2,1,1,1,0,18,18,16,13,17,17,17,15,15,15,15,6,12,2,3,2,2,1,1,3,1,0,2,1,3,2,1,2,2,1,0,2,0,1,0,1,0,2,2,2,0,0,0,1
Sherrie Cohen,,,,0,1,18,4,1,2,1,2,1,2,1,2,1,20,17,16,14,16,16,15,18,14,16,15,5,12,4,2,1,2,1,0,1,0,1,3,1,4,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
Derek S Green,,,,,1,3,7,7,5,6,3,3,0,1,0,2,4,9,8,5,4,5,4,3,3,2,1,6,0,5,5,4,5,4,3,2,2,3,2,3,2,3,5,1,3,2,3,1,2,1,2,1,2,2,0,0,0,1,0,1
Ed Neilson,,,,,,0,3,0,3,0,1,0,0,0,0,1,15,15,15,12,13,13,13,15,13,13,12,5,10,3,2,0,2,2,0,2,0,0,2,1,3,1,1,0,0,0,0,1,0,1,0,2,1,1,1,1,0,0,0,1
Isaiah Thomas,,,,,,,1,2,5,2,3,2,2,1,0,2,11,5,5,4,5,8,7,8,5,3,5,4,5,3,4,4,3,3,4,3,2,2,3,2,2,4,1,2,1,1,0,3,1,1,1,3,1,1,1,1,1,0,0,1
Jenne Ayers,,,,,,,,3,0,5,1,2,1,1,1,1,6,4,4,3,1,2,1,2,0,1,0,4,1,3,4,3,1,1,2,2,1,3,2,1,0,3,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1
Allan Domb,,,,,,,,,0,1,1,1,1,1,0,0,6,5,2,2,4,3,4,3,3,2,1,1,2,4,1,2,3,1,1,1,2,1,0,2,0,2,1,1,1,2,2,1,0,2,0,2,0,1,1,1,0,0,0,1
Wilson Alexander,,,,,,,,,,0,0,1,0,0,1,0,2,4,2,3,1,0,3,2,0,1,0,3,0,3,1,2,1,2,4,1,0,2,3,2,1,2,1,1,2,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1
Helen Gym,,,,,,,,,,,0,1,2,1,0,0,4,2,0,0,1,3,2,2,1,2,2,1,0,0,1,3,1,1,0,0,1,0,0,1,1,1,0,1,1,0,2,0,1,0,1,0,1,0,0,0,0,0,0,1
Thomas Wyatt,,,,,,,,,,,,0,2,2,0,1,1,2,1,1,1,1,0,0,1,1,0,1,1,2,2,1,0,0,0,2,0,1,1,0,0,1,3,0,2,2,0,1,0,2,1,1,0,1,1,0,1,0,0,1
Paul Steinke,,,,,,,,,,,,,0,2,0,1,2,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1
Frank Rizzo,,,,,,,,,,,,,,0,0,0,1,1,0,0,1,2,0,1,1,1,1,1,0,1,2,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
Carla M Cain,,,,,,,,,,,,,,,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Marnie Aument Loughrey,,,,,,,,,,,,,,,,0,0,1,2,2,0,0,0,1,1,0,0,1,1,2,1,1,1,1,0,1,0,0,2,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,1
Lyris Younge,,,,,,,,,,,,,,,,,0,28,27,25,17,21,20,19,17,16,17,6,13,4,3,2,4,2,2,1,1,1,1,1,2,2,0,2,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1
