col_1,col_2,col_3,division
,Register Of Wills - Democrat,Sheriff - Democrat,1
,Ronald R Donatucci,Jewell Williams,1
Ronald R Donatucci,4,33,1
Jewell Williams,,0,1
Total,37,33,1
,Sheriff - Democrat,Register Of Wills - Democrat,2
,Jewell Williams,Ronald R Donatucci,2
Jewell Williams,7,66,2
Ronald R Donatucci,,6,2
Total,73,72,2
,Sheriff - Democrat,Register Of Wills - Democrat,3
,Jewell Williams,Ronald R Donatucci,3
Jewell Williams,0,10,3
Ronald R Donatucci,,0,3
Total,10,10,3
,Register Of Wills - Democrat,Sheriff - Democrat,4
,Ronald R Donatucci,Jewell Williams,4
Ronald R Donatucci,6,71,4
Jewell Williams,,5,4
Total,77,76,4
,Sheriff - Democrat,Register Of Wills - Democrat,5
,Jewell Williams,Ronald R Donatucci,5
Jewell Williams,4,28,5
Ronald R Donatucci,,3,5
Total,32,31,5
,Sheriff - Democrat,Register Of Wills - Democrat,6
,Jewell Williams,Ronald R Donatucci,6
Jewell Williams,7,37,6
Ronald R Donatucci,,1,6
Total,44,38,6
,Sheriff - Democrat,Register Of Wills - Democrat,7
,Jewell Williams,Ronald R Donatucci,7
Jewell Williams,7,47,7
Ronald R Donatucci,,6,7
Total,54,53,7
,Sheriff - Democrat,Register Of Wills - Democrat,8
,Jewell Williams,Ronald R Donatucci,8
Jewell Williams,0,8,8
Ronald R Donatucci,,0,8
Total,8,8,8
,Register Of Wills - Democrat,Sheriff - Democrat,9
,Ronald R Donatucci,Jewell Williams,9
Ronald R Donatucci,1,8,9
Jewell Williams,,0,9
Total,9,8,9
,Register Of Wills - Democrat,Sheriff - Democrat,10
,Ronald R Donatucci,Jewell Williams,10
Ronald R Donatucci,2,29,10
Jewell Williams,,0,10
Total,31,29,10
,Sheriff - Democrat,Register Of Wills - Democrat,11
,Jewell Williams,Ronald R Donatucci,11
Jewell Williams,0,17,11
Ronald R Donatucci,,0,11
Total,17,17,11
,Sheriff - Democrat,Register Of Wills - Democrat,12
,Jewell Williams,Ronald R Donatucci,12
Jewell Williams,16,54,12
Ronald R Donatucci,,3,12
Total,70,57,12
,Register Of Wills - Democrat,Sheriff - Democrat,13
,Ronald R Donatucci,Jewell Williams,13
Ronald R Donatucci,5,33,13
Jewell Williams,,3,13
Total,38,36,13
,Sheriff - Democrat,Register Of Wills - Democrat,14
,Jewell Williams,Ronald R Donatucci,14
Jewell Williams,12,55,14
Ronald R Donatucci,,2,14
Total,67,57,14
,Register Of Wills - Democrat,Sheriff - Democrat,15
,Ronald R Donatucci,Jewell Williams,15
Ronald R Donatucci,6,94,15
Jewell Williams,,5,15
Total,100,99,15
,Sheriff - Democrat,Register Of Wills - Democrat,16
,Jewell Williams,Ronald R Donatucci,16
Jewell Williams,10,52,16
Ronald R Donatucci,,7,16
Total,62,59,16
,Sheriff - Democrat,Register Of Wills - Democrat,17
,Jewell Williams,Ronald R Donatucci,17
Jewell Williams,11,53,17
Ronald R Donatucci,,3,17
Total,64,56,17
,Sheriff - Democrat,Register Of Wills - Democrat,18
,Jewell Williams,Ronald R Donatucci,18
Jewell Williams,2,13,18
Ronald R Donatucci,,1,18
Total,15,14,18
,Sheriff - Democrat,Register Of Wills - Democrat,19
,Jewell Williams,Ronald R Donatucci,19
Jewell Williams,0,12,19
Ronald R Donatucci,,0,19
Total,12,12,19
,Sheriff - Democrat,Register Of Wills - Democrat,20
,Jewell Williams,Ronald R Donatucci,20
Jewell Williams,0,12,20
Ronald R Donatucci,,0,20
Total,12,12,20
,Sheriff - Democrat,Register Of Wills - Democrat,21
,Jewell Williams,Ronald R Donatucci,21
Jewell Williams,0,5,21
Ronald R Donatucci,,0,21
Total,5,5,21
,Register Of Wills - Democrat,Sheriff - Democrat,22
,Ronald R Donatucci,Jewell Williams,22
Ronald R Donatucci,1,17,22
Jewell Williams,,0,22
Total,18,17,22
,Sheriff - Democrat,Register Of Wills - Democrat,23
,Jewell Williams,Ronald R Donatucci,23
Jewell Williams,12,68,23
Ronald R Donatucci,,4,23
Total,80,72,23
,Sheriff - Democrat,Register Of Wills - Democrat,All
,Jewell Williams,Ronald R Donatucci,All
Jewell Williams,101,822,All
Ronald R Donatucci,,61,All
Total,923,883,All
