col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,division
,District Council 5th District - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Darrell L Clarke,Ken Powell,Tracy B Roman,Abbe Fletman,Kai Scott,Scott Diclaudio,Lyris Younge,Mia Roberts Perez,Daine Grey Jr,Rainy Papademetriou,Stephanie M Sawyer,Chris Mallios,Jennifer Schultz,Leon Goodman,Brian T Ortelere,Stella Tsai,Betsy Wahl,Jon Marshall,Vincent N Melchiorre,Frances Fattah,Michael Fanning,Anthony Kyriakakis,Lucretia Clemons,Deborah Watson Stokes,Lynne M Summers,Thomas Martin,James F Berardinelli,Leon A King Ii,Edward William Louden Jr,Jodi Lobel,Wayne M D Bennett,Chris Mccabe,Marissa Brumbach,Vincent Furlong,Rania Major,Shanese Johnson,Sandjai Weaver,Joshua Hill,Sherman Toppin,Vince Giusini,Franklin A Bennett Iii,Tangie M Boston,William J Ciancaglini,Starr Marshall Cash,All
Darrell L Clarke,"2,669","4,834","4,835","3,889","4,088","3,819","3,687","3,507","3,408","2,598","3,020","2,626","2,722","2,849","2,122","2,235","2,054","2,152","2,075","2,133","1,985","1,732","1,803","1,900","1,831","1,662","1,538","1,661","1,712","1,239","1,343","1,186","1,242","1,256","1,286","1,212","1,099",993,994,939,649,612,573,541,All
Ken Powell,,88,"3,184","2,461","2,427","2,551","2,686","2,183","2,262","1,418","1,622","1,824","1,117","1,819","1,316",987,756,"1,421","1,522",844,"1,454",899,644,561,556,851,865,878,"1,193",421,580,430,306,560,400,388,374,408,434,378,301,205,219,143,All
Tracy B Roman,,,119,"2,121","2,034","2,742","2,864","2,008","2,144","1,091","1,799","1,351","1,461","1,660",965,877,832,"1,238","1,384",964,"1,281",543,723,838,966,751,636,736,"1,214",403,529,294,542,567,621,621,531,350,399,394,256,292,229,233,All
Abbe Fletman,,,,61,"3,342","1,468","1,689","2,471","2,390","2,178","1,770","2,660","1,392",909,"1,681","1,684","1,310",470,"1,738",555,"1,339","1,202",988,676,567,713,916,725,345,776,431,713,496,513,389,293,280,420,271,349,130,119,161,107,All
Kai Scott,,,,,54,"1,336","1,931","2,791","2,145","1,795","2,235","2,713","1,047",869,"1,290","1,557","1,267",371,"1,886",909,"1,565","1,184","1,147",979,675,818,625,917,258,696,526,742,498,353,495,524,454,478,402,312,212,261,185,226,All
Scott Diclaudio,,,,,,86,"2,354","1,279","1,722",622,"1,207","1,136",810,"1,288",731,363,349,"1,245","1,132",477,"1,133",398,270,355,435,433,750,427,"1,134",243,461,235,208,498,333,219,312,301,342,389,230,144,258,97,All
Lyris Younge,,,,,,,70,"1,604","2,046",700,"1,602","1,240",908,"1,173",453,408,418,"1,098","1,250",649,"1,166",315,457,562,533,467,426,491,"1,029",254,418,276,284,397,374,402,344,205,371,278,162,203,134,178,All
Mia Roberts Perez,,,,,,,,36,"1,873","1,354","2,061","2,043","1,042",712,917,"1,456","1,190",296,"1,566",822,"1,466",900,935,932,720,556,538,687,238,554,384,465,639,304,511,433,395,385,364,279,160,242,191,235,All
Daine Grey Jr,,,,,,,,,68,"1,176","1,909","1,574","1,129",906,893,755,643,693,"1,291",729,"1,277",540,490,703,653,646,848,672,555,328,582,374,357,633,454,475,439,368,398,389,223,202,180,205,All
