col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,division
Wilson Alexander,,,,,,,,,,,,,0,0,1,0,8,8,8,4,1,2,3,0,1
Frank Rizzo,,,,,,,,,,,,,,0,1,0,5,3,0,4,4,0,2,2,1
Paul Steinke,,,,,,,,,,,,,,,0,1,3,5,6,4,4,1,1,1,1
Marnie Aument Loughrey,,,,,,,,,,,,,,,,0,2,3,0,1,1,2,1,0,1
Sharon Williams Losier,,,,,,,,,,,,,,,,,4,33,9,20,10,8,3,2,1
Christine Hope,,,,,,,,,,,,,,,,,,0,15,16,8,9,8,3,1
Matthew Perks,,,,,,,,,,,,,,,,,,,1,6,4,3,2,2,1
Joffie C Pittman,,,,,,,,,,,,,,,,,,,,0,2,5,4,1,1
Christian Dicicco,,,,,,,,,,,,,,,,,,,,,0,1,0,2,1
Gary S Silver,,,,,,,,,,,,,,,,,,,,,,0,3,1,1
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,,,,,0,0,1
Daniel R Sulman,,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,72,59,54,49,46,36,34,28,24,22,21,15,13,10,10,5,61,51,39,32,17,15,11,7,1
,Council At Large - Democrat,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,2
,Derek S Green,Blondell Reynolds Brown,W Wilson Goode Jr,Sherrie Cohen,Isaiah Thomas,Ed Neilson,Jenne Ayers,Allan Domb,William K Greenlee,Helen Gym,Wilson Alexander,Carla M Cain,Thomas Wyatt,Frank Rizzo,Paul Steinke,Marnie Aument Loughrey,Sharon Williams Losier,Matthew Perks,Christine Hope,Joffie C Pittman,Gary S Silver,Franklin A Bennett Iii,Christian Dicicco,Daniel R Sulman,2
Derek S Green,3,43,36,30,26,29,10,8,13,11,9,5,4,2,2,1,38,34,23,25,7,10,10,7,2
Blondell Reynolds Brown,,2,40,23,22,26,5,7,8,10,5,6,4,2,2,2,28,30,22,13,5,8,7,9,2
W Wilson Goode Jr,,,4,20,16,22,4,3,6,8,6,6,3,3,2,1,19,26,17,8,8,5,4,6,2
Sherrie Cohen,,,,3,18,15,5,6,10,3,4,5,2,2,0,2,21,11,19,13,2,6,5,3,2
Isaiah Thomas,,,,,2,9,4,8,7,5,3,2,5,4,3,0,22,8,17,15,4,5,3,3,2
Ed Neilson,,,,,,0,0,0,8,3,0,2,0,0,1,0,11,19,9,10,2,2,4,3,2
Jenne Ayers,,,,,,,2,1,0,4,6,3,2,0,2,2,10,4,6,6,5,4,1,1,2
Allan Domb,,,,,,,,3,2,2,0,0,0,0,1,1,8,2,7,3,2,2,0,3,2
William K Greenlee,,,,,,,,,0,3,2,1,3,1,0,0,10,1,10,10,1,1,2,1,2
Helen Gym,,,,,,,,,,0,1,1,0,1,3,2,12,2,8,5,4,3,2,5,2
Wilson Alexander,,,,,,,,,,,0,1,2,1,0,1,11,8,7,7,1,0,1,0,2
Carla M Cain,,,,,,,,,,,,1,2,1,0,3,5,1,6,2,5,4,3,0,2
Thomas Wyatt,,,,,,,,,,,,,0,1,0,0,3,1,3,2,2,1,1,0,2
Frank Rizzo,,,,,,,,,,,,,,0,1,0,3,1,1,1,1,1,0,0,2
Paul Steinke,,,,,,,,,,,,,,,0,1,2,0,2,3,2,1,0,2,2
Marnie Aument Loughrey,,,,,,,,,,,,,,,,0,3,0,3,1,1,1,1,1,2
Sharon Williams Losier,,,,,,,,,,,,,,,,,0,13,27,20,4,4,3,6,2
Matthew Perks,,,,,,,,,,,,,,,,,,1,7,5,3,4,3,2,2
Christine Hope,,,,,,,,,,,,,,,,,,,1,17,3,4,5,3,2
Joffie C Pittman,,,,,,,,,,,,,,,,,,,,0,3,2,2,2,2
Gary S Silver,,,,,,,,,,,,,,,,,,,,,0,4,1,3,2
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,,,,0,2,1,2
Christian Dicicco,,,,,,,,,,,,,,,,,,,,,,,1,0,2
Daniel R Sulman,,,,,,,,,,,,,,,,,,,,,,,,0,2
Total,84,69,58,43,42,35,20,18,17,15,15,12,8,5,5,4,57,41,39,32,13,12,11,10,2
,Council At Large - Democrat,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,3
,Derek S Green,Isaiah Thomas,Blondell Reynolds Brown,W Wilson Goode Jr,Sherrie Cohen,Ed Neilson,William K Greenlee,Thomas Wyatt,Allan Domb,Helen Gym,Jenne Ayers,Paul Steinke,Wilson Alexander,Frank Rizzo,Carla M Cain,Marnie Aument Loughrey,Sharon Williams Losier,Matthew Perks,Christine Hope,Joffie C Pittman,Franklin A Bennett Iii,Christian Dicicco,Gary S Silver,Daniel R Sulman,3
Derek S Green,4,39,43,36,21,32,16,24,14,13,13,20,14,3,1,1,44,44,29,27,9,7,5,4,3
Isaiah Thomas,,8,30,28,22,14,21,22,12,13,8,15,4,7,5,0,41,16,32,29,12,6,6,5,3
Blondell Reynolds Brown,,,3,44,13,24,17,10,14,12,6,6,8,6,4,3,29,35,24,16,12,8,8,5,3
W Wilson Goode Jr,,,,1,12,23,16,5,4,7,1,2,4,7,2,1,23,26,20,16,9,7,7,4,3
Sherrie Cohen,,,,,0,12,21,9,4,8,4,4,2,2,4,0,23,14,21,17,4,5,4,3,3
Ed Neilson,,,,,,1,10,3,0,1,2,3,0,2,0,0,13,20,14,13,2,2,0,2,3
William K Greenlee,,,,,,,0,4,4,2,1,3,4,2,1,1,19,10,17,14,5,6,3,2,3
Thomas Wyatt,,,,,,,,0,7,8,9,14,6,2,4,1,20,17,14,8,6,4,2,0,3
Allan Domb,,,,,,,,,0,6,5,2,4,1,3,1,15,9,6,7,5,1,3,2,3
Helen Gym,,,,,,,,,,2,3,4,2,1,3,1,13,10,12,6,5,4,5,2,3
Jenne Ayers,,,,,,,,,,,1,7,7,2,1,0,8,10,5,5,1,2,6,2,3
Paul Steinke,,,,,,,,,,,,0,2,0,0,0,10,9,8,3,3,3,1,1,3
Wilson Alexander,,,,,,,,,,,,,1,0,0,1,8,11,5,7,5,3,4,2,3
Frank Rizzo,,,,,,,,,,,,,,0,0,0,3,3,5,5,3,2,3,1,3
Carla M Cain,,,,,,,,,,,,,,,0,0,6,1,5,2,0,2,1,0,3
Marnie Aument Loughrey,,,,,,,,,,,,,,,,0,1,1,2,0,1,1,1,0,3
Sharon Williams Losier,,,,,,,,,,,,,,,,,1,20,34,26,8,5,7,2,3
Matthew Perks,,,,,,,,,,,,,,,,,,0,15,7,5,5,4,2,3
Christine Hope,,,,,,,,,,,,,,,,,,,1,21,5,7,4,3,3
Joffie C Pittman,,,,,,,,,,,,,,,,,,,,0,4,3,3,5,3
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,,,0,3,6,2,3
