col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,division
,Justice Of The Supreme Court - Democrat,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,All
,Kevin M Dougherty,Anne E Lazarus,Christine Donohue,David Wecht,John Henry Foradora,Dwayne D Woodruff,Christine Hope,Sharon Williams Losier,Christian Dicicco,Joffie C Pittman,Matthew Perks,Gary S Silver,Franklin A Bennett Iii,Daniel R Sulman,All
Kevin M Dougherty,262,489,332,316,80,51,511,329,346,255,180,141,95,99,All
Anne E Lazarus,,27,261,210,55,28,294,216,254,137,121,91,81,88,All
Christine Donohue,,,20,132,36,35,232,222,178,141,118,72,59,48,All
David Wecht,,,,30,29,23,224,214,129,188,89,49,40,51,All
John Henry Foradora,,,,,2,14,65,39,44,18,33,34,20,13,All
Dwayne D Woodruff,,,,,,0,38,31,38,24,22,19,15,9,All
Christine Hope,,,,,,,5,246,186,163,86,58,46,36,All
Sharon Williams Losier,,,,,,,,4,116,182,67,55,32,23,All
Christian Dicicco,,,,,,,,,2,61,77,54,56,44,All
Joffie C Pittman,,,,,,,,,,2,65,25,13,34,All
Matthew Perks,,,,,,,,,,,4,36,27,38,All
Gary S Silver,,,,,,,,,,,,5,25,23,All
Franklin A Bennett Iii,,,,,,,,,,,,,0,15,All
Daniel R Sulman,,,,,,,,,,,,,,0,All
Total,"1,289",641,516,497,126,85,615,460,414,339,250,178,123,119,All
,Justice Of The Supreme Court - Democrat,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,1
,Kevin M Dougherty,Anne E Lazarus,Christine Donohue,David Wecht,John Henry Foradora,Dwayne D Woodruff,Christine Hope,Sharon Williams Losier,Christian Dicicco,Joffie C Pittman,Matthew Perks,Gary S Silver,Daniel R Sulman,Franklin A Bennett Iii,1
Kevin M Dougherty,16,38,28,14,2,1,34,30,17,14,10,9,7,7,1
Anne E Lazarus,,1,25,9,2,0,26,24,14,6,8,8,7,8,1
