col_1,col_2,division
,Judge Of The Commonwealth Court - Republican,1
,Paul Lalley,1
Paul Lalley,27,1
Total,27,1
,Judge Of The Commonwealth Court - Republican,2
,Paul Lalley,2
Paul Lalley,8,2
Total,8,2
,Judge Of The Commonwealth Court - Republican,3
,Paul Lalley,3
Paul Lalley,25,3
Total,25,3
,Judge Of The Commonwealth Court - Republican,4
,Paul Lalley,4
Paul Lalley,13,4
Total,13,4
,Judge Of The Commonwealth Court - Republican,5
,Paul Lalley,5
Paul Lalley,14,5
Total,14,5
,Judge Of The Commonwealth Court - Republican,6
,Paul Lalley,6
Paul Lalley,12,6
Total,12,6
,Judge Of The Commonwealth Court - Republican,7
,Paul Lalley,7
Paul Lalley,7,7
Total,7,7
,Judge Of The Commonwealth Court - Republican,8
,Paul Lalley,8
Paul Lalley,8,8
Total,8,8
,Judge Of The Commonwealth Court - Republican,9
,Paul Lalley,9
Paul Lalley,16,9
Total,16,9
,Judge Of The Commonwealth Court - Republican,10
,Paul Lalley,10
Paul Lalley,15,10
Total,15,10
,Judge Of The Commonwealth Court - Republican,11
,Paul Lalley,11
Paul Lalley,7,11
Total,7,11
,Judge Of The Commonwealth Court - Republican,12
,Paul Lalley,12
Paul Lalley,11,12
Total,11,12
,Judge Of The Commonwealth Court - Republican,13
,Paul Lalley,13
Paul Lalley,2,13
Total,2,13
,Judge Of The Commonwealth Court - Republican,14
,Paul Lalley,14
Paul Lalley,6,14
Total,6,14
,Judge Of The Commonwealth Court - Republican,15
,Paul Lalley,15
Paul Lalley,6,15
Total,6,15
,Judge Of The Commonwealth Court - Republican,16
,Paul Lalley,16
Paul Lalley,8,16
Total,8,16
,Judge Of The Commonwealth Court - Republican,17
,Paul Lalley,17
Paul Lalley,5,17
Total,5,17
,Judge Of The Commonwealth Court - Republican,18
,Paul Lalley,18
Paul Lalley,37,18
Total,37,18
,Judge Of The Commonwealth Court - Republican,19
,Paul Lalley,19
Paul Lalley,21,19
Total,21,19
,Judge Of The Commonwealth Court - Republican,20
,Paul Lalley,20
Paul Lalley,3,20
Total,3,20
,Judge Of The Commonwealth Court - Republican,21
,Paul Lalley,21
Paul Lalley,11,21
Total,11,21
,Judge Of The Commonwealth Court - Republican,22
,Paul Lalley,22
Paul Lalley,11,22
Total,11,22
,Judge Of The Commonwealth Court - Republican,23
,Paul Lalley,23
Paul Lalley,3,23
Total,3,23
,Judge Of The Commonwealth Court - Republican,24
,Paul Lalley,24
Paul Lalley,5,24
Total,5,24
,Judge Of The Commonwealth Court - Republican,25
,Paul Lalley,25
Paul Lalley,4,25
Total,4,25
,Judge Of The Commonwealth Court - Republican,26
,Paul Lalley,26
Paul Lalley,11,26
Total,11,26
,Judge Of The Commonwealth Court - Republican,27
,Paul Lalley,27
Paul Lalley,17,27
Total,17,27
,Judge Of The Commonwealth Court - Republican,28
,Paul Lalley,28
Paul Lalley,3,28
Total,3,28
,Judge Of The Commonwealth Court - Republican,All
,Paul Lalley,All
Paul Lalley,316,All
Total,316,All
