col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,division
,District Council 1st District - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Mark F Squilla,Scott Diclaudio,Tracy B Roman,Ken Powell,Mia Roberts Perez,Jon Marshall,Jennifer Schultz,Daine Grey Jr,Vincent Furlong,Michael Fanning,Lyris Younge,James F Berardinelli,Stephanie M Sawyer,Abbe Fletman,Kai Scott,Leon Goodman,Lynne M Summers,Edward William Louden Jr,Vincent N Melchiorre,Chris Mallios,Deborah Watson Stokes,Chris Mccabe,Wayne M D Bennett,Brian T Ortelere,Anthony Kyriakakis,Vince Giusini,Marissa Brumbach,Stella Tsai,Betsy Wahl,Thomas Martin,Leon A King Ii,Frances Fattah,Rainy Papademetriou,Rania Major,William J Ciancaglini,Franklin A Bennett Iii,Jodi Lobel,Joshua Hill,Sherman Toppin,Lucretia Clemons,Sandjai Weaver,Shanese Johnson,Starr Marshall Cash,Tangie M Boston,All
Mark F Squilla,61,140,132,118,98,107,103,88,91,84,86,74,79,64,71,74,73,63,60,50,54,56,53,43,49,46,45,46,46,42,38,40,30,38,36,31,32,30,28,27,26,22,20,16,All
Scott Diclaudio,,8,88,81,45,51,47,55,35,46,63,45,39,44,34,53,29,43,34,30,19,19,31,26,24,29,12,16,17,20,15,11,19,16,16,18,13,15,13,7,14,8,4,6,All
Tracy B Roman,,,8,75,46,43,53,49,29,43,67,33,41,47,34,44,37,43,33,29,22,13,24,18,16,19,22,21,21,15,13,19,16,13,11,11,12,11,11,12,11,5,4,6,All
Ken Powell,,,,7,41,52,35,57,33,43,67,28,35,47,41,45,21,39,34,32,12,18,19,27,15,17,15,15,18,17,20,15,18,20,12,8,11,10,11,8,10,9,6,5,All
Mia Roberts Perez,,,,,17,24,36,49,23,43,42,18,53,40,48,14,30,17,35,30,29,27,15,9,16,15,20,25,20,12,18,23,10,17,14,10,13,8,13,19,11,9,13,4,All
Jon Marshall,,,,,,10,35,31,32,12,39,27,17,19,17,46,27,38,12,5,16,12,14,23,14,16,16,12,15,14,16,11,18,15,16,9,12,9,11,6,5,7,5,5,All
Jennifer Schultz,,,,,,,6,38,49,14,23,52,26,31,21,32,51,33,15,9,28,19,26,31,31,24,26,30,29,21,20,20,25,19,14,13,17,16,13,14,13,8,7,6,All
Daine Grey Jr,,,,,,,,6,37,39,48,35,45,60,41,21,19,23,35,31,19,14,15,30,15,16,12,12,13,14,17,14,25,8,8,10,9,6,13,10,8,7,11,5,All
Vincent Furlong,,,,,,,,,6,20,16,40,19,22,14,22,30,25,15,9,21,23,19,27,22,19,17,16,13,21,17,14,23,13,21,12,8,9,11,12,9,8,9,7,All
Michael Fanning,,,,,,,,,,7,34,17,42,37,38,9,18,9,44,48,13,28,17,12,13,15,18,8,10,16,7,4,8,8,13,14,12,7,12,5,6,6,8,6,All
Lyris Younge,,,,,,,,,,,2,12,36,39,38,33,16,29,27,31,14,13,8,9,6,4,15,9,11,9,6,7,9,5,4,3,3,7,8,7,3,5,5,3,All
James F Berardinelli,,,,,,,,,,,,1,14,27,12,22,24,26,19,7,8,15,26,32,26,27,16,13,7,17,12,12,23,7,22,14,2,13,12,9,7,2,4,2,All
Stephanie M Sawyer,,,,,,,,,,,,,0,37,43,10,32,9,34,35,28,26,15,6,12,9,27,16,26,15,10,13,9,13,6,10,15,6,13,11,7,12,13,7,All
Abbe Fletman,,,,,,,,,,,,,,1,37,16,14,12,30,30,7,14,15,20,10,10,11,14,13,9,11,7,19,9,7,3,6,5,6,9,3,5,2,6,All
Kai Scott,,,,,,,,,,,,,,,2,11,21,5,27,30,19,22,10,7,12,10,13,15,14,13,11,10,5,9,6,7,10,12,9,9,8,9,11,4,All
Leon Goodman,,,,,,,,,,,,,,,,2,18,35,4,4,16,10,18,19,14,8,9,11,6,15,13,15,14,15,9,11,9,12,5,8,5,6,3,3,All
Lynne M Summers,,,,,,,,,,,,,,,,,0,16,13,4,22,15,19,7,23,18,27,25,27,19,12,26,7,15,11,15,15,19,11,15,6,11,8,5,All
Edward William Louden Jr,,,,,,,,,,,,,,,,,,3,7,4,11,8,9,15,9,10,6,8,7,10,10,7,12,6,8,5,6,5,6,7,6,5,3,2,All
Vincent N Melchiorre,,,,,,,,,,,,,,,,,,,0,32,4,13,9,7,10,20,16,10,7,10,9,5,8,3,17,8,7,4,6,6,7,4,5,2,All
Chris Mallios,,,,,,,,,,,,,,,,,,,,1,8,15,5,3,4,7,8,8,6,9,4,2,5,2,8,3,7,4,4,2,4,2,5,3,All
Deborah Watson Stokes,,,,,,,,,,,,,,,,,,,,,0,18,12,8,10,4,19,17,20,12,13,17,5,13,7,14,10,9,9,15,8,10,11,8,All
Chris Mccabe,,,,,,,,,,,,,,,,,,,,,,1,9,10,10,11,12,10,16,12,3,10,3,12,9,6,7,6,7,9,4,7,8,4,All
Wayne M D Bennett,,,,,,,,,,,,,,,,,,,,,,,1,18,17,20,11,10,7,16,18,11,7,19,7,18,10,12,12,10,11,9,5,9,All
Brian T Ortelere,,,,,,,,,,,,,,,,,,,,,,,,1,14,13,9,5,5,11,6,3,19,14,5,11,5,3,10,5,6,4,0,3,All
Anthony Kyriakakis,,,,,,,,,,,,,,,,,,,,,,,,,1,22,9,16,9,10,13,10,11,7,10,8,9,12,12,7,9,4,2,1,All
Vince Giusini,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,15,12,12,9,8,9,8,10,6,9,5,8,6,8,5,4,0,All
Marissa Brumbach,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,20,11,8,16,5,9,8,9,12,4,5,10,1,8,7,3,All
Stella Tsai,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,18,9,11,17,8,8,13,5,13,9,6,14,6,8,4,2,All
Betsy Wahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,5,15,3,12,8,2,11,7,4,9,5,7,4,5,All
Thomas Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,9,6,7,6,7,9,10,6,4,8,5,5,4,All
Leon A King Ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,13,7,16,9,4,10,7,11,11,7,9,7,5,All
Frances Fattah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,11,3,8,8,11,8,9,6,12,8,5,All
Rainy Papademetriou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,5,3,6,1,7,1,4,1,2,1,All
Rania Major,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,10,9,7,8,8,7,11,4,5,All
William J Ciancaglini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,6,8,6,7,4,1,3,2,All
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,4,4,9,8,5,3,6,All
Jodi Lobel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,7,5,5,6,2,7,All
Joshua Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,6,6,3,3,3,All
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,4,5,6,3,All
Lucretia Clemons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,4,4,All
Sandjai Weaver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,1,1,All
Shanese Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,2,All
Starr Marshall Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,All
Tangie M Boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,All
Total,443,169,162,150,148,135,129,126,121,111,103,99,95,90,86,85,81,74,74,64,63,62,62,61,59,57,55,54,53,52,51,50,48,47,44,38,38,34,34,33,31,25,25,19,All
,District Council 1st District - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
,Mark F Squilla,James F Berardinelli,Jon Marshall,Daine Grey Jr,Scott Diclaudio,Vincent Furlong,Tracy B Roman,Jennifer Schultz,Ken Powell,Michael Fanning,Stephanie M Sawyer,Vincent N Melchiorre,Abbe Fletman,Chris Mccabe,Edward William Louden Jr,Leon Goodman,Mia Roberts Perez,Chris Mallios,Kai Scott,Lynne M Summers,Lyris Younge,Stella Tsai,Vince Giusini,Anthony Kyriakakis,Brian T Ortelere,Marissa Brumbach,Thomas Martin,Wayne M D Bennett,William J Ciancaglini,Betsy Wahl,Joshua Hill,Lucretia Clemons,Frances Fattah,Franklin A Bennett Iii,Jodi Lobel,Rainy Papademetriou,Deborah Watson Stokes,Leon A King Ii,Sandjai Weaver,Starr Marshall Cash,Tangie M Boston,Rania Major,Sherman Toppin,Shanese Johnson,7
Mark F Squilla,7,17,14,13,15,14,14,12,9,9,10,9,7,7,8,8,8,7,6,7,7,6,6,6,4,6,6,6,5,4,4,3,3,3,2,2,2,2,2,2,2,0,1,0,7
James F Berardinelli,,1,5,7,9,8,6,10,4,4,3,5,5,3,6,4,1,2,3,3,2,3,6,3,5,3,5,4,4,1,3,2,1,2,0,3,1,1,0,1,0,0,1,0,7
Jon Marshall,,,3,6,6,6,4,4,5,3,3,1,3,3,4,5,2,2,1,2,3,1,1,2,4,2,4,3,1,2,2,0,1,1,2,1,0,1,1,0,2,0,0,0,7
Daine Grey Jr,,,,0,8,8,6,8,6,6,4,4,7,1,4,3,6,4,4,3,4,3,5,4,4,1,2,4,1,2,0,2,1,2,2,3,0,2,2,1,2,0,1,0,7
Scott Diclaudio,,,,,1,5,8,7,6,4,3,3,5,3,5,6,4,3,2,3,3,3,5,2,3,2,3,5,4,2,1,0,1,1,1,2,1,1,0,0,0,0,1,0,7
Vincent Furlong,,,,,,0,4,8,4,2,3,3,4,5,3,2,4,2,2,5,2,4,3,3,5,3,4,3,2,3,2,3,3,1,1,3,1,2,2,2,2,0,1,0,7
Tracy B Roman,,,,,,,0,7,6,6,6,5,3,1,4,5,2,4,2,4,5,3,2,1,2,4,2,3,1,2,1,1,2,2,1,1,2,1,1,0,1,0,0,0,7
Jennifer Schultz,,,,,,,,0,4,3,1,2,4,2,5,3,2,2,1,4,2,5,4,3,3,2,3,4,2,2,2,2,2,2,1,3,1,2,2,2,1,0,1,0,7
Ken Powell,,,,,,,,,1,3,3,3,4,0,5,3,3,3,2,1,5,2,3,2,3,0,2,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,0,7
Michael Fanning,,,,,,,,,,0,5,7,5,2,0,2,2,6,5,1,3,1,3,1,1,3,2,3,2,0,1,1,0,2,2,0,0,1,1,0,1,0,0,0,7
Stephanie M Sawyer,,,,,,,,,,,0,5,3,2,1,1,4,5,4,3,4,2,0,2,1,4,1,1,0,3,1,1,1,0,0,0,2,0,0,0,1,0,0,0,7
Vincent N Melchiorre,,,,,,,,,,,,0,4,3,0,1,3,6,5,1,4,1,3,0,1,3,2,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,7
Abbe Fletman,,,,,,,,,,,,,0,1,1,1,3,3,3,1,3,1,3,2,2,1,1,2,2,1,1,1,0,0,1,3,0,1,0,0,1,0,1,0,7
Chris Mccabe,,,,,,,,,,,,,,1,0,1,3,2,2,3,0,3,1,0,1,3,3,1,3,2,2,2,2,0,1,0,1,0,0,1,0,0,0,0,7
Edward William Louden Jr,,,,,,,,,,,,,,,0,3,1,0,0,0,2,2,2,1,3,1,2,2,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,7
Leon Goodman,,,,,,,,,,,,,,,,0,0,0,0,3,3,0,2,1,2,2,4,3,1,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,7
