col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,division
,Justice Of The Supreme Court - Democrat,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Kevin M Dougherty,Christine Donohue,David Wecht,Anne E Lazarus,John Henry Foradora,Dwayne D Woodruff,Ken Powell,Kai Scott,Rainy Papademetriou,Mia Roberts Perez,Frances Fattah,Tracy B Roman,Michael Fanning,Brian T Ortelere,Lyris Younge,Leon Goodman,Thomas Martin,Jon Marshall,Leon A King Ii,Daine Grey Jr,Scott Diclaudio,Abbe Fletman,Stephanie M Sawyer,Deborah Watson Stokes,Jennifer Schultz,Lucretia Clemons,Wayne M D Bennett,Edward William Louden Jr,Lynne M Summers,Anthony Kyriakakis,Sherman Toppin,Vincent N Melchiorre,Chris Mallios,James F Berardinelli,Jodi Lobel,Marissa Brumbach,Stella Tsai,Vincent Furlong,Rania Major,Shanese Johnson,Chris Mccabe,Joshua Hill,Vince Giusini,Betsy Wahl,Sandjai Weaver,Starr Marshall Cash,Franklin A Bennett Iii,William J Ciancaglini,Tangie M Boston,1
Kevin M Dougherty,11,56,31,34,9,7,40,37,41,37,32,25,36,35,26,24,30,24,24,23,17,20,18,15,17,13,18,14,15,17,12,13,11,16,9,12,9,13,11,9,5,7,9,5,7,4,4,3,1,1
Christine Donohue,,4,23,21,4,5,35,30,28,32,22,23,27,25,18,15,16,15,17,10,13,13,15,16,13,12,9,13,12,9,11,10,12,7,10,10,10,6,9,8,6,4,6,7,7,3,1,2,1,1
David Wecht,,,2,12,2,1,19,15,15,14,18,19,10,9,16,12,12,14,12,10,16,10,9,10,6,10,10,11,5,6,11,10,6,7,7,4,8,4,4,3,6,4,4,3,5,4,3,3,1,1
Anne E Lazarus,,,,2,2,3,19,18,13,18,17,12,11,8,14,12,8,12,18,11,7,9,11,11,12,10,10,4,10,8,6,6,5,7,6,6,8,4,8,4,7,4,5,7,3,3,2,2,2,1
John Henry Foradora,,,,,1,0,5,0,5,2,1,4,1,6,6,4,3,3,3,6,4,7,2,3,6,2,3,4,3,0,2,0,0,5,0,1,1,6,1,1,1,1,0,1,0,0,0,0,1,1
Dwayne D Woodruff,,,,,,0,4,2,1,3,4,4,2,3,5,3,5,1,3,5,1,1,5,4,2,1,2,1,3,1,2,1,0,1,1,2,2,4,2,1,0,2,1,1,0,0,2,0,0,1
Ken Powell,,,,,,,1,18,19,20,19,24,18,17,16,14,17,18,14,13,16,15,9,9,9,4,10,13,9,7,5,12,10,8,3,5,6,6,7,3,4,1,2,4,4,0,2,1,0,1
Kai Scott,,,,,,,,1,30,32,22,13,25,27,11,9,15,4,12,9,4,13,10,10,5,11,5,2,4,6,6,15,12,1,8,4,7,2,5,3,5,1,2,6,2,2,1,1,1,1
Rainy Papademetriou,,,,,,,,,0,30,17,17,29,27,8,5,20,11,5,10,7,18,4,7,8,11,3,4,5,6,2,11,11,6,12,10,4,6,3,2,4,2,2,3,2,2,0,0,0,1
Mia Roberts Perez,,,,,,,,,,0,21,14,29,25,9,6,15,4,9,10,5,15,9,12,6,11,8,4,9,5,7,13,13,1,10,8,6,3,2,2,8,4,3,4,1,1,1,0,0,1
Frances Fattah,,,,,,,,,,,1,13,20,15,11,9,18,4,14,7,2,9,10,14,3,7,9,6,7,4,12,16,9,2,5,5,7,6,7,8,6,5,1,2,2,4,3,4,1,1
Tracy B Roman,,,,,,,,,,,,0,13,13,15,12,18,13,6,10,13,14,5,3,7,5,7,9,7,3,2,8,8,7,1,3,3,5,5,2,0,4,3,1,3,1,2,0,2,1
Michael Fanning,,,,,,,,,,,,,0,26,6,8,19,11,6,6,5,10,7,6,2,9,5,3,5,8,3,10,9,2,10,9,1,1,2,3,3,2,1,1,0,1,0,1,0,1
