col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,division
,District Council 7th District - Democrat,,City Commissioners - Democrat,,,,,,All
,Maria Quinones Sanchez,Manny Morales,Anthony Clark,Carol A Jenkins,Lisa M Deeley,Omar Sabir,Tracey L Gordon,Will Mega,All
Maria Quinones Sanchez,22,0,29,15,14,10,8,9,All
Manny Morales,,18,23,5,5,7,6,7,All
Anthony Clark,,,3,5,4,5,2,6,All
Carol A Jenkins,,,,0,4,1,7,1,All
Lisa M Deeley,,,,,0,4,2,1,All
Omar Sabir,,,,,,0,2,2,All
Tracey L Gordon,,,,,,,2,1,All
Will Mega,,,,,,,,0,All
Total,78,55,55,21,20,18,17,16,All
,District Council 7th District - Democrat,,City Commissioners - Democrat,,,,,,14
,Maria Quinones Sanchez,Manny Morales,Anthony Clark,Carol A Jenkins,Lisa M Deeley,Omar Sabir,Tracey L Gordon,Will Mega,14
Maria Quinones Sanchez,4,0,5,4,4,4,3,1,14
Manny Morales,,6,2,2,1,0,0,3,14
Anthony Clark,,,0,0,1,1,0,0,14
Carol A Jenkins,,,,0,2,0,3,0,14
Lisa M Deeley,,,,,0,2,0,0,14
Omar Sabir,,,,,,0,0,0,14
Tracey L Gordon,,,,,,,2,0,14
Will Mega,,,,,,,,0,14
Total,18,13,7,6,6,5,5,4,14
,City Commissioners - Democrat,,,,,,District Council 7th District - Democrat,,15
,Anthony Clark,Carol A Jenkins,Omar Sabir,Tracey L Gordon,Will Mega,Lisa M Deeley,Manny Morales,Maria Quinones Sanchez,15
Anthony Clark,2,2,2,2,3,0,9,7,15
Carol A Jenkins,,0,1,1,0,0,0,4,15
Omar Sabir,,,0,1,0,1,3,2,15
Tracey L Gordon,,,,0,1,0,3,1,15
Will Mega,,,,,0,1,3,2,15
Lisa M Deeley,,,,,,0,2,2,15
Manny Morales,,,,,,,4,0,15
Maria Quinones Sanchez,,,,,,,,4,15
Total,18,5,5,5,5,4,16,16,15
,District Council 7th District - Democrat,,City Commissioners - Democrat,,,,,,19
,Maria Quinones Sanchez,Manny Morales,Anthony Clark,Lisa M Deeley,Carol A Jenkins,Tracey L Gordon,Omar Sabir,Will Mega,19
Maria Quinones Sanchez,8,0,11,6,5,4,2,4,19
Manny Morales,,7,8,2,2,1,2,0,19
Anthony Clark,,,1,3,3,0,1,1,19
Lisa M Deeley,,,,0,1,2,0,0,19
Carol A Jenkins,,,,,0,2,0,0,19
Tracey L Gordon,,,,,,0,0,0,19
Omar Sabir,,,,,,,0,2,19
Will Mega,,,,,,,,0,19
Total,29,18,20,8,7,5,4,4,19
,District Council 7th District - Democrat,,City Commissioners - Democrat,,,,,,20
,Maria Quinones Sanchez,Manny Morales,Anthony Clark,Omar Sabir,Carol A Jenkins,Will Mega,Lisa M Deeley,Tracey L Gordon,20
Maria Quinones Sanchez,6,0,6,2,2,2,2,0,20
Manny Morales,,1,4,2,1,1,0,2,20
Anthony Clark,,,0,1,0,2,0,0,20
Omar Sabir,,,,0,0,0,1,1,20
Carol A Jenkins,,,,,0,1,1,1,20
Will Mega,,,,,,0,0,0,20
Lisa M Deeley,,,,,,,0,0,20
Tracey L Gordon,,,,,,,,0,20
Total,15,8,10,4,3,3,2,2,20
