col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,division
,Justice Of The Supreme Court - Democrat,,,,,,Council At Large - Democrat,,,,,,,,,,,,,,,,All
,Kevin M Dougherty,Anne E Lazarus,David Wecht,Christine Donohue,John Henry Foradora,Dwayne D Woodruff,Derek S Green,Isaiah Thomas,Blondell Reynolds Brown,W Wilson Goode Jr,Sherrie Cohen,Allan Domb,William K Greenlee,Jenne Ayers,Ed Neilson,Thomas Wyatt,Helen Gym,Carla M Cain,Wilson Alexander,Paul Steinke,Frank Rizzo,Marnie Aument Loughrey,All
Kevin M Dougherty,108,"1,165",747,608,455,197,"1,291","1,017","1,097",991,816,633,666,399,627,368,333,309,265,220,204,95,All
Anne E Lazarus,,13,430,455,360,126,783,666,855,714,525,421,378,272,348,248,280,214,163,184,161,75,All
David Wecht,,,66,335,76,74,831,536,402,342,479,296,423,301,285,180,158,117,230,127,96,37,All
Christine Donohue,,,,41,90,91,583,386,422,363,349,272,241,367,116,185,186,191,240,105,103,65,All
John Henry Foradora,,,,,3,32,372,154,337,297,138,122,73,96,239,120,52,90,71,54,28,18,All
Dwayne D Woodruff,,,,,,3,178,153,143,122,110,73,85,75,37,58,69,45,53,41,35,20,All
Derek S Green,,,,,,,49,729,712,604,549,354,445,362,478,336,197,167,312,192,102,55,All
Isaiah Thomas,,,,,,,,74,559,574,569,303,448,170,348,227,199,115,82,204,120,30,All
Blondell Reynolds Brown,,,,,,,,,34,831,436,334,396,205,390,128,229,168,126,128,132,50,All
W Wilson Goode Jr,,,,,,,,,,29,403,273,343,123,392,112,161,104,82,98,133,25,All
Sherrie Cohen,,,,,,,,,,,25,233,475,160,331,114,191,156,65,72,122,36,All
Allan Domb,,,,,,,,,,,,25,206,166,68,187,123,125,125,97,67,50,All
William K Greenlee,,,,,,,,,,,,,1,83,333,67,99,49,47,77,63,35,All
Jenne Ayers,,,,,,,,,,,,,,15,36,130,105,143,216,54,42,44,All
Ed Neilson,,,,,,,,,,,,,,,6,44,56,34,28,45,24,18,All
Thomas Wyatt,,,,,,,,,,,,,,,,3,70,90,127,141,33,19,All
Helen Gym,,,,,,,,,,,,,,,,,37,76,32,69,39,33,All
Carla M Cain,,,,,,,,,,,,,,,,,,18,72,27,47,33,All
Wilson Alexander,,,,,,,,,,,,,,,,,,,3,32,31,13,All
Paul Steinke,,,,,,,,,,,,,,,,,,,,2,23,15,All
Frank Rizzo,,,,,,,,,,,,,,,,,,,,,0,9,All
Marnie Aument Loughrey,,,,,,,,,,,,,,,,,,,,,,1,All
Total,"2,620","1,536","1,412","1,180",595,317,"2,061","1,540","1,526","1,343","1,172",901,869,752,749,534,527,475,475,359,283,131,All
,Justice Of The Supreme Court - Democrat,,,,,,Council At Large - Democrat,,,,,,,,,,,,,,,,1
,Kevin M Dougherty,Anne E Lazarus,David Wecht,Christine Donohue,John Henry Foradora,Dwayne D Woodruff,Derek S Green,Blondell Reynolds Brown,Isaiah Thomas,W Wilson Goode Jr,Sherrie Cohen,Allan Domb,Ed Neilson,William K Greenlee,Jenne Ayers,Thomas Wyatt,Helen Gym,Carla M Cain,Wilson Alexander,Frank Rizzo,Paul Steinke,Marnie Aument Loughrey,1
Kevin M Dougherty,3,43,21,22,20,10,47,40,32,34,30,22,23,17,15,13,11,11,7,5,10,3,1
Anne E Lazarus,,2,14,17,22,6,34,38,28,30,24,18,22,15,7,10,10,7,5,7,7,2,1
David Wecht,,,1,9,9,1,26,11,18,10,16,11,9,12,8,9,3,7,5,3,6,1,1
Christine Donohue,,,,1,10,6,22,15,18,14,15,10,8,8,14,9,9,9,7,1,3,3,1
