col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,division
,Justice Of The Supreme Court - Republican,,,,,,Mayor - Republican,1
,Anne Covey,Correale Stevens,Cheryl Allen,Judy Olson,Mike George,Rebecca Warren,Melissa Murray Bailey,1
Anne Covey,0,1,0,0,0,0,1,1
Correale Stevens,,0,0,0,0,0,1,1
Cheryl Allen,,,0,0,0,0,0,1
Judy Olson,,,,0,0,0,0,1
Mike George,,,,,0,0,0,1
Rebecca Warren,,,,,,0,0,1
Melissa Murray Bailey,,,,,,,0,1
Total,1,1,0,0,0,0,1,1
,Mayor - Republican,Justice Of The Supreme Court - Republican,,,,,,2
,Melissa Murray Bailey,Anne Covey,Judy Olson,Rebecca Warren,Correale Stevens,Cheryl Allen,Mike George,2
Melissa Murray Bailey,1,7,4,4,2,1,1,2
Anne Covey,,0,4,4,2,1,1,2
Judy Olson,,,1,2,2,0,0,2
Rebecca Warren,,,,0,0,1,1,2
Correale Stevens,,,,,0,0,0,2
Cheryl Allen,,,,,,0,0,2
Mike George,,,,,,,0,2
Total,8,7,5,4,2,1,1,2
,Mayor - Republican,Justice Of The Supreme Court - Republican,,,,,,3
,Melissa Murray Bailey,Anne Covey,Mike George,Correale Stevens,Rebecca Warren,Cheryl Allen,Judy Olson,3
Melissa Murray Bailey,0,4,2,3,1,1,1,3
Anne Covey,,0,3,1,1,1,1,3
Mike George,,,1,0,1,0,1,3
Correale Stevens,,,,0,0,0,0,3
Rebecca Warren,,,,,1,0,0,3
Cheryl Allen,,,,,,0,0,3
Judy Olson,,,,,,,0,3
Total,6,5,4,3,2,1,1,3
,Mayor - Republican,Justice Of The Supreme Court - Republican,,,,,,4
,Melissa Murray Bailey,Anne Covey,Correale Stevens,Mike George,Rebecca Warren,Cheryl Allen,Judy Olson,4
Melissa Murray Bailey,0,10,9,7,6,3,4,4
Anne Covey,,0,3,5,3,2,3,4
Correale Stevens,,,0,3,4,2,1,4
Mike George,,,,0,1,1,4,4
Rebecca Warren,,,,,0,3,0,4
Cheryl Allen,,,,,,0,0,4
Judy Olson,,,,,,,0,4
Total,17,10,10,7,7,4,4,4
,Mayor - Republican,Justice Of The Supreme Court - Republican,,,,,,5
,Melissa Murray Bailey,Anne Covey,Correale Stevens,Cheryl Allen,Rebecca Warren,Mike George,Judy Olson,5
Melissa Murray Bailey,0,2,3,2,2,0,0,5
Anne Covey,,0,0,0,0,1,0,5
Correale Stevens,,,0,2,2,0,0,5
Cheryl Allen,,,,0,2,0,0,5
Rebecca Warren,,,,,0,0,0,5
Mike George,,,,,,0,0,5
Judy Olson,,,,,,,0,5
Total,5,3,3,2,2,1,0,5
,Mayor - Republican,Justice Of The Supreme Court - Republican,,,,,,6
,Melissa Murray Bailey,Anne Covey,Judy Olson,Mike George,Cheryl Allen,Correale Stevens,Rebecca Warren,6
Melissa Murray Bailey,1,1,1,1,0,0,0,6
Anne Covey,,0,1,1,0,0,0,6
Judy Olson,,,0,1,0,0,0,6
Mike George,,,,0,0,0,0,6
Cheryl Allen,,,,,0,0,0,6
Correale Stevens,,,,,,0,0,6
Rebecca Warren,,,,,,,0,6
Total,2,1,1,1,0,0,0,6
,Mayor - Republican,Justice Of The Supreme Court - Republican,,,,,,7
,Melissa Murray Bailey,Anne Covey,Correale Stevens,Mike George,Cheryl Allen,Judy Olson,Rebecca Warren,7
Melissa Murray Bailey,1,0,1,1,0,0,0,7
Anne Covey,,1,0,0,0,0,0,7
Correale Stevens,,,0,1,0,0,0,7
Mike George,,,,0,0,0,0,7
Cheryl Allen,,,,,0,0,0,7
Judy Olson,,,,,,0,0,7
Rebecca Warren,,,,,,,0,7
Total,2,1,1,1,0,0,0,7
,Mayor - Republican,Justice Of The Supreme Court - Republican,,,,,,8
,Melissa Murray Bailey,Anne Covey,Judy Olson,Rebecca Warren,Cheryl Allen,Correale Stevens,Mike George,8
Melissa Murray Bailey,1,3,2,2,1,1,1,8
Anne Covey,,0,2,1,0,0,1,8
Judy Olson,,,0,1,0,0,1,8
Rebecca Warren,,,,0,1,1,0,8
Cheryl Allen,,,,,0,1,0,8
Correale Stevens,,,,,,0,0,8
Mike George,,,,,,,0,8
Total,5,3,2,2,1,1,1,8
,Mayor - Republican,Justice Of The Supreme Court - Republican,,,,,,9
,Melissa Murray Bailey,Rebecca Warren,Anne Covey,Correale Stevens,Judy Olson,Cheryl Allen,Mike George,9
Melissa Murray Bailey,0,4,4,2,1,0,0,9
Rebecca Warren,,0,3,1,2,1,0,9
Anne Covey,,,0,2,1,0,0,9
Correale Stevens,,,,0,0,0,0,9
Judy Olson,,,,,0,1,0,9
Cheryl Allen,,,,,,0,0,9
Mike George,,,,,,,0,9
Total,5,5,4,2,2,1,0,9
,Justice Of The Supreme Court - Republican,,,,,,Mayor - Republican,10
,Judy Olson,Anne Covey,Mike George,Rebecca Warren,Cheryl Allen,Correale Stevens,Melissa Murray Bailey,10
Judy Olson,0,4,3,2,0,0,5,10
Anne Covey,,0,3,1,0,0,4,10
Mike George,,,0,0,0,0,3,10
Rebecca Warren,,,,0,0,0,2,10
Cheryl Allen,,,,,0,0,0,10
Correale Stevens,,,,,,0,0,10
Melissa Murray Bailey,,,,,,,0,10
Total,5,4,3,2,0,0,5,10
,Mayor - Republican,Justice Of The Supreme Court - Republican,,,,,,11
,Melissa Murray Bailey,Anne Covey,Rebecca Warren,Correale Stevens,Mike George,Cheryl Allen,Judy Olson,11
Melissa Murray Bailey,1,8,7,6,3,3,3,11
Anne Covey,,0,5,4,2,2,2,11
Rebecca Warren,,,1,5,2,2,0,11
Correale Stevens,,,,0,2,1,0,11
Mike George,,,,,1,0,1,11
Cheryl Allen,,,,,,1,1,11
Judy Olson,,,,,,,0,11
Total,12,8,8,7,5,4,3,11
