col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,col_53,col_54,col_55,col_56,col_57,col_58,col_59,col_60,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Derek S Green,Blondell Reynolds Brown,W Wilson Goode Jr,Isaiah Thomas,Sherrie Cohen,William K Greenlee,Helen Gym,Allan Domb,Jenne Ayers,Ed Neilson,Thomas Wyatt,Wilson Alexander,Paul Steinke,Carla M Cain,Frank Rizzo,Marnie Aument Loughrey,Kai Scott,Daine Grey Jr,Lyris Younge,Ken Powell,Rainy Papademetriou,Mia Roberts Perez,Stephanie M Sawyer,Abbe Fletman,Scott Diclaudio,Frances Fattah,Leon Goodman,Tracy B Roman,Jennifer Schultz,Thomas Martin,Jon Marshall,Deborah Watson Stokes,Chris Mallios,Betsy Wahl,Michael Fanning,Stella Tsai,Edward William Louden Jr,Leon A King Ii,Lynne M Summers,Anthony Kyriakakis,Lucretia Clemons,Brian T Ortelere,Marissa Brumbach,Wayne M D Bennett,Shanese Johnson,Vincent Furlong,Vincent N Melchiorre,James F Berardinelli,Sherman Toppin,Rania Major,Joshua Hill,Jodi Lobel,Sandjai Weaver,Chris Mccabe,Vince Giusini,Franklin A Bennett Iii,Starr Marshall Cash,Tangie M Boston,William J Ciancaglini,All
Derek S Green,61,512,559,432,372,450,238,363,277,375,211,219,122,107,92,51,481,511,547,603,490,414,409,393,531,356,430,371,316,391,387,216,275,177,309,145,260,211,198,165,197,211,228,195,157,154,99,138,157,120,120,125,101,106,97,83,66,64,39,All
Blondell Reynolds Brown,,29,685,434,403,423,394,307,180,217,120,113,138,107,119,54,515,409,399,325,326,402,371,314,211,430,346,298,325,186,240,332,228,245,173,244,140,228,221,176,196,181,202,207,204,159,202,114,170,149,122,104,105,123,107,92,80,81,48,All
W Wilson Goode Jr,,,24,403,462,496,354,242,109,350,100,72,116,63,113,20,552,474,459,402,416,458,454,380,257,389,277,214,260,293,191,288,296,213,269,202,111,206,152,162,148,136,159,172,155,125,184,81,127,101,96,84,93,118,78,66,74,70,39,All
Isaiah Thomas,,,,33,222,249,256,258,130,146,112,73,141,64,78,25,377,283,283,251,209,285,288,213,130,294,199,193,160,194,149,222,141,150,137,151,101,195,180,141,191,77,151,140,149,113,107,79,133,110,86,114,94,114,54,60,65,76,36,All
Sherrie Cohen,,,,,4,449,380,149,143,247,104,51,90,100,74,30,479,443,316,328,373,398,427,402,268,177,163,183,202,258,91,216,317,237,225,217,95,143,162,152,105,78,110,108,141,89,140,99,75,114,78,72,94,67,61,50,49,50,33,All
William K Greenlee,,,,,,5,240,221,69,343,56,47,83,33,56,31,444,411,368,343,378,373,386,357,257,169,144,147,132,292,129,183,291,174,293,142,79,122,115,182,129,81,126,87,94,88,144,77,88,62,68,87,51,72,61,48,54,36,30,All
Helen Gym,,,,,,,25,175,139,51,91,36,155,74,60,47,355,261,187,163,233,283,266,279,98,156,127,152,178,95,90,207,208,236,71,239,66,129,130,164,104,80,98,100,125,64,120,65,79,102,61,72,83,64,57,47,53,41,19,All
Allan Domb,,,,,,,,32,132,111,156,86,93,102,69,38,227,224,207,217,230,178,160,167,168,197,195,221,213,154,176,129,85,108,126,100,108,129,126,128,150,143,131,111,108,157,61,134,85,91,60,94,64,58,55,46,45,47,30,All
Jenne Ayers,,,,,,,,,15,34,109,151,53,114,40,59,139,167,220,223,115,134,139,125,188,155,203,257,160,84,170,118,62,89,48,102,186,115,103,56,90,79,62,97,94,79,39,84,57,89,60,42,69,36,46,49,46,38,26,All
Ed Neilson,,,,,,,,,,2,30,22,38,22,19,15,265,258,257,249,322,231,245,204,214,122,118,71,113,253,147,59,181,55,266,35,30,38,57,74,72,89,133,45,45,36,60,27,44,31,29,65,25,28,23,23,30,11,14,All
Thomas Wyatt,,,,,,,,,,,4,93,100,80,41,30,121,160,102,150,127,91,86,137,107,106,128,118,156,92,105,90,62,67,52,70,95,108,79,61,71,109,47,82,66,117,46,102,62,52,64,39,39,43,46,40,27,24,27,All
Wilson Alexander,,,,,,,,,,,,3,22,35,23,22,79,99,160,165,64,62,58,70,141,82,176,164,89,68,134,65,37,31,34,40,150,72,58,31,43,49,29,62,47,69,19,51,43,46,49,22,26,27,34,41,27,26,21,All
Paul Steinke,,,,,,,,,,,,,3,24,23,27,148,90,96,76,94,121,80,127,58,81,65,68,86,52,52,78,76,54,55,88,44,66,48,63,70,50,33,55,37,59,60,52,65,28,41,45,30,52,36,19,26,22,16,All
Carla M Cain,,,,,,,,,,,,,,5,38,35,85,122,69,73,95,91,75,97,59,86,82,110,137,64,58,77,25,72,26,78,49,59,96,40,64,76,56,49,63,84,25,79,41,56,35,38,43,20,25,26,32,32,14,All
Frank Rizzo,,,,,,,,,,,,,,,4,9,83,66,62,61,53,54,69,47,53,81,66,73,65,45,37,70,31,55,27,55,36,60,56,36,40,24,38,47,51,53,32,39,37,36,30,28,26,28,36,32,19,22,22,All
Marnie Aument Loughrey,,,,,,,,,,,,,,,,0,41,46,41,36,31,38,31,39,40,41,41,53,51,37,33,30,15,31,19,37,34,31,40,22,31,20,26,31,29,20,16,20,23,35,24,17,27,9,19,18,17,18,9,All
Kai Scott,,,,,,,,,,,,,,,,,9,541,497,404,428,567,553,515,285,238,170,213,171,292,89,304,430,269,300,258,86,182,161,208,156,68,103,144,165,114,232,78,129,103,88,87,87,114,87,59,69,61,33,All
Daine Grey Jr,,,,,,,,,,,,,,,,,,2,421,438,482,478,523,549,334,183,185,206,207,312,123,242,371,228,271,201,121,172,138,180,92,150,85,137,129,146,199,147,105,94,90,61,81,60,61,56,61,49,24,All
Lyris Younge,,,,,,,,,,,,,,,,,,,10,511,304,382,375,370,420,208,214,302,166,262,193,165,238,125,267,99,198,138,131,79,118,77,70,100,118,100,121,66,118,88,56,64,60,103,66,50,48,31,25,All
Ken Powell,,,,,,,,,,,,,,,,,,,,1,330,354,353,356,441,187,273,276,168,306,244,118,276,101,291,79,225,160,128,94,94,112,70,126,98,130,97,107,98,84,79,42,70,70,67,56,54,41,34,All
Rainy Papademetriou,,,,,,,,,,,,,,,,,,,,,5,381,367,453,269,193,191,132,262,314,230,173,319,184,261,212,86,83,99,239,124,226,196,70,70,118,153,136,51,56,51,86,62,33,42,31,27,28,21,All
Mia Roberts Perez,,,,,,,,,,,,,,,,,,,,,,3,490,444,255,207,114,207,149,266,70,274,366,244,277,252,62,117,140,179,147,59,107,105,109,86,208,50,111,95,68,81,57,96,47,40,66,52,26,All
Stephanie M Sawyer,,,,,,,,,,,,,,,,,,,,,,,9,391,261,186,127,181,138,264,64,297,364,251,271,214,61,143,160,152,107,48,104,102,133,66,182,56,73,99,58,52,65,60,44,50,67,62,24,All
Abbe Fletman,,,,,,,,,,,,,,,,,,,,,,,,2,274,112,117,169,202,240,89,192,387,202,235,223,79,89,101,187,90,135,71,85,72,118,206,134,78,60,57,63,36,82,57,22,26,17,17,All
Scott Diclaudio,,,,,,,,,,,,,,,,,,,,,,,,,8,95,211,277,120,228,191,58,208,66,233,58,195,86,83,53,49,93,34,91,53,76,74,98,57,62,57,25,41,28,59,41,25,30,26,All
Frances Fattah,,,,,,,,,,,,,,,,,,,,,,,,,,2,265,181,245,139,187,221,70,119,80,123,104,188,167,67,134,141,160,131,163,114,73,64,107,111,80,59,88,79,55,77,66,64,42,All
Leon Goodman,,,,,,,,,,,,,,,,,,,,,,,,,,,9,268,248,136,319,148,63,81,57,85,197,171,138,77,88,189,139,146,117,128,43,104,86,82,94,43,73,52,69,70,52,59,34,All
Tracy B Roman,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,204,123,202,145,73,113,93,121,217,132,150,60,118,99,94,110,124,123,75,96,80,106,68,59,72,39,67,54,49,59,31,All
Jennifer Schultz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,106,226,121,77,146,56,130,117,108,171,77,104,231,185,115,104,168,37,149,83,97,86,72,62,59,68,37,48,38,21,All
Thomas Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,138,90,198,63,245,61,76,94,105,102,116,46,115,109,84,79,36,63,85,50,74,83,48,34,54,45,40,26,26,All
Jon Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,64,33,45,90,40,169,91,92,98,95,172,173,75,52,83,22,82,63,56,58,75,44,35,44,38,34,25,24,All
