col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,division
,Justice Of The Supreme Court - Democrat,,,,,,District Council 3rd District - Democrat,1
,Kevin M Dougherty,Anne E Lazarus,Christine Donohue,David Wecht,Dwayne D Woodruff,John Henry Foradora,Jannie L Blackwell,1
Kevin M Dougherty,20,13,11,14,2,0,0,1
Anne E Lazarus,,7,11,10,3,0,0,1
Christine Donohue,,,9,10,1,0,0,1
David Wecht,,,,6,1,0,0,1
Dwayne D Woodruff,,,,,0,0,0,1
John Henry Foradora,,,,,,1,0,1
Jannie L Blackwell,,,,,,,0,1
Total,42,27,26,26,4,1,0,1
,Justice Of The Supreme Court - Democrat,,,,,,District Council 3rd District - Democrat,2
,Kevin M Dougherty,David Wecht,Christine Donohue,Anne E Lazarus,Dwayne D Woodruff,John Henry Foradora,Jannie L Blackwell,2
Kevin M Dougherty,35,16,14,20,6,5,0,2
David Wecht,,14,9,6,2,3,0,2
Christine Donohue,,,10,10,3,1,0,2
Anne E Lazarus,,,,0,1,1,0,2
Dwayne D Woodruff,,,,,0,0,0,2
John Henry Foradora,,,,,,1,0,2
Jannie L Blackwell,,,,,,,0,2
Total,71,39,34,23,6,6,0,2
,Justice Of The Supreme Court - Democrat,,,,,,District Council 3rd District - Democrat,3
,Kevin M Dougherty,David Wecht,Christine Donohue,Anne E Lazarus,Dwayne D Woodruff,John Henry Foradora,Jannie L Blackwell,3
Kevin M Dougherty,104,35,26,26,7,4,0,3
David Wecht,,12,17,8,1,1,0,3
Christine Donohue,,,17,15,4,2,0,3
Anne E Lazarus,,,,3,1,2,0,3
Dwayne D Woodruff,,,,,0,0,0,3
John Henry Foradora,,,,,,0,0,3
Jannie L Blackwell,,,,,,,0,3
Total,170,60,58,32,7,5,0,3
,Justice Of The Supreme Court - Democrat,,,,,,District Council 3rd District - Democrat,4
,Kevin M Dougherty,Christine Donohue,David Wecht,Anne E Lazarus,John Henry Foradora,Dwayne D Woodruff,Jannie L Blackwell,4
Kevin M Dougherty,49,9,7,8,3,0,74,4
Christine Donohue,,2,10,5,3,1,21,4
David Wecht,,,3,2,1,0,16,4
Anne E Lazarus,,,,0,0,0,8,4
John Henry Foradora,,,,,0,0,4,4
Dwayne D Woodruff,,,,,,0,2,4
Jannie L Blackwell,,,,,,,6,4
Total,129,26,23,10,6,2,101,4
,Justice Of The Supreme Court - Democrat,,,,,,District Council 3rd District - Democrat,5
,David Wecht,Kevin M Dougherty,Christine Donohue,John Henry Foradora,Anne E Lazarus,Dwayne D Woodruff,Jannie L Blackwell,5
David Wecht,77,19,12,6,7,1,0,5
Kevin M Dougherty,,38,13,8,9,5,0,5
Christine Donohue,,,12,4,4,2,0,5
John Henry Foradora,,,,2,2,0,0,5
Anne E Lazarus,,,,,2,0,0,5
Dwayne D Woodruff,,,,,,0,0,5
Jannie L Blackwell,,,,,,,0,5
Total,108,74,36,15,14,5,0,5
,Justice Of The Supreme Court - Democrat,,,,,,District Council 3rd District - Democrat,6
,Kevin M Dougherty,Christine Donohue,David Wecht,Anne E Lazarus,John Henry Foradora,Dwayne D Woodruff,Jannie L Blackwell,6
Kevin M Dougherty,25,15,9,8,4,2,0,6
Christine Donohue,,5,7,6,2,2,0,6
David Wecht,,,9,4,2,1,0,6
Anne E Lazarus,,,,4,3,1,0,6
John Henry Foradora,,,,,0,0,0,6
Dwayne D Woodruff,,,,,,0,0,6
Jannie L Blackwell,,,,,,,0,6
Total,49,27,24,15,6,3,0,6
,Justice Of The Supreme Court - Democrat,,,,,,District Council 3rd District - Democrat,7
