col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,division
,District Council 8th District - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Cindy Bass,Ken Powell,Tracy B Roman,Kai Scott,Brian T Ortelere,Mia Roberts Perez,Thomas Martin,Rainy Papademetriou,Abbe Fletman,Frances Fattah,Michael Fanning,Chris Mallios,Vincent N Melchiorre,Scott Diclaudio,Jennifer Schultz,Leon Goodman,Lyris Younge,Edward William Louden Jr,Jon Marshall,Daine Grey Jr,James F Berardinelli,Lynne M Summers,Vincent Furlong,Deborah Watson Stokes,Shanese Johnson,Leon A King Ii,Lucretia Clemons,Marissa Brumbach,Stephanie M Sawyer,Vince Giusini,Wayne M D Bennett,Rania Major,Anthony Kyriakakis,Franklin A Bennett Iii,Sandjai Weaver,Stella Tsai,Sherman Toppin,Betsy Wahl,Chris Mccabe,Jodi Lobel,Joshua Hill,William J Ciancaglini,Starr Marshall Cash,Tangie M Boston,All
Cindy Bass,20,187,174,143,124,135,134,120,109,123,109,106,107,68,54,63,59,59,49,36,29,38,25,32,30,27,22,24,22,22,19,24,20,20,22,20,16,17,16,15,17,15,13,16,All
Ken Powell,,8,151,110,118,103,107,111,95,107,101,97,98,48,24,51,47,45,40,23,21,11,8,15,10,13,12,7,8,8,7,9,5,16,7,4,8,1,8,4,14,6,5,4,All
Tracy B Roman,,,6,107,108,100,104,104,93,98,91,91,88,47,31,49,49,49,38,24,13,12,14,17,14,11,8,10,15,7,5,9,3,5,7,7,7,6,5,7,5,4,6,5,All
Kai Scott,,,,1,95,110,112,100,92,106,100,98,96,14,18,15,19,18,9,13,10,17,9,13,19,13,16,9,15,12,11,12,15,8,14,9,8,7,10,13,5,8,4,5,All
Brian T Ortelere,,,,,2,95,97,117,105,94,97,94,94,20,27,15,12,14,15,26,27,3,17,6,4,7,3,1,1,5,8,6,4,7,4,3,7,0,4,1,5,3,1,3,All
Mia Roberts Perez,,,,,,4,103,91,85,103,102,98,97,11,21,9,11,10,6,10,8,15,9,12,11,9,13,11,13,9,5,13,7,7,12,10,6,11,9,10,6,6,5,5,All
Thomas Martin,,,,,,,0,100,90,106,98,99,95,5,17,15,10,11,8,6,8,17,11,16,12,8,10,8,9,7,9,7,9,5,9,6,10,2,5,10,6,5,5,3,All
Rainy Papademetriou,,,,,,,,1,108,95,93,91,89,19,34,20,19,20,14,27,26,7,23,5,5,7,9,3,3,5,6,3,5,4,7,5,7,1,5,5,2,5,3,2,All
