col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,division
,Mayor - Democrat,,,,,,City Commissioners - Democrat,,,,,,1
,Jim Kenney,Anthony Hardy Williams,Lynne M Abraham,Doug Oliver,Nelson Diaz,T Milton Street Sr,Anthony Clark,Omar Sabir,Lisa M Deeley,Tracey L Gordon,Carol A Jenkins,Will Mega,1
Jim Kenney,23,0,0,0,0,0,35,41,34,15,16,5,1
Anthony Hardy Williams,,27,0,0,0,0,29,10,5,8,6,9,1
Lynne M Abraham,,,7,0,0,0,2,3,5,2,1,0,1
Doug Oliver,,,,5,0,0,4,3,1,0,2,2,1
Nelson Diaz,,,,,1,0,1,1,1,1,1,1,1
T Milton Street Sr,,,,,,1,2,0,0,1,0,1,1
Anthony Clark,,,,,,,1,13,6,7,12,8,1
Omar Sabir,,,,,,,,0,26,4,2,4,1
Lisa M Deeley,,,,,,,,,0,1,4,0,1
Tracey L Gordon,,,,,,,,,,0,5,0,1
Carol A Jenkins,,,,,,,,,,,0,1,1
Will Mega,,,,,,,,,,,,0,1
Total,112,71,15,12,5,4,74,58,46,27,26,18,1
,Mayor - Democrat,,,,,,City Commissioners - Democrat,,,,,,2
,Jim Kenney,Anthony Hardy Williams,Doug Oliver,Lynne M Abraham,Nelson Diaz,T Milton Street Sr,Anthony Clark,Omar Sabir,Lisa M Deeley,Tracey L Gordon,Carol A Jenkins,Will Mega,2
Jim Kenney,25,0,0,0,0,0,57,50,57,23,18,6,2
Anthony Hardy Williams,,15,0,0,0,0,41,23,14,11,4,12,2
Doug Oliver,,,5,0,0,0,10,14,7,7,4,3,2
Lynne M Abraham,,,,4,0,0,7,1,1,3,2,1,2
Nelson Diaz,,,,,2,0,3,1,0,3,0,1,2
T Milton Street Sr,,,,,,2,2,0,1,2,0,0,2
Anthony Clark,,,,,,,3,21,13,27,16,2,2
Omar Sabir,,,,,,,,1,48,7,1,4,2
Lisa M Deeley,,,,,,,,,0,2,3,2,2
Tracey L Gordon,,,,,,,,,,0,6,3,2
Carol A Jenkins,,,,,,,,,,,0,0,2
Will Mega,,,,,,,,,,,,0,2
Total,149,82,31,14,6,5,123,90,80,49,28,23,2
,Mayor - Democrat,,,,,,City Commissioners - Democrat,,,,,,3
,Jim Kenney,Anthony Hardy Williams,Lynne M Abraham,Doug Oliver,Nelson Diaz,T Milton Street Sr,Anthony Clark,Omar Sabir,Lisa M Deeley,Tracey L Gordon,Carol A Jenkins,Will Mega,3
Jim Kenney,39,0,0,0,0,0,39,54,48,17,18,7,3
Anthony Hardy Williams,,10,0,0,0,0,48,23,11,17,13,7,3
Lynne M Abraham,,,5,0,0,0,8,3,1,5,4,2,3
Doug Oliver,,,,2,0,0,6,8,1,3,2,0,3
Nelson Diaz,,,,,3,0,2,4,1,2,3,1,3
T Milton Street Sr,,,,,,0,1,1,1,0,1,1,3
Anthony Clark,,,,,,,0,20,5,15,15,7,3
Omar Sabir,,,,,,,,0,41,6,7,3,3
Lisa M Deeley,,,,,,,,,1,3,2,0,3
Tracey L Gordon,,,,,,,,,,0,11,5,3
Carol A Jenkins,,,,,,,,,,,0,0,3
Will Mega,,,,,,,,,,,,0,3
Total,151,83,20,15,10,4,104,94,64,45,41,18,3
,Mayor - Democrat,,,,,,City Commissioners - Democrat,,,,,,4
,Jim Kenney,Anthony Hardy Williams,Doug Oliver,Lynne M Abraham,Nelson Diaz,T Milton Street Sr,Omar Sabir,Anthony Clark,Lisa M Deeley,Tracey L Gordon,Carol A Jenkins,Will Mega,4
Jim Kenney,36,0,0,0,0,0,56,37,56,16,19,10,4
Anthony Hardy Williams,,14,0,0,0,0,11,26,7,8,3,6,4
Doug Oliver,,,2,0,0,0,7,3,2,2,2,2,4
Lynne M Abraham,,,,0,0,0,2,1,4,2,1,1,4
Nelson Diaz,,,,,2,0,3,2,0,3,1,1,4
T Milton Street Sr,,,,,,1,0,3,0,1,0,1,4
Omar Sabir,,,,,,,0,10,48,3,5,4,4
Anthony Clark,,,,,,,,1,7,11,8,9,4
Lisa M Deeley,,,,,,,,,0,2,1,2,4
Tracey L Gordon,,,,,,,,,,1,6,2,4
Carol A Jenkins,,,,,,,,,,,0,0,4
Will Mega,,,,,,,,,,,,0,4
Total,147,56,14,7,7,6,80,73,70,33,26,21,4
,Mayor - Democrat,,,,,,City Commissioners - Democrat,,,,,,5
,Jim Kenney,Anthony Hardy Williams,Doug Oliver,Lynne M Abraham,Nelson Diaz,T Milton Street Sr,Anthony Clark,Omar Sabir,Lisa M Deeley,Tracey L Gordon,Will Mega,Carol A Jenkins,5
Jim Kenney,43,0,0,0,0,0,44,51,54,14,15,14,5
Anthony Hardy Williams,,12,0,0,0,0,36,22,15,11,8,6,5
Doug Oliver,,,4,0,0,0,4,4,5,4,3,2,5
Lynne M Abraham,,,,3,0,0,4,2,2,5,2,0,5
Nelson Diaz,,,,,3,0,2,1,0,2,1,1,5
T Milton Street Sr,,,,,,0,1,2,0,1,1,0,5
Anthony Clark,,,,,,,2,11,10,14,11,12,5
Omar Sabir,,,,,,,,0,52,5,6,2,5
Lisa M Deeley,,,,,,,,,1,2,3,2,5
Tracey L Gordon,,,,,,,,,,0,7,3,5
Will Mega,,,,,,,,,,,1,0,5
Carol A Jenkins,,,,,,,,,,,,0,5
Total,154,71,18,11,7,3,93,82,77,37,31,23,5
,Mayor - Democrat,,,,,,City Commissioners - Democrat,,,,,,6
,Jim Kenney,Anthony Hardy Williams,Doug Oliver,T Milton Street Sr,Lynne M Abraham,Nelson Diaz,Anthony Clark,Omar Sabir,Lisa M Deeley,Carol A Jenkins,Tracey L Gordon,Will Mega,6
Jim Kenney,21,0,0,0,0,0,30,43,39,12,17,4,6
Anthony Hardy Williams,,18,0,0,0,0,32,10,8,14,5,6,6
Doug Oliver,,,2,0,0,0,7,7,4,4,5,3,6
T Milton Street Sr,,,,2,0,0,2,2,0,0,0,2,6
Lynne M Abraham,,,,,0,0,4,1,0,3,3,1,6
Nelson Diaz,,,,,,2,2,0,2,1,0,0,6
Anthony Clark,,,,,,,1,10,5,15,10,7,6
Omar Sabir,,,,,,,,0,31,4,9,1,6
Lisa M Deeley,,,,,,,,,0,5,2,0,6
Carol A Jenkins,,,,,,,,,,0,4,0,6
Tracey L Gordon,,,,,,,,,,,0,2,6
Will Mega,,,,,,,,,,,,0,6
Total,108,68,21,7,6,5,78,65,54,34,31,16,6
,Mayor - Democrat,,,,,,City Commissioners - Democrat,,,,,,7
,Jim Kenney,Anthony Hardy Williams,Doug Oliver,Lynne M Abraham,Nelson Diaz,T Milton Street Sr,Lisa M Deeley,Omar Sabir,Anthony Clark,Tracey L Gordon,Carol A Jenkins,Will Mega,7
Jim Kenney,46,0,0,0,0,0,89,72,47,15,26,4,7
Anthony Hardy Williams,,16,0,0,0,0,11,21,31,12,4,4,7
Doug Oliver,,,8,0,0,0,5,8,3,3,1,5,7
Lynne M Abraham,,,,1,0,0,2,2,6,6,4,0,7
Nelson Diaz,,,,,1,0,4,5,4,0,1,0,7
T Milton Street Sr,,,,,,0,0,0,2,0,0,3,7
Lisa M Deeley,,,,,,,0,77,9,5,6,1,7
Omar Sabir,,,,,,,,1,15,4,2,3,7
Anthony Clark,,,,,,,,,4,12,15,4,7
Tracey L Gordon,,,,,,,,,,0,6,3,7
Carol A Jenkins,,,,,,,,,,,0,0,7
Will Mega,,,,,,,,,,,,0,7
Total,197,68,22,12,8,5,112,110,98,37,36,16,7
,Mayor - Democrat,,,,,,City Commissioners - Democrat,,,,,,8
,Jim Kenney,Anthony Hardy Williams,Doug Oliver,Lynne M Abraham,T Milton Street Sr,Nelson Diaz,Lisa M Deeley,Omar Sabir,Anthony Clark,Tracey L Gordon,Carol A Jenkins,Will Mega,8
Jim Kenney,35,0,0,0,0,0,78,68,35,16,8,10,8
Anthony Hardy Williams,,15,0,0,0,0,14,18,29,12,8,6,8
Doug Oliver,,,4,0,0,0,6,2,4,5,1,2,8
Lynne M Abraham,,,,5,0,0,5,1,5,1,2,0,8
T Milton Street Sr,,,,,2,0,0,1,3,1,1,0,8
Nelson Diaz,,,,,,1,1,1,0,0,0,0,8
Lisa M Deeley,,,,,,,0,68,7,6,2,2,8
Omar Sabir,,,,,,,,0,6,1,2,3,8
Anthony Clark,,,,,,,,,0,19,7,7,8
Tracey L Gordon,,,,,,,,,,0,3,3,8
Carol A Jenkins,,,,,,,,,,,0,1,8
Will Mega,,,,,,,,,,,,0,8
Total,160,69,17,15,6,2,104,91,76,35,20,18,8
,Mayor - Democrat,,,,,,City Commissioners - Democrat,,,,,,9
,Jim Kenney,Anthony Hardy Williams,Doug Oliver,Lynne M Abraham,T Milton Street Sr,Nelson Diaz,Omar Sabir,Lisa M Deeley,Anthony Clark,Tracey L Gordon,Carol A Jenkins,Will Mega,9
Jim Kenney,50,0,0,0,0,0,70,75,48,33,21,10,9
Anthony Hardy Williams,,20,0,0,0,0,21,12,22,6,5,6,9
Doug Oliver,,,3,0,0,0,13,7,9,4,4,1,9
Lynne M Abraham,,,,6,0,0,1,0,2,1,1,1,9
T Milton Street Sr,,,,,1,0,2,0,1,0,0,1,9
Nelson Diaz,,,,,,0,0,1,2,0,0,1,9
Omar Sabir,,,,,,,1,72,16,2,5,8,9
Lisa M Deeley,,,,,,,,0,4,5,4,1,9
Anthony Clark,,,,,,,,,0,19,12,7,9
