col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,col_53,col_54,col_55,col_56,col_57,col_58,col_59,col_60,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Allan Domb,Frank Rizzo,Ed Neilson,William K Greenlee,Helen Gym,Derek S Green,Paul Steinke,Sherrie Cohen,Jenne Ayers,Thomas Wyatt,Blondell Reynolds Brown,Carla M Cain,W Wilson Goode Jr,Isaiah Thomas,Marnie Aument Loughrey,Wilson Alexander,Scott Diclaudio,Tracy B Roman,Ken Powell,Michael Fanning,Jennifer Schultz,Mia Roberts Perez,Daine Grey Jr,Vincent Furlong,Jon Marshall,Lyris Younge,Abbe Fletman,Stephanie M Sawyer,Kai Scott,James F Berardinelli,Chris Mallios,Vincent N Melchiorre,Lynne M Summers,Leon Goodman,Anthony Kyriakakis,Chris Mccabe,Betsy Wahl,Edward William Louden Jr,Marissa Brumbach,Thomas Martin,Stella Tsai,Vince Giusini,Wayne M D Bennett,Brian T Ortelere,Rainy Papademetriou,Deborah Watson Stokes,William J Ciancaglini,Rania Major,Frances Fattah,Jodi Lobel,Leon A King Ii,Franklin A Bennett Iii,Lucretia Clemons,Joshua Hill,Sherman Toppin,Sandjai Weaver,Shanese Johnson,Starr Marshall Cash,Tangie M Boston,All
Lyris Younge,,,,,,,,,,,,,,,,,,,,,,,,,,2,127,102,119,32,95,85,36,58,27,30,34,63,35,26,23,20,29,23,33,25,16,21,20,15,20,10,23,18,19,11,13,10,10,All
Abbe Fletman,,,,,,,,,,,,,,,,,,,,,,,,,,,2,103,126,68,106,93,37,45,47,38,45,36,33,34,48,32,26,49,60,21,21,30,20,22,32,8,28,15,26,22,15,9,10,All
Stephanie M Sawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,121,37,105,102,62,26,38,56,61,21,61,32,54,18,29,16,22,59,29,32,28,30,25,19,35,15,25,15,24,25,14,All
Kai Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,38,113,94,44,30,53,51,50,19,38,34,51,28,36,23,31,37,15,25,25,36,31,23,29,25,28,23,18,23,14,All
James F Berardinelli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,31,52,63,63,75,49,36,61,42,54,37,66,53,71,66,23,55,24,25,16,27,30,22,32,32,19,11,12,12,All
Chris Mallios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,104,18,18,35,45,35,19,23,27,36,22,19,20,28,22,20,9,12,22,17,15,14,13,13,9,10,14,8,All
Vincent N Melchiorre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,34,19,38,54,30,24,34,32,31,45,26,21,27,24,54,11,17,22,14,26,15,12,16,15,8,14,9,All
Lynne M Summers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,41,57,46,69,39,63,55,48,49,48,18,19,52,42,37,44,36,27,39,35,36,27,19,27,28,19,All
Leon Goodman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,38,25,16,69,25,41,27,24,40,34,36,29,21,28,27,20,23,21,20,26,17,24,13,9,9,All
Anthony Kyriakakis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,40,51,28,31,29,52,62,43,38,45,26,36,21,23,31,29,27,26,34,28,22,14,8,9,All
Chris Mccabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,43,25,40,35,32,36,30,29,19,36,39,23,22,24,17,22,24,22,15,11,15,23,10,All
Betsy Wahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,21,57,29,57,38,22,19,29,49,27,31,31,36,18,9,37,25,13,17,21,16,12,All
Edward William Louden Jr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,31,23,24,28,36,40,15,22,11,16,14,15,19,17,16,16,20,12,13,6,All
Marissa Brumbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,29,39,30,24,17,18,40,23,32,33,26,16,20,34,17,14,9,19,22,8,All
Thomas Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,29,43,38,22,25,25,28,14,22,23,14,24,16,24,23,21,21,19,11,All
Stella Tsai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,28,23,21,40,40,25,25,29,35,23,11,36,21,22,19,16,9,6,All
Vince Giusini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,42,26,27,12,38,11,17,19,17,20,16,13,13,16,11,8,4,All
Wayne M D Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,31,12,23,24,29,20,19,33,42,22,25,25,25,16,11,19,All
Brian T Ortelere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,54,13,15,32,6,15,18,23,13,10,20,13,8,2,10,All
Rainy Papademetriou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,20,15,13,20,23,7,13,9,21,17,7,8,4,All
Deborah Watson Stokes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,19,27,30,30,16,21,29,13,14,15,21,28,16,All
William J Ciancaglini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15,11,18,19,18,15,15,11,11,9,12,10,All
Rania Major,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,22,19,26,21,25,14,23,18,21,8,11,All
Frances Fattah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,15,19,13,18,23,14,13,22,18,8,All
Jodi Lobel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,17,16,17,8,16,14,9,11,14,All
Leon A King Ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,29,14,19,19,16,9,9,All
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,16,16,13,14,13,18,All
Lucretia Clemons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13,13,17,16,10,7,All
Joshua Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,17,8,11,9,8,All
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,11,11,12,9,All
Sandjai Weaver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,10,4,4,All
Shanese Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,6,All
Starr Marshall Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,All
Tangie M Boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,684,549,374,369,348,324,316,312,257,253,208,190,156,152,134,131,429,407,397,325,316,309,301,294,280,275,273,252,246,242,231,230,206,184,183,179,166,166,157,151,150,145,142,141,140,133,132,110,102,102,101,99,94,87,86,77,64,61,48,All
,Council At Large - Democrat,,,,,,,,,,,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Allan Domb,Frank Rizzo,Paul Steinke,Sherrie Cohen,Jenne Ayers,Derek S Green,William K Greenlee,Ed Neilson,Thomas Wyatt,Helen Gym,Marnie Aument Loughrey,Carla M Cain,Blondell Reynolds Brown,Isaiah Thomas,W Wilson Goode Jr,Wilson Alexander,Tracy B Roman,Ken Powell,Lynne M Summers,Scott Diclaudio,Marissa Brumbach,Lyris Younge,Jennifer Schultz,Vincent Furlong,Jon Marshall,Kai Scott,Abbe Fletman,Daine Grey Jr,James F Berardinelli,Mia Roberts Perez,Betsy Wahl,Stephanie M Sawyer,Michael Fanning,Anthony Kyriakakis,Brian T Ortelere,Chris Mallios,Rania Major,Wayne M D Bennett,Chris Mccabe,Thomas Martin,Jodi Lobel,Joshua Hill,Leon Goodman,Shanese Johnson,Stella Tsai,William J Ciancaglini,Edward William Louden Jr,Vincent N Melchiorre,Frances Fattah,Franklin A Bennett Iii,Leon A King Ii,Lucretia Clemons,Rainy Papademetriou,Sandjai Weaver,Sherman Toppin,Vince Giusini,Deborah Watson Stokes,Starr Marshall Cash,Tangie M Boston,1
Allan Domb,1,18,14,12,7,8,10,9,7,8,7,7,0,3,4,3,16,18,10,19,8,13,10,11,14,10,12,14,9,9,8,13,10,9,8,8,4,7,8,2,3,5,3,3,2,4,6,6,3,4,5,3,4,3,3,4,1,2,0,1
Frank Rizzo,,4,10,5,7,2,7,5,2,2,6,5,1,2,4,1,7,6,8,8,9,7,11,9,8,4,3,3,7,6,9,6,6,5,4,4,5,5,6,2,3,6,1,3,3,4,3,2,5,1,3,2,1,2,1,2,4,2,0,1
Paul Steinke,,,0,3,7,8,6,5,8,1,7,3,2,5,3,3,6,8,10,9,7,6,8,10,9,6,2,6,8,4,5,7,6,8,6,2,6,6,6,3,6,3,4,3,2,6,4,3,1,5,5,3,3,2,5,3,2,0,0,1
Sherrie Cohen,,,,0,6,3,9,7,4,9,3,4,3,2,3,1,14,10,7,9,5,10,5,5,6,7,9,7,3,6,4,7,7,2,1,7,2,2,3,5,3,1,1,4,2,4,1,5,2,2,1,0,0,3,0,0,1,3,2,1
Jenne Ayers,,,,,1,2,2,2,2,3,5,6,3,2,1,3,11,4,10,6,9,8,8,7,3,4,3,1,5,5,7,5,4,3,4,1,5,3,2,1,4,2,3,3,5,2,4,4,3,2,3,4,2,2,1,1,4,2,1,1
Derek S Green,,,,,,0,4,1,7,2,5,2,2,1,1,4,4,7,8,6,5,2,3,6,6,6,4,4,5,3,3,5,3,5,5,3,2,4,2,6,1,4,7,3,3,2,4,1,2,2,3,2,4,3,3,2,0,1,1,1
William K Greenlee,,,,,,,0,5,2,6,2,2,2,2,3,1,8,9,7,7,6,7,4,6,3,8,5,5,4,7,3,8,7,1,2,6,4,3,5,1,2,2,1,1,1,3,3,4,0,3,4,1,0,1,1,2,1,0,1,1
Ed Neilson,,,,,,,,1,2,6,1,2,0,2,0,0,7,8,3,6,5,7,2,4,4,4,6,7,2,3,2,4,3,2,0,5,0,0,3,2,2,1,1,1,0,5,0,4,0,0,0,0,0,0,0,1,1,0,0,1
Thomas Wyatt,,,,,,,,,0,1,4,3,3,2,1,2,4,4,8,6,2,3,4,7,5,5,4,5,7,3,3,3,3,8,2,3,3,4,3,7,4,1,3,5,2,5,1,1,1,3,2,1,4,2,4,0,0,2,1,1
Helen Gym,,,,,,,,,,0,0,2,0,1,1,1,9,7,6,7,5,7,3,1,3,6,7,7,1,6,3,7,4,1,0,4,1,2,0,1,0,1,2,2,1,1,0,4,1,0,0,2,0,0,1,0,1,2,1,1
Marnie Aument Loughrey,,,,,,,,,,,0,3,1,1,0,1,3,4,4,3,2,2,5,5,3,3,4,2,3,5,6,1,0,3,4,3,4,1,2,3,5,2,2,5,3,1,1,2,3,2,1,2,2,2,3,1,2,1,0,1
Carla M Cain,,,,,,,,,,,,0,1,1,2,2,6,4,7,4,5,4,6,9,4,2,4,4,4,6,8,2,1,2,3,2,4,2,3,2,1,3,2,2,4,3,2,0,2,1,0,2,3,1,1,0,3,3,0,1
Blondell Reynolds Brown,,,,,,,,,,,,,0,0,0,0,2,0,5,2,3,3,3,2,1,3,2,0,1,2,2,1,2,2,1,0,4,0,0,2,4,1,1,2,3,1,1,1,2,2,1,1,1,0,1,0,1,1,1,1
Isaiah Thomas,,,,,,,,,,,,,,0,1,0,4,4,3,4,3,3,0,1,0,4,1,3,2,3,1,2,3,1,1,2,1,2,2,1,2,0,0,1,1,2,0,2,0,2,0,1,1,1,1,2,2,1,0,1
W Wilson Goode Jr,,,,,,,,,,,,,,,0,0,3,2,4,3,3,2,3,4,2,3,0,1,2,1,2,2,2,2,1,1,2,4,2,2,1,2,0,1,1,1,2,0,0,2,1,0,0,2,1,1,0,2,0,1
Wilson Alexander,,,,,,,,,,,,,,,,0,3,2,4,3,1,2,2,3,4,3,1,2,3,2,2,1,1,2,2,2,0,3,1,2,0,1,5,1,0,0,4,1,0,2,1,1,1,2,2,0,0,0,0,1
Tracy B Roman,,,,,,,,,,,,,,,,,0,13,11,12,11,13,9,8,6,9,10,11,8,8,6,8,7,3,3,7,3,5,4,3,1,3,3,4,2,4,3,6,1,2,1,2,2,2,2,4,1,3,2,1
Ken Powell,,,,,,,,,,,,,,,,,,1,7,14,7,13,5,8,11,8,10,12,4,7,7,11,10,3,2,11,2,3,5,3,2,5,2,2,2,4,3,5,1,3,3,2,1,1,1,3,1,0,1,1
