col_1,col_2,col_3,col_4,division
,District Council 6th District - Democrat,Judge Of The Superior Court - Democrat,,1
,Bobby Henon,Alice Beck Dubow,Robert Colville,1
Bobby Henon,13,56,10,1
Alice Beck Dubow,,12,0,1
Robert Colville,,,0,1
Total,79,68,10,1
,District Council 6th District - Democrat,Judge Of The Superior Court - Democrat,,2
,Bobby Henon,Alice Beck Dubow,Robert Colville,2
Bobby Henon,7,36,4,2
Alice Beck Dubow,,6,0,2
Robert Colville,,,1,2
Total,47,42,5,2
,District Council 6th District - Democrat,Judge Of The Superior Court - Democrat,,3
,Bobby Henon,Alice Beck Dubow,Robert Colville,3
Bobby Henon,12,75,7,3
Alice Beck Dubow,,17,0,3
Robert Colville,,,3,3
Total,94,92,10,3
,District Council 6th District - Democrat,Judge Of The Superior Court - Democrat,,4
,Bobby Henon,Alice Beck Dubow,Robert Colville,4
Bobby Henon,18,89,10,4
Alice Beck Dubow,,17,0,4
Robert Colville,,,1,4
Total,117,106,11,4
,District Council 6th District - Democrat,Judge Of The Superior Court - Democrat,,5
,Bobby Henon,Alice Beck Dubow,Robert Colville,5
Bobby Henon,17,41,6,5
Alice Beck Dubow,,10,0,5
Robert Colville,,,0,5
Total,64,51,6,5
,District Council 6th District - Democrat,Judge Of The Superior Court - Democrat,,6
,Bobby Henon,Alice Beck Dubow,Robert Colville,6
Bobby Henon,12,42,2,6
Alice Beck Dubow,,11,0,6
Robert Colville,,,0,6
Total,56,53,2,6
,Judge Of The Superior Court - Democrat,,District Council 6th District - Democrat,7
,Alice Beck Dubow,Robert Colville,Bobby Henon,7
Alice Beck Dubow,38,0,0,7
Robert Colville,,11,0,7
Bobby Henon,,,0,7
Total,38,11,0,7
,Judge Of The Superior Court - Democrat,,District Council 6th District - Democrat,8
,Alice Beck Dubow,Robert Colville,Bobby Henon,8
Alice Beck Dubow,21,0,0,8
Robert Colville,,5,0,8
Bobby Henon,,,0,8
Total,21,5,0,8
,Judge Of The Superior Court - Democrat,,District Council 6th District - Democrat,9
,Alice Beck Dubow,Robert Colville,Bobby Henon,9
Alice Beck Dubow,20,0,0,9
Robert Colville,,8,0,9
Bobby Henon,,,0,9
Total,20,8,0,9
,Judge Of The Superior Court - Democrat,,District Council 6th District - Democrat,10
,Alice Beck Dubow,Robert Colville,Bobby Henon,10
Alice Beck Dubow,20,0,0,10
Robert Colville,,5,0,10
Bobby Henon,,,0,10
Total,20,5,0,10
,Judge Of The Superior Court - Democrat,,District Council 6th District - Democrat,11
,Alice Beck Dubow,Robert Colville,Bobby Henon,11
Alice Beck Dubow,27,0,0,11
Robert Colville,,6,0,11
Bobby Henon,,,0,11
Total,27,6,0,11
,District Council 6th District - Democrat,Judge Of The Superior Court - Democrat,,12
,Bobby Henon,Alice Beck Dubow,Robert Colville,12
Bobby Henon,5,18,2,12
Alice Beck Dubow,,1,0,12
Robert Colville,,,0,12
Total,25,19,2,12
,Judge Of The Superior Court - Democrat,,District Council 6th District - Democrat,13
,Alice Beck Dubow,Robert Colville,Bobby Henon,13
Alice Beck Dubow,34,0,0,13
Robert Colville,,7,0,13
Bobby Henon,,,0,13
Total,34,7,0,13
,Judge Of The Superior Court - Democrat,,District Council 6th District - Democrat,14
,Alice Beck Dubow,Robert Colville,Bobby Henon,14
Alice Beck Dubow,11,0,0,14
Robert Colville,,3,0,14
Bobby Henon,,,0,14
Total,11,3,0,14
,District Council 6th District - Democrat,Judge Of The Superior Court - Democrat,,15
,Bobby Henon,Alice Beck Dubow,Robert Colville,15
Bobby Henon,21,37,7,15
Alice Beck Dubow,,9,0,15
Robert Colville,,,0,15
Total,65,46,7,15
,Judge Of The Superior Court - Democrat,,District Council 6th District - Democrat,16
,Alice Beck Dubow,Robert Colville,Bobby Henon,16
Alice Beck Dubow,20,0,0,16
Robert Colville,,1,0,16
Bobby Henon,,,0,16
Total,20,1,0,16
,Judge Of The Superior Court - Democrat,,District Council 6th District - Democrat,17
