col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,division
,District Council 2nd District - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Ori C Feibush,Kenyatta Johnson,Abbe Fletman,Rainy Papademetriou,Kai Scott,Stella Tsai,Chris Mallios,Brian T Ortelere,Mia Roberts Perez,Anthony Kyriakakis,Ken Powell,Betsy Wahl,Lucretia Clemons,Tracy B Roman,Leon A King Ii,Jennifer Schultz,Leon Goodman,Jodi Lobel,Stephanie M Sawyer,Vincent N Melchiorre,James F Berardinelli,Marissa Brumbach,Daine Grey Jr,Chris Mccabe,Deborah Watson Stokes,Lynne M Summers,Scott Diclaudio,Joshua Hill,Thomas Martin,Lyris Younge,Rania Major,Frances Fattah,Vince Giusini,Wayne M D Bennett,Michael Fanning,Vincent Furlong,Jon Marshall,Sandjai Weaver,Edward William Louden Jr,Shanese Johnson,William J Ciancaglini,Sherman Toppin,Franklin A Bennett Iii,Starr Marshall Cash,Tangie M Boston,All
Ori C Feibush,191,0,708,553,524,489,448,430,352,417,350,331,324,298,255,260,254,266,158,149,174,173,127,153,119,133,108,132,86,88,79,51,81,71,82,65,58,49,33,31,50,35,39,21,15,All
Kenyatta Johnson,,130,498,417,398,353,342,321,341,278,290,273,242,238,197,174,159,136,149,132,121,91,133,92,109,98,96,72,81,77,62,89,56,63,41,59,62,38,49,50,27,39,17,20,15,All
Abbe Fletman,,,9,797,841,697,749,634,574,558,522,467,458,329,358,252,304,234,222,241,193,146,192,191,137,117,85,127,137,74,51,60,71,83,92,57,48,45,32,30,35,34,21,13,12,All
Rainy Papademetriou,,,,6,695,656,569,615,529,549,487,410,447,307,357,209,248,195,150,212,175,104,154,167,105,68,64,96,127,85,74,40,45,55,62,47,38,37,35,16,18,26,17,13,5,All
Kai Scott,,,,,0,600,656,547,534,514,447,408,440,246,330,185,211,190,183,209,153,109,164,160,102,60,42,110,115,71,56,39,46,68,82,33,21,33,15,28,26,19,19,13,4,All
Stella Tsai,,,,,,2,500,500,534,485,410,422,384,276,358,249,212,209,188,115,139,148,121,106,134,102,53,89,58,69,94,68,34,52,44,27,27,48,19,36,22,20,14,21,13,All
Chris Mallios,,,,,,,6,427,434,416,400,357,311,159,261,110,136,159,148,150,157,62,133,114,95,22,37,85,69,26,16,26,38,48,84,20,10,19,9,6,22,8,9,12,5,All
Brian T Ortelere,,,,,,,,3,407,464,445,304,399,272,341,153,214,162,93,164,146,80,123,143,43,48,66,53,112,66,55,38,34,42,36,40,37,24,29,19,20,32,19,5,6,All
