col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,division
,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Rainy Papademetriou,Jon Marshall,Frances Fattah,Ken Powell,Leon Goodman,Marissa Brumbach,Jennifer Schultz,Kai Scott,Thomas Martin,Lyris Younge,Stephanie M Sawyer,Daine Grey Jr,Lucretia Clemons,Michael Fanning,Tracy B Roman,Scott Diclaudio,Anthony Kyriakakis,Mia Roberts Perez,Deborah Watson Stokes,Abbe Fletman,Betsy Wahl,Brian T Ortelere,Jodi Lobel,Leon A King Ii,Shanese Johnson,Edward William Louden Jr,Vincent Furlong,Lynne M Summers,Stella Tsai,Sandjai Weaver,Chris Mallios,Tangie M Boston,Sherman Toppin,Wayne M D Bennett,Rania Major,Chris Mccabe,James F Berardinelli,Franklin A Bennett Iii,Joshua Hill,Vincent N Melchiorre,Vince Giusini,William J Ciancaglini,Starr Marshall Cash,1
Rainy Papademetriou,4,24,12,6,15,22,12,10,19,6,9,10,16,16,4,5,16,5,6,9,5,14,12,5,3,1,4,4,6,2,5,2,1,3,2,1,2,1,4,2,1,1,0,1
Jon Marshall,,1,17,9,15,22,13,7,15,10,4,4,13,12,5,6,15,5,6,1,6,11,11,6,2,5,4,5,4,2,1,3,2,3,3,2,2,2,1,0,1,0,0,1
Frances Fattah,,,2,6,14,13,15,11,4,6,10,5,4,5,6,1,4,7,10,1,6,7,2,6,6,1,8,6,4,6,2,5,3,3,3,2,2,2,1,1,2,2,0,1
Ken Powell,,,,3,10,3,6,10,8,18,8,12,4,10,10,14,2,8,6,8,2,2,1,6,3,7,6,4,1,4,7,3,3,6,4,5,3,3,1,3,2,1,0,1
Leon Goodman,,,,,1,11,17,5,4,6,8,3,5,3,12,10,2,4,6,3,4,12,1,6,8,6,6,4,4,4,2,7,2,3,4,1,2,1,2,0,3,2,0,1
Marissa Brumbach,,,,,,1,12,5,18,2,7,3,19,16,5,1,15,3,6,5,2,7,14,4,3,1,3,3,4,3,0,3,2,3,3,1,4,2,1,0,0,0,0,1
Jennifer Schultz,,,,,,,2,6,5,9,8,8,6,2,6,3,3,6,6,6,5,11,1,4,4,1,9,7,6,6,2,4,5,4,3,1,5,1,2,0,2,1,2,1
Kai Scott,,,,,,,,4,6,11,15,13,8,11,4,6,5,10,11,9,8,2,4,7,7,3,6,4,4,6,8,2,5,3,2,3,1,2,2,4,4,1,2,1
