col_1,col_2,col_3,division
,Judge Of The Municipal Court - Republican,Register Of Wills - Republican,1
,Christine Hope,Ross Feinberg,1
Christine Hope,3,39,1
Ross Feinberg,,2,1
Total,42,41,1
,Judge Of The Municipal Court - Republican,Register Of Wills - Republican,2
,Christine Hope,Ross Feinberg,2
Christine Hope,4,24,2
Ross Feinberg,,1,2
Total,28,25,2
,Judge Of The Municipal Court - Republican,Register Of Wills - Republican,3
,Christine Hope,Ross Feinberg,3
Christine Hope,5,48,3
Ross Feinberg,,2,3
Total,53,50,3
,Register Of Wills - Republican,Judge Of The Municipal Court - Republican,4
,Ross Feinberg,Christine Hope,4
Ross Feinberg,9,46,4
Christine Hope,,8,4
Total,55,54,4
,Judge Of The Municipal Court - Republican,Register Of Wills - Republican,5
,Christine Hope,Ross Feinberg,5
Christine Hope,2,25,5
Ross Feinberg,,2,5
Total,27,27,5
,Judge Of The Municipal Court - Republican,Register Of Wills - Republican,6
,Christine Hope,Ross Feinberg,6
Christine Hope,2,21,6
Ross Feinberg,,2,6
Total,23,23,6
,Judge Of The Municipal Court - Republican,Register Of Wills - Republican,7
,Christine Hope,Ross Feinberg,7
Christine Hope,4,8,7
Ross Feinberg,,2,7
Total,12,10,7
,Judge Of The Municipal Court - Republican,Register Of Wills - Republican,8
,Christine Hope,Ross Feinberg,8
Christine Hope,4,31,8
Ross Feinberg,,3,8
Total,35,34,8
,Register Of Wills - Republican,Judge Of The Municipal Court - Republican,9
,Ross Feinberg,Christine Hope,9
Ross Feinberg,6,36,9
Christine Hope,,2,9
Total,42,38,9
,Judge Of The Municipal Court - Republican,Register Of Wills - Republican,10
,Christine Hope,Ross Feinberg,10
Christine Hope,5,43,10
Ross Feinberg,,5,10
Total,48,48,10
,Judge Of The Municipal Court - Republican,Register Of Wills - Republican,11
,Christine Hope,Ross Feinberg,11
Christine Hope,6,37,11
Ross Feinberg,,5,11
Total,43,42,11
,Judge Of The Municipal Court - Republican,Register Of Wills - Republican,12
,Christine Hope,Ross Feinberg,12
Christine Hope,4,15,12
Ross Feinberg,,4,12
Total,19,19,12
,Judge Of The Municipal Court - Republican,Register Of Wills - Republican,13
,Christine Hope,Ross Feinberg,13
Christine Hope,4,34,13
Ross Feinberg,,0,13
Total,38,34,13
,Judge Of The Municipal Court - Republican,Register Of Wills - Republican,14
,Christine Hope,Ross Feinberg,14
Christine Hope,6,42,14
Ross Feinberg,,1,14
Total,48,43,14
,Judge Of The Municipal Court - Republican,Register Of Wills - Republican,15
,Christine Hope,Ross Feinberg,15
Christine Hope,4,29,15
Ross Feinberg,,2,15
Total,33,31,15
,Register Of Wills - Republican,Judge Of The Municipal Court - Republican,16
,Ross Feinberg,Christine Hope,16
Ross Feinberg,6,28,16
Christine Hope,,4,16
Total,34,32,16
,Judge Of The Municipal Court - Republican,Register Of Wills - Republican,17
,Christine Hope,Ross Feinberg,17
Christine Hope,4,18,17
Ross Feinberg,,2,17
Total,22,20,17
,Judge Of The Municipal Court - Republican,Register Of Wills - Republican,18
,Christine Hope,Ross Feinberg,18
Christine Hope,6,28,18
Ross Feinberg,,0,18
Total,34,28,18
,Judge Of The Municipal Court - Republican,Register Of Wills - Republican,19
,Christine Hope,Ross Feinberg,19
Christine Hope,7,28,19
Ross Feinberg,,3,19
Total,35,31,19
,Register Of Wills - Republican,Judge Of The Municipal Court - Republican,20
,Ross Feinberg,Christine Hope,20
Ross Feinberg,5,18,20
Christine Hope,,1,20
Total,23,19,20
,Judge Of The Municipal Court - Republican,Register Of Wills - Republican,21
,Christine Hope,Ross Feinberg,21
Christine Hope,4,18,21
Ross Feinberg,,2,21
Total,22,20,21
,Register Of Wills - Republican,Judge Of The Municipal Court - Republican,22
,Ross Feinberg,Christine Hope,22
Ross Feinberg,3,14,22
Christine Hope,,2,22
Total,17,16,22
,Register Of Wills - Republican,Judge Of The Municipal Court - Republican,23
,Ross Feinberg,Christine Hope,23
Ross Feinberg,4,39,23
Christine Hope,,2,23
Total,43,41,23
,Register Of Wills - Republican,Judge Of The Municipal Court - Republican,24
,Ross Feinberg,Christine Hope,24
Ross Feinberg,2,20,24
Christine Hope,,1,24
Total,22,21,24
,Judge Of The Municipal Court - Republican,Register Of Wills - Republican,25
,Christine Hope,Ross Feinberg,25
Christine Hope,1,13,25
Ross Feinberg,,1,25
Total,14,14,25
,Judge Of The Municipal Court - Republican,Register Of Wills - Republican,All
,Christine Hope,Ross Feinberg,All
Christine Hope,95,702,All
Ross Feinberg,,74,All
Total,797,776,All
