col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,1
,Allan Domb,Sherrie Cohen,Derek S Green,Isaiah Thomas,William K Greenlee,Frank Rizzo,W Wilson Goode Jr,Thomas Wyatt,Blondell Reynolds Brown,Ed Neilson,Jenne Ayers,Carla M Cain,Paul Steinke,Helen Gym,Wilson Alexander,Marnie Aument Loughrey,Christine Hope,Sharon Williams Losier,Joffie C Pittman,Christian Dicicco,Daniel R Sulman,Gary S Silver,Matthew Perks,Franklin A Bennett Iii,1
Allan Domb,0,14,13,8,10,7,3,8,1,5,8,6,5,3,1,1,19,7,9,8,8,8,5,3,1
Sherrie Cohen,,0,9,10,11,12,7,3,5,6,7,6,5,3,2,1,18,15,10,11,9,6,4,2,1
Derek S Green,,,1,9,9,6,7,5,3,5,4,3,3,2,2,1,10,11,13,5,9,2,4,2,1
Isaiah Thomas,,,,0,6,4,8,2,6,4,4,2,5,1,0,1,7,13,6,10,7,2,4,2,1
William K Greenlee,,,,,0,5,0,2,5,4,2,1,4,3,0,1,9,5,6,6,9,2,3,2,1
Frank Rizzo,,,,,,1,4,0,3,2,2,2,0,1,1,0,10,7,5,4,3,5,3,0,1
W Wilson Goode Jr,,,,,,,0,1,4,1,1,1,2,1,2,0,3,7,6,4,5,1,1,1,1
Thomas Wyatt,,,,,,,,0,0,2,4,6,1,0,1,0,8,4,3,2,2,4,2,2,1
Blondell Reynolds Brown,,,,,,,,,0,2,2,1,2,2,0,1,3,3,4,3,5,2,2,0,1
Ed Neilson,,,,,,,,,,0,1,1,1,0,1,1,5,5,3,5,4,3,1,2,1
Jenne Ayers,,,,,,,,,,,0,5,1,2,1,0,9,4,4,5,2,2,3,1,1
Carla M Cain,,,,,,,,,,,,0,0,0,0,0,9,4,2,5,0,3,2,1,1
Paul Steinke,,,,,,,,,,,,,0,1,0,0,3,3,2,3,4,2,2,0,1
Helen Gym,,,,,,,,,,,,,,0,0,1,2,2,1,1,2,1,0,1,1
Wilson Alexander,,,,,,,,,,,,,,,1,0,1,2,3,1,1,1,2,0,1
Marnie Aument Loughrey,,,,,,,,,,,,,,,,0,1,1,1,1,0,0,1,1,1
Christine Hope,,,,,,,,,,,,,,,,,0,6,10,6,8,7,5,2,1
Sharon Williams Losier,,,,,,,,,,,,,,,,,,1,5,10,4,4,3,2,1
Joffie C Pittman,,,,,,,,,,,,,,,,,,,0,2,8,1,2,1,1
Christian Dicicco,,,,,,,,,,,,,,,,,,,,1,5,1,3,3,1
Daniel R Sulman,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1
Gary S Silver,,,,,,,,,,,,,,,,,,,,,,0,1,0,1
Matthew Perks,,,,,,,,,,,,,,,,,,,,,,,0,0,1
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,29,29,25,19,16,15,13,12,11,11,11,10,8,6,6,2,28,25,17,16,15,11,9,4,1
,Council At Large - Democrat,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,2
,Derek S Green,Allan Domb,Sherrie Cohen,William K Greenlee,Blondell Reynolds Brown,Ed Neilson,Isaiah Thomas,Wilson Alexander,Helen Gym,W Wilson Goode Jr,Jenne Ayers,Carla M Cain,Thomas Wyatt,Frank Rizzo,Paul Steinke,Marnie Aument Loughrey,Sharon Williams Losier,Christine Hope,Daniel R Sulman,Joffie C Pittman,Matthew Perks,Christian Dicicco,Gary S Silver,Franklin A Bennett Iii,2
Derek S Green,0,20,15,14,9,10,7,13,7,6,9,3,6,0,2,1,19,15,19,14,10,4,6,1,2
Allan Domb,,0,18,15,6,7,2,5,5,5,6,8,6,4,1,2,12,14,13,13,11,5,4,0,2
Sherrie Cohen,,,1,12,3,9,4,2,3,3,4,4,1,3,1,0,6,11,13,8,5,3,2,0,2
William K Greenlee,,,,0,9,10,5,0,3,5,1,2,1,2,0,2,8,8,14,8,3,4,2,0,2
Blondell Reynolds Brown,,,,,0,6,8,2,7,10,1,3,1,1,1,1,9,8,6,6,2,5,5,0,2
Ed Neilson,,,,,,0,7,1,2,4,0,1,0,0,1,0,7,9,10,4,1,4,1,0,2
Isaiah Thomas,,,,,,,1,1,7,5,0,1,1,0,2,0,10,9,6,2,1,4,2,0,2
Wilson Alexander,,,,,,,,0,2,2,7,2,3,0,0,0,10,8,1,8,5,1,4,1,2
Helen Gym,,,,,,,,,1,6,1,3,3,1,3,0,7,9,4,6,4,2,4,1,2
W Wilson Goode Jr,,,,,,,,,,0,0,2,1,2,1,0,7,8,1,4,4,2,2,1,2
Jenne Ayers,,,,,,,,,,,0,2,4,1,1,0,6,6,1,4,5,2,4,0,2
Carla M Cain,,,,,,,,,,,,0,2,3,0,1,5,9,0,4,1,4,2,0,2
Thomas Wyatt,,,,,,,,,,,,,0,1,3,0,2,5,2,3,5,2,4,0,2
Frank Rizzo,,,,,,,,,,,,,,0,0,1,3,4,1,2,1,2,1,0,2
Paul Steinke,,,,,,,,,,,,,,,0,0,0,2,2,1,3,2,1,0,2
Marnie Aument Loughrey,,,,,,,,,,,,,,,,0,2,1,1,0,1,1,0,0,2
Sharon Williams Losier,,,,,,,,,,,,,,,,,5,13,8,8,9,4,4,1,2
Christine Hope,,,,,,,,,,,,,,,,,,1,6,9,5,6,7,0,2
Daniel R Sulman,,,,,,,,,,,,,,,,,,,0,5,5,3,1,0,2
Joffie C Pittman,,,,,,,,,,,,,,,,,,,,1,6,2,2,0,2
Matthew Perks,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2
Christian Dicicco,,,,,,,,,,,,,,,,,,,,,,0,1,0,2
Gary S Silver,,,,,,,,,,,,,,,,,,,,,,,0,0,2
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,,,,,,0,2
Total,45,35,29,22,21,18,18,18,15,15,12,10,9,7,5,2,36,34,24,23,17,12,10,1,2
,Council At Large - Democrat,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,3
