col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,division
,District Council 2nd District - Democrat,,Judge Of The Municipal Court - Democrat,,,,,,,,All
,Kenyatta Johnson,Ori C Feibush,Joffie C Pittman,Christian Dicicco,Christine Hope,Sharon Williams Losier,Matthew Perks,Daniel R Sulman,Gary S Silver,Franklin A Bennett Iii,All
Kenyatta Johnson,146,0,127,109,111,118,80,69,24,18,All
Ori C Feibush,,83,81,70,53,39,68,64,27,12,All
Joffie C Pittman,,,0,35,63,72,90,98,7,5,All
Christian Dicicco,,,,9,63,39,35,26,23,10,All
Christine Hope,,,,,5,89,33,22,18,8,All
Sharon Williams Losier,,,,,,6,24,11,11,6,All
Matthew Perks,,,,,,,2,72,15,9,All
Daniel R Sulman,,,,,,,,0,14,5,All
Gary S Silver,,,,,,,,,1,6,All
Franklin A Bennett Iii,,,,,,,,,,0,All
Total,443,274,228,191,181,172,166,147,56,30,All
,District Council 2nd District - Democrat,,Judge Of The Municipal Court - Democrat,,,,,,,,9
,Kenyatta Johnson,Ori C Feibush,Sharon Williams Losier,Joffie C Pittman,Christine Hope,Christian Dicicco,Matthew Perks,Daniel R Sulman,Gary S Silver,Franklin A Bennett Iii,9
Kenyatta Johnson,27,0,35,32,30,24,18,13,6,2,9
Ori C Feibush,,15,4,7,6,7,9,6,5,3,9
Sharon Williams Losier,,,2,20,23,5,7,4,2,0,9
Joffie C Pittman,,,,0,19,7,12,7,0,1,9
Christine Hope,,,,,1,8,7,6,1,0,9
Christian Dicicco,,,,,,2,8,3,4,3,9
Matthew Perks,,,,,,,0,10,3,2,9
Daniel R Sulman,,,,,,,,0,5,0,9
Gary S Silver,,,,,,,,,0,1,9
Franklin A Bennett Iii,,,,,,,,,,0,9
Total,98,42,43,42,39,33,29,20,12,5,9
,District Council 2nd District - Democrat,,Judge Of The Municipal Court - Democrat,,,,,,,,19
,Kenyatta Johnson,Ori C Feibush,Joffie C Pittman,Christian Dicicco,Daniel R Sulman,Matthew Perks,Christine Hope,Sharon Williams Losier,Gary S Silver,Franklin A Bennett Iii,19
Kenyatta Johnson,44,0,26,22,15,13,14,11,4,3,19
Ori C Feibush,,25,29,27,19,19,12,10,5,4,19
Joffie C Pittman,,,0,10,32,22,13,13,2,1,19
Christian Dicicco,,,,3,6,12,13,6,5,1,19
Daniel R Sulman,,,,,0,16,4,4,1,1,19
Matthew Perks,,,,,,1,6,3,3,1,19
Christine Hope,,,,,,,1,13,4,1,19
Sharon Williams Losier,,,,,,,,1,2,1,19
Gary S Silver,,,,,,,,,0,2,19
Franklin A Bennett Iii,,,,,,,,,,0,19
Total,97,82,62,52,39,37,32,25,10,7,19
,District Council 2nd District - Democrat,,Judge Of The Municipal Court - Democrat,,,,,,,,20
,Kenyatta Johnson,Ori C Feibush,Joffie C Pittman,Christine Hope,Sharon Williams Losier,Daniel R Sulman,Matthew Perks,Christian Dicicco,Gary S Silver,Franklin A Bennett Iii,20
Kenyatta Johnson,7,0,19,17,18,9,9,13,2,2,20
Ori C Feibush,,9,15,12,9,10,8,6,7,2,20
Joffie C Pittman,,,0,10,11,18,14,5,3,0,20
Christine Hope,,,,1,17,3,1,10,5,3,20
Sharon Williams Losier,,,,,0,0,5,8,2,0,20
Daniel R Sulman,,,,,,0,10,3,3,1,20
Matthew Perks,,,,,,,0,1,1,1,20
Christian Dicicco,,,,,,,,0,3,2,20
Gary S Silver,,,,,,,,,0,1,20
Franklin A Bennett Iii,,,,,,,,,,0,20
Total,46,38,37,32,29,21,20,19,10,4,20
,District Council 2nd District - Democrat,,Judge Of The Municipal Court - Democrat,,,,,,,,21
,Kenyatta Johnson,Ori C Feibush,Sharon Williams Losier,Christine Hope,Joffie C Pittman,Christian Dicicco,Matthew Perks,Daniel R Sulman,Gary S Silver,Franklin A Bennett Iii,21
Kenyatta Johnson,32,0,33,25,17,18,14,11,5,4,21
Ori C Feibush,,6,9,7,13,9,8,9,4,2,21
Sharon Williams Losier,,,1,19,17,7,3,2,4,3,21
Christine Hope,,,,1,14,12,9,2,5,0,21
Joffie C Pittman,,,,,0,5,8,9,0,1,21
Christian Dicicco,,,,,,1,6,7,5,2,21
Matthew Perks,,,,,,,0,6,1,1,21
Daniel R Sulman,,,,,,,,0,1,3,21
Gary S Silver,,,,,,,,,0,2,21
Franklin A Bennett Iii,,,,,,,,,,0,21
Total,91,32,44,35,31,28,22,20,10,6,21
,District Council 2nd District - Democrat,,Judge Of The Municipal Court - Democrat,,,,,,,,22
,Kenyatta Johnson,Ori C Feibush,Christian Dicicco,Matthew Perks,Joffie C Pittman,Daniel R Sulman,Christine Hope,Sharon Williams Losier,Gary S Silver,Franklin A Bennett Iii,22
Kenyatta Johnson,36,0,32,26,33,21,25,21,7,7,22
Ori C Feibush,,28,21,24,17,20,16,7,6,1,22
Christian Dicicco,,,3,8,8,7,20,13,6,2,22
Matthew Perks,,,,1,34,30,10,6,7,4,22
Joffie C Pittman,,,,,0,32,7,11,2,2,22
Daniel R Sulman,,,,,,0,7,1,4,0,22
Christine Hope,,,,,,,1,17,3,4,22
Sharon Williams Losier,,,,,,,,2,1,2,22
Gary S Silver,,,,,,,,,1,0,22
Franklin A Bennett Iii,,,,,,,,,,0,22
Total,111,80,59,58,56,47,43,31,14,8,22
