col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,division
,Sheriff - Democrat,Judge Of The Municipal Court - Democrat,,,,,,,,1
,Jewell Williams,Sharon Williams Losier,Christine Hope,Joffie C Pittman,Matthew Perks,Christian Dicicco,Daniel R Sulman,Gary S Silver,Franklin A Bennett Iii,1
Jewell Williams,22,49,42,36,24,24,15,8,7,1
Sharon Williams Losier,,3,22,24,11,8,2,0,0,1
Christine Hope,,,4,15,5,14,8,5,3,1
Joffie C Pittman,,,,0,10,6,8,1,3,1
Matthew Perks,,,,,5,7,7,4,1,1
Christian Dicicco,,,,,,0,2,4,5,1
Daniel R Sulman,,,,,,,0,2,2,1
Gary S Silver,,,,,,,,2,0,1
Franklin A Bennett Iii,,,,,,,,,0,1
Total,113,56,48,39,32,27,16,12,7,1
,Sheriff - Democrat,Judge Of The Municipal Court - Democrat,,,,,,,,2
,Jewell Williams,Sharon Williams Losier,Joffie C Pittman,Christine Hope,Christian Dicicco,Matthew Perks,Daniel R Sulman,Gary S Silver,Franklin A Bennett Iii,2
Jewell Williams,35,44,39,35,16,11,9,9,7,2
Sharon Williams Losier,,2,32,26,9,6,1,5,3,2
Joffie C Pittman,,,0,24,6,11,9,2,4,2
Christine Hope,,,,0,7,3,3,2,2,2
Christian Dicicco,,,,,1,3,1,4,1,2
Matthew Perks,,,,,,1,6,2,1,2
Daniel R Sulman,,,,,,,0,2,0,2
Gary S Silver,,,,,,,,0,1,2
Franklin A Bennett Iii,,,,,,,,,0,2
Total,104,51,48,38,19,17,12,9,7,2
,Sheriff - Democrat,Judge Of The Municipal Court - Democrat,,,,,,,,3
,Jewell Williams,Sharon Williams Losier,Joffie C Pittman,Christine Hope,Matthew Perks,Christian Dicicco,Gary S Silver,Daniel R Sulman,Franklin A Bennett Iii,3
Jewell Williams,22,62,49,46,18,12,9,6,5,3
Sharon Williams Losier,,2,37,44,10,7,8,1,3,3
Joffie C Pittman,,,1,29,8,3,2,5,1,3
Christine Hope,,,,1,4,7,5,0,3,3
Matthew Perks,,,,,0,2,2,4,2,3
Christian Dicicco,,,,,,1,0,1,2,3
Gary S Silver,,,,,,,0,1,2,3
Daniel R Sulman,,,,,,,,0,1,3
Franklin A Bennett Iii,,,,,,,,,0,3
Total,115,70,55,53,19,13,11,9,8,3
,Sheriff - Democrat,Judge Of The Municipal Court - Democrat,,,,,,,,4
,Jewell Williams,Sharon Williams Losier,Joffie C Pittman,Christine Hope,Christian Dicicco,Matthew Perks,Gary S Silver,Franklin A Bennett Iii,Daniel R Sulman,4
Jewell Williams,12,30,30,25,13,11,6,3,2,4
Sharon Williams Losier,,1,20,20,5,9,5,1,2,4
Joffie C Pittman,,,0,17,4,7,2,1,1,4
Christine Hope,,,,0,8,3,3,1,0,4
Christian Dicicco,,,,,3,2,3,2,0,4
Matthew Perks,,,,,,0,1,0,1,4
Gary S Silver,,,,,,,2,2,1,4
Franklin A Bennett Iii,,,,,,,,0,1,4
Daniel R Sulman,,,,,,,,,0,4
Total,62,35,34,28,19,13,11,4,3,4
,Sheriff - Democrat,Judge Of The Municipal Court - Democrat,,,,,,,,5
,Jewell Williams,Sharon Williams Losier,Christine Hope,Joffie C Pittman,Matthew Perks,Gary S Silver,Christian Dicicco,Franklin A Bennett Iii,Daniel R Sulman,5
Jewell Williams,29,53,32,35,20,12,11,11,7,5
Sharon Williams Losier,,6,23,29,12,8,5,5,5,5
Christine Hope,,,4,16,4,8,3,3,1,5
Joffie C Pittman,,,,1,9,3,3,1,3,5
Matthew Perks,,,,,1,1,2,4,1,5
Gary S Silver,,,,,,0,2,1,1,5
Christian Dicicco,,,,,,,1,3,2,5
Franklin A Bennett Iii,,,,,,,,0,3,5
Daniel R Sulman,,,,,,,,,0,5
Total,112,64,41,39,22,16,14,13,10,5
,Sheriff - Democrat,Judge Of The Municipal Court - Democrat,,,,,,,,6
,Jewell Williams,Sharon Williams Losier,Christine Hope,Joffie C Pittman,Matthew Perks,Christian Dicicco,Gary S Silver,Franklin A Bennett Iii,Daniel R Sulman,6
Jewell Williams,29,58,52,46,25,20,15,15,6,6
Sharon Williams Losier,,8,33,31,9,7,3,6,1,6
Christine Hope,,,3,25,12,10,7,7,3,6
Joffie C Pittman,,,,0,9,4,5,3,3,6
Matthew Perks,,,,,0,3,3,5,3,6
Christian Dicicco,,,,,,1,5,3,0,6
Gary S Silver,,,,,,,1,6,3,6
Franklin A Bennett Iii,,,,,,,,0,2,6
Daniel R Sulman,,,,,,,,,0,6
Total,130,68,58,47,26,21,19,18,9,6
,Sheriff - Democrat,Judge Of The Municipal Court - Democrat,,,,,,,,7
,Jewell Williams,Sharon Williams Losier,Joffie C Pittman,Christine Hope,Matthew Perks,Christian Dicicco,Franklin A Bennett Iii,Gary S Silver,Daniel R Sulman,7
Jewell Williams,19,47,34,29,18,15,10,7,3,7
Sharon Williams Losier,,3,27,21,8,10,6,2,1,7
Joffie C Pittman,,,2,20,8,3,3,1,2,7
Christine Hope,,,,2,5,6,3,2,2,7
Matthew Perks,,,,,0,2,1,2,0,7
Christian Dicicco,,,,,,0,2,2,2,7
Franklin A Bennett Iii,,,,,,,0,1,1,7
Gary S Silver,,,,,,,,1,0,7
Daniel R Sulman,,,,,,,,,0,7
Total,92,53,40,34,18,15,10,8,4,7
,Sheriff - Democrat,Judge Of The Municipal Court - Democrat,,,,,,,,8
,Jewell Williams,Sharon Williams Losier,Christine Hope,Joffie C Pittman,Matthew Perks,Christian Dicicco,Franklin A Bennett Iii,Daniel R Sulman,Gary S Silver,8
Jewell Williams,31,33,23,19,14,14,9,6,7,8
Sharon Williams Losier,,5,13,14,9,6,6,2,2,8
Christine Hope,,,1,8,3,6,4,3,3,8
Joffie C Pittman,,,,0,9,3,0,4,2,8
Matthew Perks,,,,,0,4,5,1,1,8
Christian Dicicco,,,,,,1,2,3,1,8
Franklin A Bennett Iii,,,,,,,0,1,2,8
Daniel R Sulman,,,,,,,,0,1,8
Gary S Silver,,,,,,,,,0,8
Total,83,39,25,22,18,16,10,8,7,8
,Sheriff - Democrat,Judge Of The Municipal Court - Democrat,,,,,,,,9
,Jewell Williams,Sharon Williams Losier,Joffie C Pittman,Christine Hope,Matthew Perks,Christian Dicicco,Gary S Silver,Daniel R Sulman,Franklin A Bennett Iii,9
Jewell Williams,30,46,36,30,15,9,6,4,2,9
Sharon Williams Losier,,2,29,24,6,5,2,1,0,9
Joffie C Pittman,,,0,20,7,3,2,3,0,9
Christine Hope,,,,0,4,5,3,0,2,9
Matthew Perks,,,,,0,3,3,3,1,9
Christian Dicicco,,,,,,0,2,0,2,9
Gary S Silver,,,,,,,0,0,0,9
Daniel R Sulman,,,,,,,,0,0,9
Franklin A Bennett Iii,,,,,,,,,1,9
Total,101,55,43,33,18,10,6,4,4,9
,Sheriff - Democrat,Judge Of The Municipal Court - Democrat,,,,,,,,10
,Jewell Williams,Sharon Williams Losier,Christine Hope,Joffie C Pittman,Christian Dicicco,Gary S Silver,Matthew Perks,Daniel R Sulman,Franklin A Bennett Iii,10
Jewell Williams,15,60,38,25,20,12,12,11,7,10
Sharon Williams Losier,,2,27,14,10,9,6,5,5,10
Christine Hope,,,0,13,12,5,4,6,3,10
Joffie C Pittman,,,,1,3,4,6,5,1,10
Christian Dicicco,,,,,5,1,3,1,1,10
Gary S Silver,,,,,,1,0,1,2,10
Matthew Perks,,,,,,,1,2,0,10
Daniel R Sulman,,,,,,,,1,1,10
Franklin A Bennett Iii,,,,,,,,,0,10
Total,104,64,39,31,25,15,14,13,7,10
,Sheriff - Democrat,Judge Of The Municipal Court - Democrat,,,,,,,,11
,Jewell Williams,Sharon Williams Losier,Joffie C Pittman,Christine Hope,Christian Dicicco,Matthew Perks,Gary S Silver,Daniel R Sulman,Franklin A Bennett Iii,11
Jewell Williams,17,43,27,21,15,14,12,3,2,11
Sharon Williams Losier,,1,22,15,12,6,8,2,1,11
Joffie C Pittman,,,1,9,8,8,5,1,0,11
Christine Hope,,,,3,4,5,7,1,2,11
Christian Dicicco,,,,,5,1,2,0,0,11
Matthew Perks,,,,,,1,2,2,1,11
Gary S Silver,,,,,,,2,1,0,11
Daniel R Sulman,,,,,,,,0,0,11
Franklin A Bennett Iii,,,,,,,,,0,11
Total,82,48,34,30,20,18,16,5,2,11
,Sheriff - Democrat,Judge Of The Municipal Court - Democrat,,,,,,,,12
,Jewell Williams,Sharon Williams Losier,Christine Hope,Joffie C Pittman,Christian Dicicco,Matthew Perks,Gary S Silver,Franklin A Bennett Iii,Daniel R Sulman,12
Jewell Williams,8,30,15,15,6,5,6,4,2,12
Sharon Williams Losier,,2,13,10,6,2,2,2,0,12
Christine Hope,,,1,8,3,3,3,1,1,12
Joffie C Pittman,,,,1,2,0,1,2,1,12
Christian Dicicco,,,,,1,0,0,1,0,12
Matthew Perks,,,,,,2,2,0,0,12
Gary S Silver,,,,,,,0,2,0,12
Franklin A Bennett Iii,,,,,,,,0,0,12
Daniel R Sulman,,,,,,,,,0,12
Total,52,35,19,18,8,7,6,4,3,12
,Sheriff - Democrat,Judge Of The Municipal Court - Democrat,,,,,,,,13
,Jewell Williams,Sharon Williams Losier,Joffie C Pittman,Christine Hope,Christian Dicicco,Matthew Perks,Franklin A Bennett Iii,Daniel R Sulman,Gary S Silver,13
Jewell Williams,20,46,31,22,16,12,3,4,4,13
Sharon Williams Losier,,4,24,17,11,7,1,2,3,13
Joffie C Pittman,,,1,11,4,6,1,2,0,13
Christine Hope,,,,0,7,1,2,2,0,13
Christian Dicicco,,,,,2,0,2,0,0,13
Matthew Perks,,,,,,0,1,1,2,13
Franklin A Bennett Iii,,,,,,,0,0,2,13
Daniel R Sulman,,,,,,,,0,1,13
Gary S Silver,,,,,,,,,0,13
Total,88,52,34,24,20,12,5,4,4,13
,Sheriff - Democrat,Judge Of The Municipal Court - Democrat,,,,,,,,14
,Jewell Williams,Sharon Williams Losier,Christine Hope,Christian Dicicco,Joffie C Pittman,Matthew Perks,Gary S Silver,Daniel R Sulman,Franklin A Bennett Iii,14
Jewell Williams,7,23,11,14,15,8,7,4,3,14
Sharon Williams Losier,,1,6,5,8,5,3,0,1,14
Christine Hope,,,8,6,3,3,0,2,1,14
Christian Dicicco,,,,2,2,1,1,3,1,14
Joffie C Pittman,,,,,0,2,1,1,0,14
Matthew Perks,,,,,,0,2,1,0,14
Gary S Silver,,,,,,,1,2,0,14
Daniel R Sulman,,,,,,,,0,1,14
Franklin A Bennett Iii,,,,,,,,,0,14
Total,52,24,21,17,15,9,8,5,3,14
,Sheriff - Democrat,Judge Of The Municipal Court - Democrat,,,,,,,,15
,Jewell Williams,Sharon Williams Losier,Christine Hope,Joffie C Pittman,Christian Dicicco,Matthew Perks,Gary S Silver,Franklin A Bennett Iii,Daniel R Sulman,15
Jewell Williams,21,40,31,27,11,9,8,5,1,15
Sharon Williams Losier,,5,15,18,5,6,3,3,1,15
Christine Hope,,,3,14,7,2,1,3,1,15
Joffie C Pittman,,,,2,3,5,4,0,1,15
Christian Dicicco,,,,,2,0,1,2,1,15
Matthew Perks,,,,,,0,1,0,0,15
Gary S Silver,,,,,,,0,1,2,15
Franklin A Bennett Iii,,,,,,,,0,0,15
Daniel R Sulman,,,,,,,,,1,15
Total,92,47,36,32,14,11,10,5,4,15
,Sheriff - Democrat,Judge Of The Municipal Court - Democrat,,,,,,,,16
,Jewell Williams,Sharon Williams Losier,Joffie C Pittman,Christine Hope,Christian Dicicco,Matthew Perks,Daniel R Sulman,Gary S Silver,Franklin A Bennett Iii,16
Jewell Williams,27,73,61,33,16,15,14,7,2,16
Sharon Williams Losier,,4,57,33,14,12,11,5,2,16
Joffie C Pittman,,,3,27,10,11,14,0,0,16
Christine Hope,,,,0,2,3,2,3,2,16
Christian Dicicco,,,,,3,3,0,0,0,16
Matthew Perks,,,,,,0,1,0,0,16
Daniel R Sulman,,,,,,,0,0,1,16
Gary S Silver,,,,,,,,1,0,16
Franklin A Bennett Iii,,,,,,,,,0,16
Total,118,86,70,38,20,17,15,8,3,16
,Sheriff - Democrat,Judge Of The Municipal Court - Democrat,,,,,,,,17
,Jewell Williams,Sharon Williams Losier,Joffie C Pittman,Christine Hope,Matthew Perks,Christian Dicicco,Gary S Silver,Daniel R Sulman,Franklin A Bennett Iii,17
Jewell Williams,23,38,22,16,15,14,7,2,0,17
Sharon Williams Losier,,3,25,17,8,10,4,2,0,17
Joffie C Pittman,,,0,10,7,4,3,0,0,17
Christine Hope,,,,0,2,4,3,1,0,17
Matthew Perks,,,,,3,2,2,0,0,17
Christian Dicicco,,,,,,1,2,0,0,17
Gary S Silver,,,,,,,1,1,0,17
Daniel R Sulman,,,,,,,,0,0,17
Franklin A Bennett Iii,,,,,,,,,0,17
Total,74,47,27,21,18,15,10,3,0,17
,Sheriff - Democrat,Judge Of The Municipal Court - Democrat,,,,,,,,18
,Jewell Williams,Sharon Williams Losier,Joffie C Pittman,Christine Hope,Matthew Perks,Christian Dicicco,Gary S Silver,Franklin A Bennett Iii,Daniel R Sulman,18
Jewell Williams,19,53,39,35,21,13,11,8,3,18
Sharon Williams Losier,,1,27,27,9,5,5,3,2,18
Joffie C Pittman,,,0,19,9,4,3,1,1,18
Christine Hope,,,,1,6,4,2,4,1,18
Matthew Perks,,,,,0,4,4,3,1,18
Christian Dicicco,,,,,,2,3,1,0,18
Gary S Silver,,,,,,,0,4,1,18
Franklin A Bennett Iii,,,,,,,,0,0,18
Daniel R Sulman,,,,,,,,,0,18
Total,101,55,40,39,21,15,13,8,3,18
,Sheriff - Democrat,Judge Of The Municipal Court - Democrat,,,,,,,,19
,Jewell Williams,Sharon Williams Losier,Christine Hope,Joffie C Pittman,Christian Dicicco,Matthew Perks,Gary S Silver,Franklin A Bennett Iii,Daniel R Sulman,19
Jewell Williams,21,60,43,39,25,18,6,5,1,19
Sharon Williams Losier,,6,27,30,17,8,3,0,1,19
Christine Hope,,,2,20,9,5,3,2,1,19
Joffie C Pittman,,,,1,10,7,1,1,0,19
Christian Dicicco,,,,,0,1,1,1,0,19
Matthew Perks,,,,,,3,1,3,0,19
Gary S Silver,,,,,,,1,1,0,19
Franklin A Bennett Iii,,,,,,,,0,0,19
Daniel R Sulman,,,,,,,,,0,19
Total,115,67,46,41,25,21,7,5,1,19
,Sheriff - Democrat,Judge Of The Municipal Court - Democrat,,,,,,,,20
,Jewell Williams,Sharon Williams Losier,Joffie C Pittman,Christine Hope,Christian Dicicco,Franklin A Bennett Iii,Matthew Perks,Gary S Silver,Daniel R Sulman,20
Jewell Williams,23,54,44,38,12,10,10,7,3,20
Sharon Williams Losier,,5,31,26,7,6,4,3,2,20
Joffie C Pittman,,,1,24,4,4,5,1,3,20
Christine Hope,,,,1,10,7,4,6,2,20
Christian Dicicco,,,,,0,1,1,3,0,20
Franklin A Bennett Iii,,,,,,0,0,4,1,20
Matthew Perks,,,,,,,1,0,2,20
Gary S Silver,,,,,,,,0,0,20
Daniel R Sulman,,,,,,,,,0,20
Total,101,61,47,43,14,14,12,9,5,20
,Sheriff - Democrat,Judge Of The Municipal Court - Democrat,,,,,,,,21
,Jewell Williams,Sharon Williams Losier,Joffie C Pittman,Christine Hope,Matthew Perks,Christian Dicicco,Franklin A Bennett Iii,Daniel R Sulman,Gary S Silver,21
Jewell Williams,21,37,33,25,17,9,7,4,3,21
Sharon Williams Losier,,4,23,18,6,5,2,0,1,21
Joffie C Pittman,,,2,17,7,3,2,3,0,21
Christine Hope,,,,0,4,1,1,2,2,21
Matthew Perks,,,,,0,0,2,0,1,21
Christian Dicicco,,,,,,0,4,0,1,21
Franklin A Bennett Iii,,,,,,,0,0,1,21
Daniel R Sulman,,,,,,,,1,0,21
Gary S Silver,,,,,,,,,2,21
Total,85,42,36,25,18,9,7,5,5,21
,Sheriff - Democrat,Judge Of The Municipal Court - Democrat,,,,,,,,22
,Jewell Williams,Sharon Williams Losier,Joffie C Pittman,Christine Hope,Matthew Perks,Christian Dicicco,Gary S Silver,Daniel R Sulman,Franklin A Bennett Iii,22
Jewell Williams,24,38,25,21,18,9,7,6,4,22
Sharon Williams Losier,,2,17,15,7,3,3,2,1,22
Joffie C Pittman,,,3,10,9,2,3,1,0,22
Christine Hope,,,,4,4,5,3,3,2,22
Matthew Perks,,,,,0,2,2,4,2,22
Christian Dicicco,,,,,,0,1,1,0,22
Gary S Silver,,,,,,,0,0,1,22
Daniel R Sulman,,,,,,,,0,0,22
Franklin A Bennett Iii,,,,,,,,,1,22
Total,83,41,29,27,18,9,8,6,5,22
,Sheriff - Democrat,Judge Of The Municipal Court - Democrat,,,,,,,,23
