col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,division
,District Council 8th District - Democrat,Council At Large - Democrat,,,,,,,,,,,,,,,,All
,Cindy Bass,Derek S Green,Blondell Reynolds Brown,Isaiah Thomas,Ed Neilson,William K Greenlee,Jenne Ayers,Wilson Alexander,Allan Domb,Thomas Wyatt,W Wilson Goode Jr,Helen Gym,Sherrie Cohen,Carla M Cain,Frank Rizzo,Paul Steinke,Marnie Aument Loughrey,All
Cindy Bass,10,244,160,141,126,123,70,63,40,40,40,35,32,26,21,19,19,All
Derek S Green,,9,133,125,109,111,47,43,26,30,27,19,17,16,11,14,13,All
Blondell Reynolds Brown,,,3,118,100,109,10,14,17,17,28,23,17,12,11,5,9,All
Isaiah Thomas,,,,4,105,104,12,6,15,10,37,14,11,5,7,7,2,All
Ed Neilson,,,,,4,100,7,8,9,6,15,6,6,6,4,2,4,All
William K Greenlee,,,,,,0,7,4,9,6,16,5,12,4,12,7,6,All
Jenne Ayers,,,,,,,4,34,12,16,9,15,9,11,3,5,5,All
Wilson Alexander,,,,,,,,4,16,23,8,6,15,5,5,3,8,All
Allan Domb,,,,,,,,,7,25,13,11,8,17,5,4,7,All
Thomas Wyatt,,,,,,,,,,5,5,8,13,17,8,8,6,All
W Wilson Goode Jr,,,,,,,,,,,0,20,12,7,8,3,4,All
Helen Gym,,,,,,,,,,,,1,15,7,5,7,7,All
Sherrie Cohen,,,,,,,,,,,,,0,5,10,6,3,All
Carla M Cain,,,,,,,,,,,,,,0,1,1,4,All
Frank Rizzo,,,,,,,,,,,,,,,0,3,3,All
Paul Steinke,,,,,,,,,,,,,,,,1,2,All
Marnie Aument Loughrey,,,,,,,,,,,,,,,,,0,All
Total,360,272,185,173,138,136,82,78,75,66,61,49,45,43,29,24,21,All
,District Council 8th District - Democrat,Council At Large - Democrat,,,,,,,,,,,,,,,,13
,Cindy Bass,Derek S Green,Blondell Reynolds Brown,Isaiah Thomas,Ed Neilson,William K Greenlee,Wilson Alexander,W Wilson Goode Jr,Allan Domb,Jenne Ayers,Thomas Wyatt,Helen Gym,Sherrie Cohen,Carla M Cain,Frank Rizzo,Paul Steinke,Marnie Aument Loughrey,13
Cindy Bass,2,92,58,54,45,46,23,15,11,23,13,11,9,7,7,5,4,13
Derek S Green,,4,54,49,42,45,17,12,11,19,12,9,5,4,4,3,3,13
Blondell Reynolds Brown,,,0,48,39,45,4,16,9,1,8,12,7,4,5,2,2,13
Isaiah Thomas,,,,2,39,41,4,17,8,6,4,7,4,1,2,4,2,13
Ed Neilson,,,,,3,38,6,5,4,2,3,2,1,1,1,0,3,13
William K Greenlee,,,,,,0,3,6,3,2,3,1,3,1,3,3,3,13
Wilson Alexander,,,,,,,2,4,6,12,10,2,8,1,2,1,1,13
W Wilson Goode Jr,,,,,,,,0,6,4,3,9,2,2,3,1,1,13
Allan Domb,,,,,,,,,4,2,8,3,2,4,0,2,2,13
Jenne Ayers,,,,,,,,,,1,4,2,2,2,1,1,0,13
Thomas Wyatt,,,,,,,,,,,1,2,7,3,4,1,1,13
Helen Gym,,,,,,,,,,,,1,4,2,1,0,1,13
Sherrie Cohen,,,,,,,,,,,,,0,2,2,2,0,13
Carla M Cain,,,,,,,,,,,,,,0,0,1,0,13
Frank Rizzo,,,,,,,,,,,,,,,0,1,0,13
Paul Steinke,,,,,,,,,,,,,,,,0,1,13
Marnie Aument Loughrey,,,,,,,,,,,,,,,,,0,13
Total,125,106,73,72,53,53,32,28,27,27,21,17,15,12,9,7,5,13
,District Council 8th District - Democrat,Council At Large - Democrat,,,,,,,,,,,,,,,,17
,Cindy Bass,Derek S Green,Blondell Reynolds Brown,Isaiah Thomas,Ed Neilson,William K Greenlee,Jenne Ayers,Allan Domb,Helen Gym,Sherrie Cohen,W Wilson Goode Jr,Wilson Alexander,Thomas Wyatt,Carla M Cain,Frank Rizzo,Marnie Aument Loughrey,Paul Steinke,17
Cindy Bass,1,52,40,37,33,31,16,12,7,9,8,12,7,6,6,3,2,17
Derek S Green,,4,29,29,24,24,10,7,5,4,6,5,4,4,3,1,2,17
Blondell Reynolds Brown,,,2,29,24,26,2,5,5,6,6,2,1,2,2,2,0,17
Isaiah Thomas,,,,0,28,28,2,5,4,4,7,0,1,2,2,0,2,17
Ed Neilson,,,,,0,25,2,2,2,2,2,0,1,2,2,0,1,17
William K Greenlee,,,,,,0,1,3,1,5,4,1,1,2,5,1,0,17
Jenne Ayers,,,,,,,0,4,5,4,1,6,5,3,0,2,0,17
Allan Domb,,,,,,,,0,4,3,2,2,3,3,3,1,0,17
Helen Gym,,,,,,,,,0,5,5,0,1,2,0,2,0,17
Sherrie Cohen,,,,,,,,,,0,5,1,1,1,3,1,0,17
W Wilson Goode Jr,,,,,,,,,,,0,1,0,1,2,0,2,17
Wilson Alexander,,,,,,,,,,,,0,3,1,0,1,0,17
Thomas Wyatt,,,,,,,,,,,,,1,3,1,1,0,17
Carla M Cain,,,,,,,,,,,,,,0,0,0,0,17
Frank Rizzo,,,,,,,,,,,,,,,0,0,0,17
Marnie Aument Loughrey,,,,,,,,,,,,,,,,0,0,17
Paul Steinke,,,,,,,,,,,,,,,,,1,17
Total,86,60,45,42,34,34,17,16,12,12,12,12,10,8,8,3,3,17
,District Council 8th District - Democrat,Council At Large - Democrat,,,,,,,,,,,,,,,,20
,Cindy Bass,Derek S Green,Blondell Reynolds Brown,Isaiah Thomas,Ed Neilson,William K Greenlee,Jenne Ayers,Wilson Alexander,Thomas Wyatt,Allan Domb,Carla M Cain,Helen Gym,W Wilson Goode Jr,Paul Steinke,Sherrie Cohen,Marnie Aument Loughrey,Frank Rizzo,20
Cindy Bass,6,70,46,35,34,32,19,19,12,10,8,11,8,8,8,7,5,20
Derek S Green,,0,37,35,31,31,11,15,7,4,4,4,5,7,3,5,3,20
Blondell Reynolds Brown,,,0,32,29,29,6,6,6,2,4,5,3,3,2,3,1,20
Isaiah Thomas,,,,1,31,28,2,1,1,1,0,1,6,0,0,0,0,20
Ed Neilson,,,,,1,30,3,1,1,1,0,1,3,1,1,0,1,20
William K Greenlee,,,,,,0,2,0,0,1,1,1,2,2,1,1,1,20
Jenne Ayers,,,,,,,3,10,3,3,4,4,3,2,1,2,1,20
Wilson Alexander,,,,,,,,2,5,3,2,2,0,2,3,2,2,20
Thomas Wyatt,,,,,,,,,2,9,7,4,1,4,2,3,3,20
Allan Domb,,,,,,,,,,1,7,1,1,2,1,1,0,20
Carla M Cain,,,,,,,,,,,0,2,2,0,1,3,1,20
Helen Gym,,,,,,,,,,,,0,2,4,4,3,2,20
W Wilson Goode Jr,,,,,,,,,,,,,0,0,0,1,0,20
Paul Steinke,,,,,,,,,,,,,,0,2,1,1,20
Sherrie Cohen,,,,,,,,,,,,,,,0,0,2,20
Marnie Aument Loughrey,,,,,,,,,,,,,,,,0,2,20
Frank Rizzo,,,,,,,,,,,,,,,,,0,20
Total,103,72,48,39,37,34,25,22,21,18,15,11,9,8,8,7,6,20
,District Council 8th District - Democrat,Council At Large - Democrat,,,,,,,,,,,,,,,,21
,Cindy Bass,Derek S Green,Isaiah Thomas,Blondell Reynolds Brown,William K Greenlee,Allan Domb,Ed Neilson,Thomas Wyatt,Jenne Ayers,W Wilson Goode Jr,Wilson Alexander,Sherrie Cohen,Helen Gym,Carla M Cain,Frank Rizzo,Marnie Aument Loughrey,Paul Steinke,21
Cindy Bass,1,30,15,16,14,7,14,8,12,9,9,6,6,5,3,5,4,21
Derek S Green,,1,12,13,11,4,12,7,7,4,6,5,1,4,1,4,2,21
Isaiah Thomas,,,1,9,7,1,7,4,2,7,1,3,2,2,3,0,1,21
Blondell Reynolds Brown,,,,1,9,1,8,2,1,3,2,2,1,2,3,2,0,21
William K Greenlee,,,,,0,2,7,2,2,4,0,3,2,0,3,1,2,21
Allan Domb,,,,,,2,2,5,3,4,5,2,3,3,2,3,0,21
Ed Neilson,,,,,,,0,1,0,5,1,2,1,3,0,1,0,21
Thomas Wyatt,,,,,,,,1,4,1,5,3,1,4,0,1,3,21
Jenne Ayers,,,,,,,,,0,1,6,2,4,2,1,1,2,21
W Wilson Goode Jr,,,,,,,,,,0,3,5,4,2,3,2,0,21
Wilson Alexander,,,,,,,,,,,0,3,2,1,1,4,0,21
Sherrie Cohen,,,,,,,,,,,,0,2,1,3,2,2,21
Helen Gym,,,,,,,,,,,,,0,1,2,1,3,21
Carla M Cain,,,,,,,,,,,,,,0,0,1,0,21
Frank Rizzo,,,,,,,,,,,,,,,0,1,1,21
Marnie Aument Loughrey,,,,,,,,,,,,,,,,0,0,21
Paul Steinke,,,,,,,,,,,,,,,,,0,21
Total,46,34,20,19,15,14,14,14,13,12,12,10,9,8,6,6,6,21
