col_1,col_2,col_3,division
,Register Of Wills - Republican,Sheriff - Republican,1
,Ross Feinberg,Christopher Sawyer,1
Ross Feinberg,2,15,1
Christopher Sawyer,,0,1
Total,17,15,1
,Sheriff - Republican,Register Of Wills - Republican,2
,Christopher Sawyer,Ross Feinberg,2
Christopher Sawyer,7,5,2
Ross Feinberg,,0,2
Total,12,5,2
,Sheriff - Republican,Register Of Wills - Republican,3
,Christopher Sawyer,Ross Feinberg,3
Christopher Sawyer,1,12,3
Ross Feinberg,,0,3
Total,13,12,3
,Sheriff - Republican,Register Of Wills - Republican,4
,Christopher Sawyer,Ross Feinberg,4
Christopher Sawyer,0,9,4
Ross Feinberg,,0,4
Total,9,9,4
,Sheriff - Republican,Register Of Wills - Republican,5
,Christopher Sawyer,Ross Feinberg,5
Christopher Sawyer,2,6,5
Ross Feinberg,,0,5
Total,8,6,5
,Sheriff - Republican,Register Of Wills - Republican,6
,Christopher Sawyer,Ross Feinberg,6
Christopher Sawyer,0,22,6
Ross Feinberg,,0,6
Total,22,22,6
,Register Of Wills - Republican,Sheriff - Republican,7
,Ross Feinberg,Christopher Sawyer,7
Ross Feinberg,2,12,7
Christopher Sawyer,,1,7
Total,14,13,7
,Sheriff - Republican,Register Of Wills - Republican,8
,Christopher Sawyer,Ross Feinberg,8
Christopher Sawyer,1,22,8
Ross Feinberg,,0,8
Total,23,22,8
,Register Of Wills - Republican,Sheriff - Republican,9
,Ross Feinberg,Christopher Sawyer,9
Ross Feinberg,2,12,9
Christopher Sawyer,,1,9
Total,14,13,9
,Sheriff - Republican,Register Of Wills - Republican,10
,Christopher Sawyer,Ross Feinberg,10
Christopher Sawyer,0,6,10
Ross Feinberg,,0,10
Total,6,6,10
,Register Of Wills - Republican,Sheriff - Republican,11
,Ross Feinberg,Christopher Sawyer,11
Ross Feinberg,2,22,11
Christopher Sawyer,,1,11
Total,24,23,11
,Register Of Wills - Republican,Sheriff - Republican,12
,Ross Feinberg,Christopher Sawyer,12
Ross Feinberg,2,25,12
Christopher Sawyer,,1,12
Total,27,26,12
,Register Of Wills - Republican,Sheriff - Republican,13
,Ross Feinberg,Christopher Sawyer,13
Ross Feinberg,3,19,13
Christopher Sawyer,,0,13
Total,22,19,13
,Register Of Wills - Republican,Sheriff - Republican,14
,Ross Feinberg,Christopher Sawyer,14
Ross Feinberg,1,9,14
Christopher Sawyer,,0,14
Total,10,9,14
,Sheriff - Republican,Register Of Wills - Republican,15
,Christopher Sawyer,Ross Feinberg,15
Christopher Sawyer,2,13,15
Ross Feinberg,,0,15
Total,15,13,15
,Sheriff - Republican,Register Of Wills - Republican,16
,Christopher Sawyer,Ross Feinberg,16
Christopher Sawyer,0,12,16
Ross Feinberg,,0,16
Total,12,12,16
,Sheriff - Republican,Register Of Wills - Republican,17
,Christopher Sawyer,Ross Feinberg,17
Christopher Sawyer,1,25,17
Ross Feinberg,,1,17
Total,26,26,17
,Sheriff - Republican,Register Of Wills - Republican,18
,Christopher Sawyer,Ross Feinberg,18
Christopher Sawyer,5,20,18
Ross Feinberg,,2,18
Total,25,22,18
,Sheriff - Republican,Register Of Wills - Republican,19
,Christopher Sawyer,Ross Feinberg,19
Christopher Sawyer,3,21,19
Ross Feinberg,,1,19
Total,24,22,19
,Register Of Wills - Republican,Sheriff - Republican,20
,Ross Feinberg,Christopher Sawyer,20
Ross Feinberg,2,19,20
Christopher Sawyer,,0,20
Total,21,19,20
,Sheriff - Republican,Register Of Wills - Republican,21
,Christopher Sawyer,Ross Feinberg,21
Christopher Sawyer,2,20,21
Ross Feinberg,,0,21
Total,22,20,21
,Sheriff - Republican,Register Of Wills - Republican,22
,Christopher Sawyer,Ross Feinberg,22
Christopher Sawyer,1,17,22
Ross Feinberg,,0,22
Total,18,17,22
,Sheriff - Republican,Register Of Wills - Republican,23
,Christopher Sawyer,Ross Feinberg,23
Christopher Sawyer,1,10,23
Ross Feinberg,,0,23
Total,11,10,23
,Sheriff - Republican,Register Of Wills - Republican,24
,Christopher Sawyer,Ross Feinberg,24
Christopher Sawyer,2,31,24
Ross Feinberg,,1,24
Total,33,32,24
,Sheriff - Republican,Register Of Wills - Republican,25
,Christopher Sawyer,Ross Feinberg,25
Christopher Sawyer,1,17,25
Ross Feinberg,,1,25
Total,18,18,25
,Register Of Wills - Republican,Sheriff - Republican,26
,Ross Feinberg,Christopher Sawyer,26
Ross Feinberg,1,11,26
Christopher Sawyer,,0,26
Total,12,11,26
,Sheriff - Republican,Register Of Wills - Republican,27
,Christopher Sawyer,Ross Feinberg,27
Christopher Sawyer,1,12,27
Ross Feinberg,,0,27
Total,13,12,27
,Register Of Wills - Republican,Sheriff - Republican,28
,Ross Feinberg,Christopher Sawyer,28
Ross Feinberg,2,8,28
Christopher Sawyer,,1,28
Total,10,9,28
,Sheriff - Republican,Register Of Wills - Republican,29
,Christopher Sawyer,Ross Feinberg,29
Christopher Sawyer,2,15,29
Ross Feinberg,,1,29
Total,17,16,29
,Sheriff - Republican,Register Of Wills - Republican,All
,Christopher Sawyer,Ross Feinberg,All
Christopher Sawyer,37,447,All
Ross Feinberg,,26,All
Total,484,473,All
