col_1,col_2,col_3,division
,Register Of Wills - Republican,Judge Of The Court Of Common Pleas - Republican,1
,Ross Feinberg,Vincent Furlong,1
Ross Feinberg,0,1,1
Vincent Furlong,,0,1
Total,1,1,1
,Judge Of The Court Of Common Pleas - Republican,Register Of Wills - Republican,3
,Vincent Furlong,Ross Feinberg,3
Vincent Furlong,1,1,3
Ross Feinberg,,0,3
Total,2,1,3
,Register Of Wills - Republican,Judge Of The Court Of Common Pleas - Republican,4
,Ross Feinberg,Vincent Furlong,4
Ross Feinberg,0,3,4
Vincent Furlong,,0,4
Total,3,3,4
,Register Of Wills - Republican,Judge Of The Court Of Common Pleas - Republican,5
,Ross Feinberg,Vincent Furlong,5
Ross Feinberg,1,0,5
Vincent Furlong,,0,5
Total,1,0,5
,Register Of Wills - Republican,Judge Of The Court Of Common Pleas - Republican,9
,Ross Feinberg,Vincent Furlong,9
Ross Feinberg,0,1,9
Vincent Furlong,,0,9
Total,1,1,9
,Register Of Wills - Republican,Judge Of The Court Of Common Pleas - Republican,10
,Ross Feinberg,Vincent Furlong,10
Ross Feinberg,0,1,10
Vincent Furlong,,0,10
Total,1,1,10
,Register Of Wills - Republican,Judge Of The Court Of Common Pleas - Republican,12
,Ross Feinberg,Vincent Furlong,12
Ross Feinberg,1,7,12
Vincent Furlong,,1,12
Total,8,8,12
,Register Of Wills - Republican,Judge Of The Court Of Common Pleas - Republican,13
,Ross Feinberg,Vincent Furlong,13
Ross Feinberg,0,1,13
Vincent Furlong,,0,13
Total,1,1,13
,Register Of Wills - Republican,Judge Of The Court Of Common Pleas - Republican,14
,Ross Feinberg,Vincent Furlong,14
Ross Feinberg,0,3,14
Vincent Furlong,,0,14
Total,3,3,14
,Judge Of The Court Of Common Pleas - Republican,Register Of Wills - Republican,16
,Vincent Furlong,Ross Feinberg,16
Vincent Furlong,2,0,16
Ross Feinberg,,1,16
Total,2,1,16
,Register Of Wills - Republican,Judge Of The Court Of Common Pleas - Republican,17
,Ross Feinberg,Vincent Furlong,17
Ross Feinberg,0,1,17
Vincent Furlong,,0,17
Total,1,1,17
,Register Of Wills - Republican,Judge Of The Court Of Common Pleas - Republican,19
,Ross Feinberg,Vincent Furlong,19
Ross Feinberg,2,0,19
Vincent Furlong,,0,19
Total,2,0,19
,Register Of Wills - Republican,Judge Of The Court Of Common Pleas - Republican,20
,Ross Feinberg,Vincent Furlong,20
Ross Feinberg,0,5,20
Vincent Furlong,,0,20
Total,5,5,20
,Judge Of The Court Of Common Pleas - Republican,Register Of Wills - Republican,22
,Vincent Furlong,Ross Feinberg,22
Vincent Furlong,1,1,22
Ross Feinberg,,0,22
Total,2,1,22
,Judge Of The Court Of Common Pleas - Republican,Register Of Wills - Republican,23
,Vincent Furlong,Ross Feinberg,23
Vincent Furlong,1,1,23
Ross Feinberg,,0,23
Total,2,1,23
,Judge Of The Court Of Common Pleas - Republican,Register Of Wills - Republican,All
,Vincent Furlong,Ross Feinberg,All
Vincent Furlong,6,26,All
Ross Feinberg,,5,All
Total,32,31,All
