col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,1
,Helen Gym,Paul Steinke,Sherrie Cohen,William K Greenlee,W Wilson Goode Jr,Allan Domb,Derek S Green,Thomas Wyatt,Isaiah Thomas,Jenne Ayers,Blondell Reynolds Brown,Carla M Cain,Marnie Aument Loughrey,Frank Rizzo,Ed Neilson,Wilson Alexander,1
Helen Gym,1,37,28,23,15,5,7,8,6,7,6,4,1,1,1,0,1
Paul Steinke,,1,26,21,15,8,9,7,4,5,5,3,1,1,0,0,1
Sherrie Cohen,,,0,21,17,4,4,3,5,3,5,2,0,0,0,0,1
William K Greenlee,,,,0,14,2,2,0,1,1,4,0,0,0,0,0,1
W Wilson Goode Jr,,,,,0,2,2,0,3,0,0,0,0,0,0,0,1
Allan Domb,,,,,,1,8,4,2,3,3,2,1,1,1,1,1
Derek S Green,,,,,,,0,5,4,3,3,1,2,0,0,1,1
Thomas Wyatt,,,,,,,,0,3,3,1,1,0,0,0,1,1
Isaiah Thomas,,,,,,,,,0,2,2,1,1,0,0,0,1
Jenne Ayers,,,,,,,,,,0,1,3,1,0,1,1,1
Blondell Reynolds Brown,,,,,,,,,,,0,0,1,1,0,0,1
Carla M Cain,,,,,,,,,,,,0,0,0,1,0,1
Marnie Aument Loughrey,,,,,,,,,,,,,1,0,0,0,1
Frank Rizzo,,,,,,,,,,,,,,1,0,0,1
Ed Neilson,,,,,,,,,,,,,,,0,0,1
Wilson Alexander,,,,,,,,,,,,,,,,0,1
Total,44,42,32,24,18,14,13,10,9,9,8,5,3,2,1,1,1
,Council At Large - Democrat,,,,,,,,,,,,,,,,2
,Helen Gym,Paul Steinke,Sherrie Cohen,W Wilson Goode Jr,William K Greenlee,Blondell Reynolds Brown,Isaiah Thomas,Thomas Wyatt,Derek S Green,Allan Domb,Jenne Ayers,Carla M Cain,Ed Neilson,Frank Rizzo,Marnie Aument Loughrey,Wilson Alexander,2
Helen Gym,6,68,64,36,37,27,29,16,9,10,9,6,3,1,3,0,2
Paul Steinke,,3,44,25,29,18,20,18,10,9,4,1,2,1,1,0,2
Sherrie Cohen,,,0,34,34,20,20,6,4,4,7,5,2,0,0,0,2
