col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,division
,City Commissioners - Democrat,,,,,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Anthony Clark,Lisa M Deeley,Carol A Jenkins,Tracey L Gordon,Omar Sabir,Will Mega,Ken Powell,Kai Scott,Tracy B Roman,Abbe Fletman,Mia Roberts Perez,Lyris Younge,Rainy Papademetriou,Scott Diclaudio,Daine Grey Jr,Chris Mallios,Michael Fanning,Stephanie M Sawyer,Jennifer Schultz,Leon Goodman,Vincent N Melchiorre,Frances Fattah,Brian T Ortelere,Stella Tsai,Deborah Watson Stokes,Thomas Martin,Jon Marshall,Lynne M Summers,Betsy Wahl,James F Berardinelli,Anthony Kyriakakis,Lucretia Clemons,Vincent Furlong,Leon A King Ii,Edward William Louden Jr,Marissa Brumbach,Wayne M D Bennett,Chris Mccabe,Vince Giusini,Jodi Lobel,Shanese Johnson,Rania Major,Joshua Hill,Sherman Toppin,Sandjai Weaver,William J Ciancaglini,Franklin A Bennett Iii,Tangie M Boston,Starr Marshall Cash,All
Anthony Clark,"5,403","12,188","8,538","9,025","7,706","6,653","28,104","18,490","26,909","15,714","15,213","22,698","11,993","24,506","17,503","10,663","13,122","13,486","13,073","17,238","12,702","13,395","10,141","7,648","10,167","12,378","14,793","10,737","6,578","9,400","6,411","7,372","9,579","8,988","12,457","5,862","8,845","6,189","6,591","5,107","7,157","6,079","6,724","6,253","5,210","4,306","4,453","3,285","2,897",All
Lisa M Deeley,,"1,626","9,167","4,369","8,128","2,315","18,343","19,838","17,062","18,623","18,527","12,367","15,544","11,575","12,599","16,053","19,096","13,554","9,482","5,614","14,370","7,584","9,945","9,197","7,648","11,066","5,300","7,054","8,064","6,394","7,899","6,349","5,160","3,988","3,046","8,150","4,153","5,910","5,403","5,441","3,638","3,899","3,488","3,012","2,827","3,090","1,705","1,826","2,311",All
Carol A Jenkins,,,"1,042","6,598","2,119","1,632","11,548","14,315","9,505","15,707","12,302","5,895","13,329","5,987","10,057","10,876","5,321","8,684","11,900","7,380","4,918","5,860","9,221","12,336","7,829","5,237","4,264","7,583","9,662","8,058","8,513","7,222","5,898","5,953","3,788","5,472","4,503","4,870","3,729","5,854","4,440","4,453","4,300","2,824","3,633","2,552","2,082","1,998","1,885",All
Tracey L Gordon,,,,"1,190","2,852","2,029","8,006","8,750","11,037","8,369","7,517","6,879","6,905","6,684","9,078","4,322","4,144","7,493","10,222","7,455","3,699","6,570","6,052","5,899","7,057","4,995","4,854","7,841","5,592","6,318","3,803","5,087","6,229","5,264","4,552","4,591","5,142","3,256","3,768","3,582","4,683","4,501","3,583","3,305","3,329","2,259","2,264","2,503","1,942",All
Omar Sabir,,,,,"1,329","2,369","10,168","13,913","9,610","8,530","11,406","9,684","8,378","5,129","7,678","6,938","7,828","7,818","5,081","5,936","6,516","10,827","6,610","4,254","7,647","6,855","3,886","5,251","3,889","2,528","3,034","4,511","3,165","5,288","2,748","3,432","4,204","3,923","2,411","3,204","4,559","3,218","2,765","4,049","3,004","1,496","1,639","2,165","2,112",All
Will Mega,,,,,,755,"7,045","5,483","6,964","4,132","4,025","6,584","5,246","6,493","5,164","2,856","2,653","3,832","3,953","6,598","2,520","3,375","3,042","3,362","3,704","3,277","6,223","2,611","2,763","3,355","3,739","3,140","2,628","3,125","4,923","2,419","2,634","1,553","2,117","2,425","1,992","1,874","1,757","1,924","1,809","1,268","1,016","1,300",943,All
Ken Powell,,,,,,,942,"22,111","26,335","21,752","18,440","22,013","16,766","21,232","18,206","16,989","16,685","13,028","9,830","15,433","14,784","10,455","13,664","8,220","6,885","12,457","13,303","6,656","6,674","8,640","7,853","5,782","6,849","7,277","10,704","4,472","6,323","4,694","5,099","4,234","4,517","3,802","5,060","4,092","3,873","2,620","2,717","1,973","1,702",All
Kai Scott,,,,,,,,616,"17,370","27,261","26,398","17,519","19,505","10,659","18,892","23,216","16,608","19,285","9,172","8,421","16,042","12,851","12,253","14,062","11,960","10,450","4,288","7,478","11,510","6,114","10,181","9,927","4,493","8,616","3,252","5,419","6,616","7,514","4,286","6,394","6,415","4,709","5,349","5,117","4,874","2,143","2,256","2,914","2,872",All
Tracy B Roman,,,,,,,,,925,"17,171","16,311","22,076","12,366","21,659","16,024","11,534","13,503","13,711","13,020","13,931","12,856","11,402","10,361","7,526","8,585","11,090","11,836","10,011","6,830","7,072","4,536","6,140","6,939","6,493","11,027","6,451","5,667","3,261","4,776","4,112","6,202","5,912","4,259","4,033","4,247","2,732","2,455","2,816","2,420",All
Abbe Fletman,,,,,,,,,,360,"21,836","13,553","20,660","12,356","18,577","23,403","14,034","13,906","11,386","7,183","15,140","7,527","14,526","13,990","7,238","9,334","4,766","5,154","10,184","8,449","9,675","7,383","5,232","5,431","3,527","5,120","4,605","6,441","4,108","6,424","2,892","2,959","3,633","3,183","2,888","1,754","1,279","1,205","1,250",All
Mia Roberts Perez,,,,,,,,,,,600,"13,636","15,863","10,027","15,923","19,153","15,510","16,882","9,775","6,357","13,760","11,016","9,567","13,694","10,752","7,709","3,347","7,753","10,645","5,318","8,041","8,250","3,757","6,331","2,715","6,206","4,965","6,122","3,464","5,713","4,827","4,979","4,309","4,375","3,531","2,211","1,548","2,321","2,753",All
Lyris Younge,,,,,,,,,,,,759,"8,126","18,380","15,961","9,279","10,544","12,949","8,146","10,897","10,050","8,446","5,253","4,815","7,424","6,522","10,343","6,468","4,677","4,599","3,767","5,360","4,927","5,445","9,439","3,760","4,836","4,021","3,695","3,268","4,757","3,674","2,950","4,909","3,111","1,605","1,606","2,089","2,277",All
Rainy Papademetriou,,,,,,,,,,,,,417,"7,707","12,029","14,282","11,316","8,127","9,917","7,545","10,488","7,844","17,789","12,777","5,910","11,042","6,663","4,761","8,487","9,118","10,776","7,424","5,301","4,870","4,159","5,863","3,341","4,886","3,885","5,830","2,583","3,134","3,759","2,322","2,909","1,881","1,205","1,157","1,181",All
Scott Diclaudio,,,,,,,,,,,,,,938,"13,318","9,002","10,581","8,802","8,201","11,507","10,305","4,571","7,572","3,545","4,041","6,180","11,587","4,941","3,204","8,491","4,203","2,725","5,977","4,126","10,143","3,553","4,940","3,052","5,414","2,476","2,623","3,224","2,930","3,103","2,648","3,525","2,452","1,525","1,152",All
