col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,division
,District Council 5th District - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Darrell L Clarke,Abbe Fletman,Kai Scott,Rainy Papademetriou,Stella Tsai,Brian T Ortelere,Chris Mallios,Ken Powell,Mia Roberts Perez,Anthony Kyriakakis,Betsy Wahl,Tracy B Roman,Leon Goodman,Lucretia Clemons,Jennifer Schultz,Jodi Lobel,Leon A King Ii,Stephanie M Sawyer,Vincent N Melchiorre,Scott Diclaudio,James F Berardinelli,Daine Grey Jr,Lynne M Summers,Chris Mccabe,Deborah Watson Stokes,Marissa Brumbach,Thomas Martin,Joshua Hill,Frances Fattah,Lyris Younge,Vince Giusini,Michael Fanning,Wayne M D Bennett,Vincent Furlong,Rania Major,Jon Marshall,Edward William Louden Jr,Shanese Johnson,William J Ciancaglini,Sherman Toppin,Sandjai Weaver,Tangie M Boston,Franklin A Bennett Iii,Starr Marshall Cash,All
Rainy Papademetriou,,,,5,61,62,54,56,60,44,50,36,24,41,22,10,6,14,12,15,17,11,12,19,4,4,7,14,4,9,7,6,3,4,5,3,4,0,5,2,0,1,2,0,10
Stella Tsai,,,,,2,52,53,48,57,53,55,28,34,42,20,16,13,20,14,13,10,12,20,20,14,10,3,4,10,4,5,1,2,5,5,7,1,4,2,0,3,2,0,0,10
Kai Scott,,,,,,0,60,54,49,37,43,32,13,42,19,8,4,11,3,15,21,6,6,19,3,4,3,9,4,4,7,4,2,2,4,2,1,1,0,2,2,3,1,0,10
Chris Mallios,,,,,,,1,46,44,37,44,23,16,33,15,9,7,12,7,15,10,10,3,15,3,5,6,7,3,5,3,5,0,6,6,2,1,2,3,2,1,1,1,0,10
Ken Powell,,,,,,,,2,44,39,41,39,15,31,17,10,11,7,7,11,12,9,5,19,0,4,5,8,3,7,5,4,7,5,5,2,5,1,2,2,1,1,1,1,10
Anthony Kyriakakis,,,,,,,,,0,42,40,31,20,35,16,10,8,13,9,10,9,11,9,20,5,3,4,8,5,5,7,5,4,2,5,1,2,1,2,0,1,1,3,0,10
Betsy Wahl,,,,,,,,,,0,46,26,27,37,23,17,11,19,18,11,9,6,19,12,18,12,5,5,10,3,3,3,4,3,3,6,2,5,4,1,3,1,1,0,10
Mia Roberts Perez,,,,,,,,,,,0,27,23,38,14,17,11,21,11,8,8,9,13,15,11,9,5,4,5,6,2,2,2,5,4,8,2,4,4,1,3,2,0,0,10
Leon Goodman,,,,,,,,,,,,2,15,25,14,10,9,7,9,7,6,5,7,7,4,2,5,4,3,7,4,4,8,5,1,1,2,0,0,4,3,2,1,0,10
Jennifer Schultz,,,,,,,,,,,,,0,11,29,20,16,23,22,8,4,11,23,8,17,8,9,5,10,6,7,3,8,7,1,4,5,4,4,3,3,5,3,0,10
