col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,division
,Justice Of The Supreme Court - Democrat,,,,,,District Council 5th District - Democrat,1
,Anne E Lazarus,Kevin M Dougherty,David Wecht,Christine Donohue,John Henry Foradora,Dwayne D Woodruff,Darrell L Clarke,1
Anne E Lazarus,16,163,94,69,7,4,0,1
Kevin M Dougherty,,14,69,42,6,4,0,1
David Wecht,,,13,29,2,5,0,1
Christine Donohue,,,,7,5,2,0,1
John Henry Foradora,,,,,0,5,0,1
Dwayne D Woodruff,,,,,,0,0,1
Darrell L Clarke,,,,,,,0,1
Total,224,194,120,84,13,10,0,1
,Justice Of The Supreme Court - Democrat,,,,,,District Council 5th District - Democrat,2
,Anne E Lazarus,Kevin M Dougherty,David Wecht,Christine Donohue,Dwayne D Woodruff,John Henry Foradora,Darrell L Clarke,2
Anne E Lazarus,19,86,77,43,6,7,0,2
Kevin M Dougherty,,12,60,21,3,2,0,2
David Wecht,,,4,22,2,0,0,2
Christine Donohue,,,,4,2,5,0,2
Dwayne D Woodruff,,,,,0,0,0,2
John Henry Foradora,,,,,,0,0,2
Darrell L Clarke,,,,,,,0,2
Total,144,107,89,54,7,7,0,2
,Justice Of The Supreme Court - Democrat,,,,,,District Council 5th District - Democrat,3
,Anne E Lazarus,Kevin M Dougherty,David Wecht,Christine Donohue,Dwayne D Woodruff,John Henry Foradora,Darrell L Clarke,3
Anne E Lazarus,18,122,105,25,2,0,0,3
Kevin M Dougherty,,12,94,16,3,1,0,3
David Wecht,,,6,20,0,1,0,3
Christine Donohue,,,,2,0,1,0,3
Dwayne D Woodruff,,,,,0,0,0,3
John Henry Foradora,,,,,,0,0,3
Darrell L Clarke,,,,,,,0,3
Total,166,149,127,35,3,2,0,3
,Justice Of The Supreme Court - Democrat,,,,,,District Council 5th District - Democrat,4
,Anne E Lazarus,Kevin M Dougherty,David Wecht,Christine Donohue,Dwayne D Woodruff,John Henry Foradora,Darrell L Clarke,4
Anne E Lazarus,20,111,56,54,10,6,0,4
Kevin M Dougherty,,13,33,26,3,3,0,4
David Wecht,,,6,29,7,3,0,4
Christine Donohue,,,,1,9,2,0,4
Dwayne D Woodruff,,,,,1,2,0,4
John Henry Foradora,,,,,,1,0,4
Darrell L Clarke,,,,,,,0,4
Total,173,132,76,67,17,9,0,4
,Justice Of The Supreme Court - Democrat,,,,,,District Council 5th District - Democrat,5
,Anne E Lazarus,Kevin M Dougherty,Christine Donohue,David Wecht,John Henry Foradora,Dwayne D Woodruff,Darrell L Clarke,5
Anne E Lazarus,21,101,46,43,7,5,0,5
Kevin M Dougherty,,20,39,37,5,4,0,5
Christine Donohue,,,4,22,6,3,0,5
David Wecht,,,,3,7,2,0,5
John Henry Foradora,,,,,0,2,0,5
Dwayne D Woodruff,,,,,,2,0,5
Darrell L Clarke,,,,,,,0,5
Total,148,139,65,64,14,11,0,5
,Justice Of The Supreme Court - Democrat,,,,,,District Council 5th District - Democrat,6
,Anne E Lazarus,Kevin M Dougherty,David Wecht,Christine Donohue,Dwayne D Woodruff,John Henry Foradora,Darrell L Clarke,6
Anne E Lazarus,19,109,47,44,6,2,0,6
Kevin M Dougherty,,12,44,32,3,4,0,6
David Wecht,,,2,18,1,4,0,6
Christine Donohue,,,,2,3,3,0,6
Dwayne D Woodruff,,,,,0,1,0,6
John Henry Foradora,,,,,,0,0,6
Darrell L Clarke,,,,,,,0,6
Total,153,137,63,54,8,7,0,6
,Justice Of The Supreme Court - Democrat,,,,,,District Council 5th District - Democrat,7
,Anne E Lazarus,Kevin M Dougherty,David Wecht,Christine Donohue,John Henry Foradora,Dwayne D Woodruff,Darrell L Clarke,7
Anne E Lazarus,9,79,40,37,8,6,0,7
Kevin M Dougherty,,6,29,24,8,1,0,7
David Wecht,,,3,10,5,3,0,7
Christine Donohue,,,,6,2,2,0,7
John Henry Foradora,,,,,0,2,0,7
Dwayne D Woodruff,,,,,,0,0,7
Darrell L Clarke,,,,,,,0,7
Total,111,92,50,47,13,7,0,7
,Justice Of The Supreme Court - Democrat,,,,,,District Council 5th District - Democrat,8
,Anne E Lazarus,Kevin M Dougherty,David Wecht,Christine Donohue,John Henry Foradora,Dwayne D Woodruff,Darrell L Clarke,8
Anne E Lazarus,19,128,66,45,13,11,0,8
Kevin M Dougherty,,18,50,37,10,7,0,8
David Wecht,,,3,21,4,4,0,8
Christine Donohue,,,,1,2,4,0,8
John Henry Foradora,,,,,1,0,0,8
Dwayne D Woodruff,,,,,,0,0,8
Darrell L Clarke,,,,,,,0,8
Total,181,165,84,60,16,13,0,8
,Justice Of The Supreme Court - Democrat,,,,,,District Council 5th District - Democrat,9
,Anne E Lazarus,Kevin M Dougherty,Christine Donohue,David Wecht,John Henry Foradora,Dwayne D Woodruff,Darrell L Clarke,9
Anne E Lazarus,7,99,51,47,9,3,0,9
Kevin M Dougherty,,18,37,37,8,3,0,9
Christine Donohue,,,4,17,4,2,0,9
David Wecht,,,,1,5,0,0,9
John Henry Foradora,,,,,0,2,0,9
Dwayne D Woodruff,,,,,,0,0,9
Darrell L Clarke,,,,,,,0,9
Total,129,129,61,58,14,5,0,9
,Justice Of The Supreme Court - Democrat,,,,,,District Council 5th District - Democrat,10
,Anne E Lazarus,Kevin M Dougherty,David Wecht,Christine Donohue,John Henry Foradora,Dwayne D Woodruff,Darrell L Clarke,10
Anne E Lazarus,15,35,20,18,2,0,0,10
Kevin M Dougherty,,6,23,18,2,0,0,10
David Wecht,,,2,9,2,1,0,10
Christine Donohue,,,,0,2,0,0,10
John Henry Foradora,,,,,0,1,0,10
Dwayne D Woodruff,,,,,,0,0,10
Darrell L Clarke,,,,,,,0,10
Total,61,52,34,25,5,1,0,10
,Justice Of The Supreme Court - Democrat,,,,,,District Council 5th District - Democrat,11
,Kevin M Dougherty,Anne E Lazarus,David Wecht,Christine Donohue,John Henry Foradora,Dwayne D Woodruff,Darrell L Clarke,11
Kevin M Dougherty,24,83,29,28,9,5,0,11
Anne E Lazarus,,17,27,30,11,4,0,11
David Wecht,,,9,14,5,3,0,11
Christine Donohue,,,,7,5,4,0,11
John Henry Foradora,,,,,0,2,0,11
Dwayne D Woodruff,,,,,,1,0,11
Darrell L Clarke,,,,,,,0,11
Total,124,118,53,51,18,11,0,11
,Justice Of The Supreme Court - Democrat,,,,,,District Council 5th District - Democrat,12
,Kevin M Dougherty,Anne E Lazarus,David Wecht,Christine Donohue,Dwayne D Woodruff,John Henry Foradora,Darrell L Clarke,12
Kevin M Dougherty,63,85,33,25,4,5,0,12
Anne E Lazarus,,16,45,38,8,7,0,12
David Wecht,,,14,15,2,1,0,12
Christine Donohue,,,,4,4,2,0,12
Dwayne D Woodruff,,,,,1,2,0,12
John Henry Foradora,,,,,,1,0,12
Darrell L Clarke,,,,,,,0,12
Total,157,128,69,47,12,10,0,12
,Justice Of The Supreme Court - Democrat,,,,,,District Council 5th District - Democrat,13
,Kevin M Dougherty,Anne E Lazarus,Christine Donohue,David Wecht,Dwayne D Woodruff,John Henry Foradora,Darrell L Clarke,13
Kevin M Dougherty,3,20,11,7,3,1,0,13
Anne E Lazarus,,1,9,9,0,1,0,13
Christine Donohue,,,1,3,3,0,0,13
David Wecht,,,,0,0,0,0,13
Dwayne D Woodruff,,,,,0,0,0,13
John Henry Foradora,,,,,,1,0,13
Darrell L Clarke,,,,,,,0,13
Total,28,25,15,10,3,2,0,13
