col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,division
,District Council 7th District - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Maria Quinones Sanchez,Manny Morales,Tracy B Roman,Ken Powell,Daine Grey Jr,Jennifer Schultz,Leon Goodman,Lyris Younge,Scott Diclaudio,Kai Scott,Mia Roberts Perez,Abbe Fletman,Jon Marshall,Brian T Ortelere,James F Berardinelli,Michael Fanning,Chris Mallios,Stephanie M Sawyer,Lynne M Summers,Rainy Papademetriou,Vincent Furlong,Edward William Louden Jr,Anthony Kyriakakis,Thomas Martin,Deborah Watson Stokes,Vincent N Melchiorre,Lucretia Clemons,Stella Tsai,Frances Fattah,Leon A King Ii,Marissa Brumbach,Betsy Wahl,Vince Giusini,Wayne M D Bennett,Sherman Toppin,Chris Mccabe,Rania Major,Sandjai Weaver,Shanese Johnson,Jodi Lobel,Joshua Hill,William J Ciancaglini,Franklin A Bennett Iii,Tangie M Boston,Starr Marshall Cash,All
Maria Quinones Sanchez,37,0,71,42,38,37,39,36,39,37,37,36,24,18,23,30,21,29,32,20,16,23,23,22,17,23,21,20,19,17,18,15,17,13,9,12,10,13,15,16,11,11,4,4,3,All
Manny Morales,,14,35,32,25,26,34,27,26,19,20,12,26,18,18,9,13,11,10,14,18,16,9,12,15,5,10,8,11,10,7,7,8,10,15,9,13,8,8,3,7,4,6,7,8,All
Tracy B Roman,,,2,46,41,33,37,51,45,31,28,30,29,22,15,19,16,22,23,18,13,29,13,11,13,16,14,13,14,11,13,10,8,12,14,4,10,7,14,7,7,4,3,6,2,All
Ken Powell,,,,2,34,22,30,43,42,24,27,28,28,18,16,22,18,20,11,13,16,22,10,13,8,19,8,7,9,9,5,7,6,7,5,3,3,7,7,3,6,1,4,2,4,All
Daine Grey Jr,,,,,0,32,27,38,29,36,26,36,22,25,13,23,26,26,15,24,20,16,15,15,13,20,13,10,8,13,8,14,10,7,13,7,8,8,8,7,6,3,3,3,5,All
Jennifer Schultz,,,,,,1,33,22,21,16,19,27,20,26,25,9,7,13,24,21,27,17,13,15,11,4,13,18,11,8,17,18,15,14,9,10,10,5,12,8,8,6,2,2,4,All
Leon Goodman,,,,,,,1,24,32,14,13,20,34,21,21,8,9,12,20,19,17,23,10,15,12,6,12,13,11,14,11,6,12,18,8,9,9,6,9,9,13,6,7,5,6,All
Lyris Younge,,,,,,,,4,39,26,28,29,24,14,9,21,23,21,11,12,11,21,10,7,10,17,7,4,7,6,10,9,5,6,8,5,4,3,9,2,2,0,2,2,2,All
Scott Diclaudio,,,,,,,,,3,14,17,25,26,17,17,18,13,15,7,15,13,26,9,6,5,17,1,7,4,7,4,3,5,10,5,5,6,2,0,5,9,8,5,3,1,All
Kai Scott,,,,,,,,,,2,31,23,8,9,7,23,27,28,17,7,10,8,12,12,15,21,14,9,9,10,9,9,11,7,12,10,6,10,9,4,5,5,4,3,5,All
Mia Roberts Perez,,,,,,,,,,,0,20,6,9,11,24,26,33,19,9,5,7,18,7,14,18,12,14,12,7,13,15,10,3,9,10,7,11,9,6,5,3,3,4,5,All
Abbe Fletman,,,,,,,,,,,,0,11,18,14,19,24,22,10,20,16,8,15,12,7,19,8,6,4,6,11,10,9,11,7,4,1,3,2,6,3,2,1,0,3,All
Jon Marshall,,,,,,,,,,,,,1,16,13,4,3,2,8,18,15,23,5,10,3,3,10,4,8,8,5,1,5,7,6,3,5,6,4,7,5,1,5,0,2,All
Brian T Ortelere,,,,,,,,,,,,,,2,20,9,5,4,11,20,22,13,9,7,2,3,3,8,7,5,7,2,11,8,8,6,7,5,4,2,7,4,5,3,0,All
James F Berardinelli,,,,,,,,,,,,,,,2,6,5,5,11,18,17,14,8,10,6,5,4,8,7,5,2,2,8,7,3,5,4,5,3,3,4,8,3,3,2,All
Michael Fanning,,,,,,,,,,,,,,,,2,20,21,11,7,3,3,15,10,4,25,10,6,3,3,9,3,7,2,6,7,2,8,3,8,4,5,1,2,2,All
Chris Mallios,,,,,,,,,,,,,,,,,5,22,5,4,4,1,13,9,8,20,5,4,2,2,5,8,7,5,6,10,4,4,2,1,3,2,3,1,5,All
Stephanie M Sawyer,,,,,,,,,,,,,,,,,,1,13,7,1,3,12,8,20,18,10,8,3,5,8,12,6,5,7,8,3,7,8,5,4,3,0,1,5,All
Lynne M Summers,,,,,,,,,,,,,,,,,,,1,7,7,9,9,13,10,3,10,12,15,12,12,11,8,9,6,6,7,6,13,8,9,4,4,5,2,All
Rainy Papademetriou,,,,,,,,,,,,,,,,,,,,0,15,13,14,9,6,8,12,8,5,6,10,8,6,8,6,1,4,7,3,7,2,5,0,4,0,All
Vincent Furlong,,,,,,,,,,,,,,,,,,,,,1,10,6,11,2,1,3,3,6,6,3,2,8,8,5,6,4,2,1,4,5,6,5,2,3,All
Edward William Louden Jr,,,,,,,,,,,,,,,,,,,,,,2,4,6,2,3,1,5,7,6,3,1,6,6,4,4,3,2,2,1,3,4,2,4,4,All
Anthony Kyriakakis,,,,,,,,,,,,,,,,,,,,,,,0,12,7,11,11,9,4,7,12,11,8,4,7,7,4,9,2,8,6,4,0,4,3,All
Thomas Martin,,,,,,,,,,,,,,,,,,,,,,,,0,7,10,13,5,9,7,7,7,11,11,5,5,4,6,7,7,5,4,3,3,3,All
Deborah Watson Stokes,,,,,,,,,,,,,,,,,,,,,,,,,3,3,6,7,6,5,5,9,2,5,9,7,5,4,6,4,2,3,0,2,5,All
Vincent N Melchiorre,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,4,2,2,4,4,5,2,2,3,2,5,1,5,1,4,0,2,1,All
Lucretia Clemons,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,6,5,13,8,6,4,4,2,7,10,7,9,1,3,2,3,2,All
Stella Tsai,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,4,9,10,7,3,3,4,9,8,9,5,3,2,0,2,1,All
Frances Fattah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,7,5,5,5,5,2,4,4,9,6,4,1,3,4,3,All
Leon A King Ii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,2,8,6,1,4,5,7,4,4,2,3,2,2,All
Marissa Brumbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,14,6,6,4,3,5,2,8,10,1,1,1,2,2,All
Betsy Wahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,4,2,4,4,4,8,7,2,0,0,3,2,All
Vince Giusini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,5,6,4,4,2,4,3,5,3,3,2,All
Wayne M D Bennett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,2,4,1,5,3,6,4,6,2,1,All
Sherman Toppin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,6,4,3,1,6,2,1,4,4,All
Chris Mccabe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,2,2,2,4,8,4,1,7,All
Rania Major,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,7,2,3,4,3,6,2,All
Sandjai Weaver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,5,1,2,0,5,3,All
Shanese Johnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,0,1,3,2,All
Jodi Lobel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,1,1,All
Joshua Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,1,0,All
William J Ciancaglini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,1,1,All
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,All
Tangie M Boston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,All
Starr Marshall Cash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,All
