col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,City Commissioners - Democrat,,,,,,All
,Derek S Green,Blondell Reynolds Brown,Helen Gym,W Wilson Goode Jr,Isaiah Thomas,Sherrie Cohen,William K Greenlee,Allan Domb,Paul Steinke,Jenne Ayers,Thomas Wyatt,Carla M Cain,Ed Neilson,Wilson Alexander,Frank Rizzo,Marnie Aument Loughrey,Anthony Clark,Carol A Jenkins,Omar Sabir,Lisa M Deeley,Tracey L Gordon,Will Mega,All
Derek S Green,128,"1,407",906,"1,162","1,075",613,798,674,506,441,492,335,402,274,198,89,"1,197",649,869,679,526,360,All
Blondell Reynolds Brown,,43,"1,076","1,471",958,870,"1,045",548,318,335,223,271,429,148,236,84,952,622,890,657,477,387,All
Helen Gym,,,89,871,709,"1,141",645,494,689,289,324,227,148,77,115,93,509,836,423,604,401,388,All
W Wilson Goode Jr,,,,23,892,666,821,413,292,237,218,184,360,110,229,40,764,505,786,514,398,345,All
Isaiah Thomas,,,,,56,487,434,486,450,230,407,178,164,106,147,41,709,474,652,368,374,249,All
Sherrie Cohen,,,,,,4,567,366,419,253,199,215,126,81,130,66,454,622,305,445,365,320,All
William K Greenlee,,,,,,,5,307,218,131,121,80,341,68,110,38,449,347,496,505,230,282,All
Allan Domb,,,,,,,,43,280,212,263,187,104,108,129,54,558,377,259,251,300,157,All
Paul Steinke,,,,,,,,,9,92,388,60,55,36,43,35,274,408,162,312,164,127,All
Jenne Ayers,,,,,,,,,,21,143,228,44,163,70,70,432,273,191,178,250,161,All
Thomas Wyatt,,,,,,,,,,,10,106,44,118,60,30,355,274,163,168,198,107,All
Carla M Cain,,,,,,,,,,,,12,30,72,54,66,276,268,118,157,234,70,All
Ed Neilson,,,,,,,,,,,,,3,28,28,25,168,83,324,302,75,64,All
Wilson Alexander,,,,,,,,,,,,,,9,29,28,289,108,77,56,104,110,All
Frank Rizzo,,,,,,,,,,,,,,,5,13,215,122,110,81,99,66,All
Marnie Aument Loughrey,,,,,,,,,,,,,,,,0,89,81,35,63,73,26,All
Anthony Clark,,,,,,,,,,,,,,,,,41,365,305,133,353,200,All
Carol A Jenkins,,,,,,,,,,,,,,,,,,7,90,378,211,81,All
Omar Sabir,,,,,,,,,,,,,,,,,,,13,435,129,107,All
Lisa M Deeley,,,,,,,,,,,,,,,,,,,,3,100,77,All
Tracey L Gordon,,,,,,,,,,,,,,,,,,,,,9,76,All
Will Mega,,,,,,,,,,,,,,,,,,,,,,9,All
