col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,Judge Of The Commonwealth Court - Democrat,,All
,Helen Gym,Blondell Reynolds Brown,Sherrie Cohen,Paul Steinke,W Wilson Goode Jr,Derek S Green,Isaiah Thomas,Allan Domb,William K Greenlee,Jenne Ayers,Thomas Wyatt,Ed Neilson,Wilson Alexander,Carla M Cain,Frank Rizzo,Marnie Aument Loughrey,Todd Eagen,Michael Wojcik,All
Helen Gym,117,770,"1,032",904,577,290,501,314,379,258,259,164,80,131,111,91,"1,116",363,All
Blondell Reynolds Brown,,44,671,449,683,306,345,295,513,198,131,267,89,96,140,58,767,312,All
Sherrie Cohen,,,8,565,469,191,300,150,437,205,149,178,62,116,59,60,808,257,All
Paul Steinke,,,,24,289,203,280,270,246,137,276,92,55,48,48,47,672,229,All
W Wilson Goode Jr,,,,,21,218,351,229,369,164,102,228,68,50,142,21,587,249,All
Derek S Green,,,,,,49,266,263,161,207,196,58,177,77,70,55,408,286,All
Isaiah Thomas,,,,,,,35,220,172,155,173,80,53,45,54,29,373,225,All
Allan Domb,,,,,,,,53,174,143,150,90,86,71,66,42,316,218,All
William K Greenlee,,,,,,,,,3,61,62,215,38,30,37,27,459,135,All
Jenne Ayers,,,,,,,,,,38,88,38,135,118,42,64,331,202,All
Thomas Wyatt,,,,,,,,,,,11,23,76,36,19,25,233,141,All
Ed Neilson,,,,,,,,,,,,3,17,16,40,15,250,66,All
Wilson Alexander,,,,,,,,,,,,,10,27,19,19,150,146,All
Carla M Cain,,,,,,,,,,,,,,9,20,56,111,105,All
Frank Rizzo,,,,,,,,,,,,,,,4,9,110,80,All
Marnie Aument Loughrey,,,,,,,,,,,,,,,,3,68,70,All
Todd Eagen,,,,,,,,,,,,,,,,,75,0,All
Michael Wojcik,,,,,,,,,,,,,,,,,,37,All
Total,"2,099","1,466","1,385","1,239","1,134",947,914,803,775,671,510,402,349,266,260,169,"1,861",891,All
,Council At Large - Democrat,,,,,,,,,,,,,,,,Judge Of The Commonwealth Court - Democrat,,1
,Helen Gym,Paul Steinke,Sherrie Cohen,Blondell Reynolds Brown,W Wilson Goode Jr,Isaiah Thomas,William K Greenlee,Thomas Wyatt,Allan Domb,Derek S Green,Jenne Ayers,Ed Neilson,Carla M Cain,Frank Rizzo,Wilson Alexander,Marnie Aument Loughrey,Todd Eagen,Michael Wojcik,1
Helen Gym,11,102,101,59,40,38,30,30,27,18,19,14,13,6,4,6,88,26,1
Paul Steinke,,0,57,39,20,23,23,34,26,15,12,11,5,5,3,4,64,23,1
Sherrie Cohen,,,0,46,26,24,24,10,12,9,17,11,11,4,3,5,63,19,1
Blondell Reynolds Brown,,,,1,21,13,21,11,8,7,9,10,5,1,3,3,36,16,1
W Wilson Goode Jr,,,,,0,13,15,10,9,9,10,3,2,6,0,1,26,9,1
Isaiah Thomas,,,,,,0,8,13,7,9,8,4,5,1,1,1,20,10,1
William K Greenlee,,,,,,,0,4,7,6,4,10,4,3,1,0,25,10,1
Thomas Wyatt,,,,,,,,0,13,8,6,5,2,1,2,3,18,14,1
Allan Domb,,,,,,,,,2,12,6,4,6,4,2,1,13,14,1
Derek S Green,,,,,,,,,,0,6,2,4,4,5,1,11,9,1
Jenne Ayers,,,,,,,,,,,0,2,8,3,5,6,19,7,1
Ed Neilson,,,,,,,,,,,,1,2,0,2,0,10,6,1
Carla M Cain,,,,,,,,,,,,,1,1,4,4,9,9,1
Frank Rizzo,,,,,,,,,,,,,,1,0,0,4,4,1
Wilson Alexander,,,,,,,,,,,,,,,0,1,2,8,1
Marnie Aument Loughrey,,,,,,,,,,,,,,,,0,4,2,1
Todd Eagen,,,,,,,,,,,,,,,,,0,0,1
Michael Wojcik,,,,,,,,,,,,,,,,,,0,1
Total,177,126,112,74,48,46,44,42,41,33,32,23,20,12,11,9,103,47,1
,Council At Large - Democrat,,,,,,,,,,,,,,,,Judge Of The Commonwealth Court - Democrat,,2
,Helen Gym,Sherrie Cohen,Paul Steinke,Blondell Reynolds Brown,W Wilson Goode Jr,Isaiah Thomas,Derek S Green,William K Greenlee,Allan Domb,Thomas Wyatt,Jenne Ayers,Wilson Alexander,Ed Neilson,Frank Rizzo,Carla M Cain,Marnie Aument Loughrey,Todd Eagen,Michael Wojcik,2
Helen Gym,8,76,60,51,45,30,19,19,10,16,12,5,7,2,8,5,71,20,2
Sherrie Cohen,,0,38,37,33,16,11,18,7,11,6,1,5,2,3,3,45,12,2
Paul Steinke,,,1,34,26,24,18,9,14,18,5,2,6,0,2,1,35,17,2
Blondell Reynolds Brown,,,,0,36,21,16,18,10,10,5,0,6,3,2,2,34,12,2
W Wilson Goode Jr,,,,,1,15,8,15,10,5,5,4,6,5,1,1,35,10,2
Isaiah Thomas,,,,,,3,18,6,10,13,11,7,0,4,4,1,17,12,2
Derek S Green,,,,,,,3,6,12,11,8,10,3,6,3,3,15,18,2
William K Greenlee,,,,,,,,0,9,0,3,1,3,1,0,2,11,6,2
Allan Domb,,,,,,,,,1,5,7,3,0,4,0,2,10,8,2
Thomas Wyatt,,,,,,,,,,0,1,3,3,1,0,0,12,6,2
Jenne Ayers,,,,,,,,,,,1,9,0,2,3,2,10,8,2
Wilson Alexander,,,,,,,,,,,,1,0,3,3,1,5,9,2
Ed Neilson,,,,,,,,,,,,,0,0,1,0,6,3,2
Frank Rizzo,,,,,,,,,,,,,,0,1,0,3,4,2
Carla M Cain,,,,,,,,,,,,,,,0,3,1,6,2
Marnie Aument Loughrey,,,,,,,,,,,,,,,,0,1,5,2
Todd Eagen,,,,,,,,,,,,,,,,,1,0,2
Michael Wojcik,,,,,,,,,,,,,,,,,,2,2
Total,136,84,80,71,59,55,49,30,29,27,23,16,12,10,9,7,83,39,2
,Council At Large - Democrat,,,,,,,,,,,,,,,,Judge Of The Commonwealth Court - Democrat,,3
,Blondell Reynolds Brown,Helen Gym,Sherrie Cohen,W Wilson Goode Jr,Derek S Green,Isaiah Thomas,Allan Domb,Jenne Ayers,William K Greenlee,Paul Steinke,Wilson Alexander,Thomas Wyatt,Frank Rizzo,Carla M Cain,Ed Neilson,Marnie Aument Loughrey,Todd Eagen,Michael Wojcik,3
Blondell Reynolds Brown,1,32,29,44,15,25,23,14,28,14,7,5,8,5,7,2,31,27,3
Helen Gym,,4,37,22,9,14,9,13,16,13,2,4,3,8,4,7,28,17,3
Sherrie Cohen,,,0,22,8,14,7,13,16,9,4,6,3,6,5,5,24,20,3
W Wilson Goode Jr,,,,0,6,19,11,12,19,9,6,3,5,2,4,0,20,18,3
Derek S Green,,,,,6,8,14,13,5,5,12,7,2,2,2,1,18,10,3
Isaiah Thomas,,,,,,2,11,7,10,8,3,9,2,1,3,0,15,13,3
Allan Domb,,,,,,,3,10,6,6,4,7,8,2,0,0,14,14,3
Jenne Ayers,,,,,,,,2,4,5,10,5,4,5,1,4,16,11,3
William K Greenlee,,,,,,,,,0,5,2,0,2,1,4,1,16,9,3
Paul Steinke,,,,,,,,,,1,3,5,3,0,2,2,7,12,3
Wilson Alexander,,,,,,,,,,,1,4,1,1,0,0,8,10,3
Thomas Wyatt,,,,,,,,,,,,0,1,1,3,1,7,7,3
Frank Rizzo,,,,,,,,,,,,,0,0,1,0,4,5,3
Carla M Cain,,,,,,,,,,,,,,0,0,4,2,6,3
Ed Neilson,,,,,,,,,,,,,,,0,0,4,3,3
Marnie Aument Loughrey,,,,,,,,,,,,,,,,0,3,3,3
Todd Eagen,,,,,,,,,,,,,,,,,3,0,3
Michael Wojcik,,,,,,,,,,,,,,,,,,2,3
Total,81,68,57,53,46,41,40,38,32,29,25,17,11,10,10,7,63,51,3
