col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,division
,Judge Of The Superior Court - Democrat,,Judge Of The Municipal Court - Democrat,,,,,,,,1
,Alice Beck Dubow,Robert Colville,Sharon Williams Losier,Joffie C Pittman,Christine Hope,Gary S Silver,Matthew Perks,Franklin A Bennett Iii,Christian Dicicco,Daniel R Sulman,1
Alice Beck Dubow,14,0,35,33,23,10,10,5,2,2,1
Robert Colville,,1,10,5,5,3,2,4,0,0,1
Sharon Williams Losier,,,4,30,22,6,3,6,2,0,1
Joffie C Pittman,,,,0,23,4,5,5,1,2,1
Christine Hope,,,,,2,7,5,1,0,1,1
Gary S Silver,,,,,,0,5,5,1,0,1
Matthew Perks,,,,,,,0,2,0,0,1
Franklin A Bennett Iii,,,,,,,,0,0,0,1
Christian Dicicco,,,,,,,,,2,0,1
Daniel R Sulman,,,,,,,,,,0,1
Total,63,14,52,41,33,14,12,10,4,2,1
,Judge Of The Superior Court - Democrat,,Judge Of The Municipal Court - Democrat,,,,,,,,2
,Alice Beck Dubow,Robert Colville,Sharon Williams Losier,Joffie C Pittman,Christine Hope,Matthew Perks,Gary S Silver,Daniel R Sulman,Christian Dicicco,Franklin A Bennett Iii,2
Alice Beck Dubow,6,0,56,39,37,12,10,6,7,8,2
Robert Colville,,2,5,7,2,7,0,4,0,1,2
Sharon Williams Losier,,,2,32,31,10,10,2,6,5,2
Joffie C Pittman,,,,0,23,12,5,8,1,2,2
Christine Hope,,,,,0,4,5,3,4,5,2
Matthew Perks,,,,,,1,1,5,1,1,2
Gary S Silver,,,,,,,0,1,2,2,2
Daniel R Sulman,,,,,,,,0,0,0,2
Christian Dicicco,,,,,,,,,1,0,2
Franklin A Bennett Iii,,,,,,,,,,0,2
Total,80,12,66,48,41,20,14,10,9,9,2
,Judge Of The Superior Court - Democrat,,Judge Of The Municipal Court - Democrat,,,,,,,,3
,Alice Beck Dubow,Robert Colville,Sharon Williams Losier,Joffie C Pittman,Christine Hope,Matthew Perks,Gary S Silver,Daniel R Sulman,Christian Dicicco,Franklin A Bennett Iii,3
Alice Beck Dubow,7,0,49,40,28,8,5,5,0,1,3
Robert Colville,,1,3,1,2,2,4,1,2,1,3
Sharon Williams Losier,,,1,34,20,6,6,3,0,1,3
Joffie C Pittman,,,,1,21,5,2,5,0,0,3
Christine Hope,,,,,0,2,3,3,1,1,3
Matthew Perks,,,,,,0,1,0,1,1,3
Gary S Silver,,,,,,,0,1,0,1,3
Daniel R Sulman,,,,,,,,0,1,0,3
Christian Dicicco,,,,,,,,,0,0,3
Franklin A Bennett Iii,,,,,,,,,,0,3
Total,69,8,53,45,31,10,9,8,2,2,3
,Judge Of The Superior Court - Democrat,,Judge Of The Municipal Court - Democrat,,,,,,,,4
,Alice Beck Dubow,Robert Colville,Sharon Williams Losier,Christine Hope,Joffie C Pittman,Matthew Perks,Franklin A Bennett Iii,Gary S Silver,Christian Dicicco,Daniel R Sulman,4
Alice Beck Dubow,9,0,47,43,36,13,8,9,5,1,4
Robert Colville,,0,1,2,0,1,1,0,0,0,4
Sharon Williams Losier,,,2,33,30,8,4,5,2,0,4
Christine Hope,,,,3,25,4,3,2,3,0,4
Joffie C Pittman,,,,,2,3,2,2,0,0,4
Matthew Perks,,,,,,2,3,2,1,1,4
Franklin A Bennett Iii,,,,,,,1,2,2,0,4
Gary S Silver,,,,,,,,0,1,1,4
Christian Dicicco,,,,,,,,,0,0,4
Daniel R Sulman,,,,,,,,,,0,4
Total,78,3,50,48,38,16,10,9,5,1,4
,Judge Of The Superior Court - Democrat,,Judge Of The Municipal Court - Democrat,,,,,,,,5
,Alice Beck Dubow,Robert Colville,Sharon Williams Losier,Christine Hope,Joffie C Pittman,Matthew Perks,Christian Dicicco,Daniel R Sulman,Gary S Silver,Franklin A Bennett Iii,5
Alice Beck Dubow,18,0,33,26,18,12,5,4,2,3,5
Robert Colville,,2,4,3,4,7,1,2,1,0,5
Sharon Williams Losier,,,1,14,11,9,3,1,1,2,5
Christine Hope,,,,0,7,5,6,4,3,2,5
Joffie C Pittman,,,,,1,7,0,3,1,0,5
Matthew Perks,,,,,,0,2,3,0,1,5
Christian Dicicco,,,,,,,0,0,0,1,5
Daniel R Sulman,,,,,,,,0,0,0,5
Gary S Silver,,,,,,,,,0,0,5
Franklin A Bennett Iii,,,,,,,,,,0,5
Total,75,12,39,30,24,19,6,6,4,3,5
,Judge Of The Superior Court - Democrat,,Judge Of The Municipal Court - Democrat,,,,,,,,6
,Alice Beck Dubow,Robert Colville,Joffie C Pittman,Daniel R Sulman,Matthew Perks,Sharon Williams Losier,Christine Hope,Gary S Silver,Christian Dicicco,Franklin A Bennett Iii,6
Alice Beck Dubow,13,0,72,38,35,35,30,8,8,8,6
Robert Colville,,5,7,5,8,5,2,3,2,1,6
Joffie C Pittman,,,2,42,34,22,15,2,2,1,6
Daniel R Sulman,,,,1,27,0,1,0,1,0,6
Matthew Perks,,,,,0,7,5,4,2,5,6
Sharon Williams Losier,,,,,,1,21,7,5,5,6
Christine Hope,,,,,,,0,9,7,4,6
Gary S Silver,,,,,,,,2,2,1,6
Christian Dicicco,,,,,,,,,0,2,6
Franklin A Bennett Iii,,,,,,,,,,1,6
Total,111,17,84,44,44,43,35,16,11,10,6
,Judge Of The Superior Court - Democrat,,Judge Of The Municipal Court - Democrat,,,,,,,,7
,Alice Beck Dubow,Robert Colville,Joffie C Pittman,Sharon Williams Losier,Christine Hope,Matthew Perks,Gary S Silver,Christian Dicicco,Daniel R Sulman,Franklin A Bennett Iii,7
Alice Beck Dubow,8,0,30,25,25,14,12,6,5,3,7
Robert Colville,,2,2,4,0,2,1,0,1,0,7
Joffie C Pittman,,,1,20,12,8,3,3,3,1,7
Sharon Williams Losier,,,,1,14,8,1,2,0,0,7
Christine Hope,,,,,2,7,6,3,2,2,7
Matthew Perks,,,,,,0,4,1,0,2,7
Gary S Silver,,,,,,,2,2,2,1,7
Christian Dicicco,,,,,,,,0,1,0,7
Daniel R Sulman,,,,,,,,,0,0,7
Franklin A Bennett Iii,,,,,,,,,,2,7
Total,61,9,35,32,28,17,15,6,6,5,7
,Judge Of The Superior Court - Democrat,,Judge Of The Municipal Court - Democrat,,,,,,,,8
,Alice Beck Dubow,Robert Colville,Sharon Williams Losier,Christine Hope,Joffie C Pittman,Matthew Perks,Gary S Silver,Christian Dicicco,Daniel R Sulman,Franklin A Bennett Iii,8
Alice Beck Dubow,13,0,27,18,16,7,5,3,4,3,8
Robert Colville,,0,1,1,2,3,0,0,0,0,8
Sharon Williams Losier,,,3,12,12,4,2,1,2,3,8
Christine Hope,,,,5,9,4,3,3,3,2,8
Joffie C Pittman,,,,,0,4,2,1,2,1,8
Matthew Perks,,,,,,2,1,1,1,1,8
Gary S Silver,,,,,,,0,0,0,1,8
Christian Dicicco,,,,,,,,1,1,0,8
Daniel R Sulman,,,,,,,,,0,0,8
Franklin A Bennett Iii,,,,,,,,,,1,8
Total,54,3,33,28,20,13,7,5,5,5,8
,Judge Of The Superior Court - Democrat,,Judge Of The Municipal Court - Democrat,,,,,,,,9
,Alice Beck Dubow,Robert Colville,Sharon Williams Losier,Joffie C Pittman,Christine Hope,Matthew Perks,Christian Dicicco,Gary S Silver,Franklin A Bennett Iii,Daniel R Sulman,9
Alice Beck Dubow,17,0,40,31,30,16,7,8,6,5,9
Robert Colville,,1,6,3,2,0,1,0,0,0,9
Sharon Williams Losier,,,3,28,24,6,3,1,3,2,9
Joffie C Pittman,,,,0,19,3,2,3,1,1,9
Christine Hope,,,,,1,8,4,3,3,1,9
Matthew Perks,,,,,,0,3,2,3,4,9
Christian Dicicco,,,,,,,1,1,1,0,9
Gary S Silver,,,,,,,,1,1,2,9
Franklin A Bennett Iii,,,,,,,,,0,0,9
Daniel R Sulman,,,,,,,,,,0,9
Total,78,7,52,36,35,16,9,9,7,5,9
,Judge Of The Superior Court - Democrat,,Judge Of The Municipal Court - Democrat,,,,,,,,10
,Alice Beck Dubow,Robert Colville,Sharon Williams Losier,Joffie C Pittman,Christine Hope,Matthew Perks,Christian Dicicco,Gary S Silver,Daniel R Sulman,Franklin A Bennett Iii,10
Alice Beck Dubow,5,0,44,29,26,8,5,3,4,1,10
Robert Colville,,0,2,0,0,0,1,0,0,0,10
Sharon Williams Losier,,,5,24,19,5,3,1,3,2,10
Joffie C Pittman,,,,1,11,6,2,2,2,1,10
Christine Hope,,,,,2,1,4,0,2,2,10
Matthew Perks,,,,,,0,1,1,1,1,10
Christian Dicicco,,,,,,,0,0,0,0,10
Gary S Silver,,,,,,,,2,0,0,10
Daniel R Sulman,,,,,,,,,0,0,10
Franklin A Bennett Iii,,,,,,,,,,0,10
Total,63,3,53,31,29,10,6,5,4,3,10
,Judge Of The Superior Court - Democrat,,Judge Of The Municipal Court - Democrat,,,,,,,,11
,Alice Beck Dubow,Robert Colville,Sharon Williams Losier,Joffie C Pittman,Christine Hope,Matthew Perks,Gary S Silver,Daniel R Sulman,Christian Dicicco,Franklin A Bennett Iii,11
Alice Beck Dubow,6,0,40,26,16,14,5,3,2,1,11
Robert Colville,,0,3,5,0,3,0,0,0,0,11
Sharon Williams Losier,,,4,25,10,13,4,2,0,1,11
Joffie C Pittman,,,,2,9,12,0,1,0,0,11
Christine Hope,,,,,7,2,8,2,2,1,11
Matthew Perks,,,,,,1,2,0,1,0,11
Gary S Silver,,,,,,,0,1,1,0,11
Daniel R Sulman,,,,,,,,0,0,0,11
Christian Dicicco,,,,,,,,,0,0,11
Franklin A Bennett Iii,,,,,,,,,,0,11
Total,57,5,49,34,28,18,11,3,2,1,11
,Judge Of The Superior Court - Democrat,,Judge Of The Municipal Court - Democrat,,,,,,,,12
,Alice Beck Dubow,Robert Colville,Sharon Williams Losier,Christine Hope,Joffie C Pittman,Christian Dicicco,Matthew Perks,Gary S Silver,Franklin A Bennett Iii,Daniel R Sulman,12
Alice Beck Dubow,16,0,66,48,44,9,9,7,5,3,12
Robert Colville,,0,5,2,4,2,2,0,2,3,12
Sharon Williams Losier,,,3,42,37,6,6,6,4,3,12
Christine Hope,,,,4,28,6,3,6,3,2,12
Joffie C Pittman,,,,,3,1,7,3,0,3,12
Christian Dicicco,,,,,,0,1,1,4,1,12
