col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,division
,District Council 7th District - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Maria Quinones Sanchez,Manny Morales,Tracy B Roman,Ken Powell,Scott Diclaudio,Lyris Younge,Jon Marshall,Mia Roberts Perez,Leon Goodman,Stephanie M Sawyer,Abbe Fletman,Jennifer Schultz,Daine Grey Jr,Kai Scott,Thomas Martin,Rainy Papademetriou,Chris Mallios,Michael Fanning,Vincent N Melchiorre,Deborah Watson Stokes,Edward William Louden Jr,Lynne M Summers,Anthony Kyriakakis,Betsy Wahl,Lucretia Clemons,Stella Tsai,Joshua Hill,Marissa Brumbach,Vincent Furlong,James F Berardinelli,Sherman Toppin,Vince Giusini,Wayne M D Bennett,Brian T Ortelere,Leon A King Ii,Rania Major,Sandjai Weaver,Frances Fattah,Franklin A Bennett Iii,Shanese Johnson,Starr Marshall Cash,William J Ciancaglini,Chris Mccabe,Jodi Lobel,Tangie M Boston,All
Maria Quinones Sanchez,20,0,27,22,14,15,12,20,10,18,14,15,12,12,12,6,10,9,11,11,6,9,8,11,9,10,6,7,3,3,6,3,3,2,3,4,4,3,3,4,2,2,1,3,2,All
Manny Morales,,20,16,11,18,13,13,2,12,4,5,5,7,7,7,9,5,6,4,3,8,5,4,1,3,1,4,2,4,3,1,3,4,3,1,1,1,1,1,0,2,2,2,0,0,All
Tracy B Roman,,,0,20,20,19,16,13,12,13,12,10,9,8,12,7,11,11,10,8,10,11,4,6,4,6,6,5,4,2,5,2,4,2,2,4,2,2,1,0,3,2,2,1,2,All
Ken Powell,,,,1,20,17,18,10,13,11,12,5,11,10,10,7,6,12,10,2,8,2,5,3,4,2,3,5,4,2,2,4,1,1,2,0,1,1,1,2,1,2,0,2,0,All
Scott Diclaudio,,,,,0,16,18,7,11,10,11,7,11,9,9,7,4,9,6,3,9,4,4,2,1,2,4,2,6,4,4,3,2,2,1,0,1,2,0,0,1,2,0,0,0,All
Lyris Younge,,,,,,0,16,8,11,6,9,6,7,9,6,7,4,7,8,6,10,3,3,3,4,3,3,3,3,5,3,4,3,2,2,0,2,0,1,0,0,2,1,1,1,All
Jon Marshall,,,,,,,0,5,13,6,7,5,8,4,7,8,3,6,4,2,9,2,5,3,0,1,3,2,5,5,1,3,1,1,3,0,0,0,0,0,1,1,0,0,0,All
Mia Roberts Perez,,,,,,,,1,4,16,7,8,6,10,6,4,5,5,7,7,3,6,6,8,7,6,3,5,2,0,3,2,3,1,2,3,3,3,1,2,0,0,0,2,1,All
