col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,City Commissioners - Democrat,,,,,,All
,Derek S Green,Isaiah Thomas,Blondell Reynolds Brown,William K Greenlee,Ed Neilson,W Wilson Goode Jr,Allan Domb,Jenne Ayers,Sherrie Cohen,Thomas Wyatt,Helen Gym,Wilson Alexander,Carla M Cain,Paul Steinke,Frank Rizzo,Marnie Aument Loughrey,Omar Sabir,Anthony Clark,Lisa M Deeley,Tracey L Gordon,Carol A Jenkins,Will Mega,All
Ed Neilson,,,,,0,5,1,2,2,0,2,2,2,1,2,0,56,51,4,0,0,1,2
Allan Domb,,,,,,2,5,8,6,5,3,3,4,3,1,2,10,6,9,7,6,1,2
Jenne Ayers,,,,,,,1,4,4,3,4,8,5,2,0,4,5,7,17,5,5,4,2
W Wilson Goode Jr,,,,,,,,0,7,3,4,1,4,3,2,1,6,10,13,5,4,2,2
Helen Gym,,,,,,,,,1,3,7,3,4,1,0,0,9,8,8,2,4,3,2
Thomas Wyatt,,,,,,,,,,0,2,4,2,6,1,0,3,4,8,5,3,3,2
Sherrie Cohen,,,,,,,,,,,1,2,4,2,0,2,8,4,5,1,2,2,2
Wilson Alexander,,,,,,,,,,,,0,3,2,0,2,2,3,9,4,2,3,2
Carla M Cain,,,,,,,,,,,,,1,0,0,1,4,2,8,1,5,1,2
Paul Steinke,,,,,,,,,,,,,,0,0,1,2,3,4,5,1,2,2
Frank Rizzo,,,,,,,,,,,,,,,0,0,1,3,1,0,0,0,2
Marnie Aument Loughrey,,,,,,,,,,,,,,,,0,1,1,2,3,1,0,2
Lisa M Deeley,,,,,,,,,,,,,,,,,0,61,5,1,1,1,2
Omar Sabir,,,,,,,,,,,,,,,,,,0,7,3,1,3,2
Anthony Clark,,,,,,,,,,,,,,,,,,,4,6,7,5,2
Tracey L Gordon,,,,,,,,,,,,,,,,,,,,2,4,1,2
Carol A Jenkins,,,,,,,,,,,,,,,,,,,,,0,0,2
Will Mega,,,,,,,,,,,,,,,,,,,,,,3,2
Total,134,108,84,82,65,30,29,29,20,19,15,15,14,12,5,5,84,81,62,21,18,18,2
,Council At Large - Democrat,,,,,,,,,,,,,,,,City Commissioners - Democrat,,,,,,3
