col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,division
,Council At Large - Republican,,,,,,,Justice Of The Supreme Court - Republican,,,,,,1
,Terry Tracy,Al Taubenberger,David Oh,James Williams,Matt Wolfe,Daniel Tinney,Dennis M O Brien,Anne Covey,Correale Stevens,Rebecca Warren,Cheryl Allen,Judy Olson,Mike George,1
Terry Tracy,0,2,2,2,2,1,1,2,2,2,1,1,0,1
Al Taubenberger,,0,1,1,2,1,1,2,1,1,0,1,0,1
David Oh,,,0,2,1,0,0,1,2,1,1,0,0,1
James Williams,,,,0,1,0,0,1,2,1,1,0,0,1
Matt Wolfe,,,,,0,1,1,2,1,1,0,1,0,1
Daniel Tinney,,,,,,0,1,1,0,1,0,1,0,1
Dennis M O Brien,,,,,,,0,1,0,1,0,1,0,1
Anne Covey,,,,,,,,0,1,1,0,1,0,1
Correale Stevens,,,,,,,,,0,1,1,0,0,1
Rebecca Warren,,,,,,,,,,0,1,1,0,1
Cheryl Allen,,,,,,,,,,,0,0,0,1
Judy Olson,,,,,,,,,,,,0,0,1
Mike George,,,,,,,,,,,,,0,1
Total,3,2,2,2,2,1,1,2,2,2,1,1,0,1
,Council At Large - Republican,,,,,,,Justice Of The Supreme Court - Republican,,,,,,2
,Matt Wolfe,David Oh,Terry Tracy,Daniel Tinney,Dennis M O Brien,James Williams,Al Taubenberger,Anne Covey,Cheryl Allen,Correale Stevens,Mike George,Judy Olson,Rebecca Warren,2
Matt Wolfe,0,2,2,1,1,1,0,1,2,1,1,0,0,2
David Oh,,1,0,0,0,0,0,0,1,0,0,0,0,2
Terry Tracy,,,0,1,1,1,0,1,1,1,1,0,0,2
Daniel Tinney,,,,0,1,1,0,1,1,0,1,0,0,2
Dennis M O Brien,,,,,0,1,0,1,1,0,1,0,0,2
James Williams,,,,,,0,0,1,1,0,1,0,0,2
Al Taubenberger,,,,,,,0,0,0,0,0,0,0,2
Anne Covey,,,,,,,,0,1,1,1,0,0,2
Cheryl Allen,,,,,,,,,0,0,1,0,0,2
Correale Stevens,,,,,,,,,,0,0,0,0,2
Mike George,,,,,,,,,,,0,0,0,2
Judy Olson,,,,,,,,,,,,0,0,2
Rebecca Warren,,,,,,,,,,,,,0,2
Total,4,3,2,1,1,1,0,2,2,2,1,0,0,2
,Justice Of The Supreme Court - Republican,,,,,,Council At Large - Republican,,,,,,,4
,Cheryl Allen,Correale Stevens,Mike George,Anne Covey,Judy Olson,Rebecca Warren,Daniel Tinney,David Oh,James Williams,Matt Wolfe,Al Taubenberger,Dennis M O Brien,Terry Tracy,4
Cheryl Allen,0,1,1,0,0,0,1,0,1,1,0,0,0,4
Correale Stevens,,0,1,0,0,0,1,0,1,1,0,0,0,4
Mike George,,,0,0,0,0,1,0,1,1,0,0,0,4
Anne Covey,,,,0,0,0,0,0,0,0,0,0,0,4
Judy Olson,,,,,0,0,0,0,0,0,0,0,0,4
Rebecca Warren,,,,,,0,0,0,0,0,0,0,0,4
Daniel Tinney,,,,,,,0,0,1,1,0,0,0,4
David Oh,,,,,,,,1,0,0,0,0,0,4
James Williams,,,,,,,,,0,1,0,0,0,4
Matt Wolfe,,,,,,,,,,0,0,0,0,4
Al Taubenberger,,,,,,,,,,,0,0,0,4
Dennis M O Brien,,,,,,,,,,,,0,0,4
Terry Tracy,,,,,,,,,,,,,0,4
Total,1,1,1,0,0,0,1,1,1,1,0,0,0,4
,Council At Large - Republican,,,,,,,Justice Of The Supreme Court - Republican,,,,,,5
,Daniel Tinney,James Williams,Terry Tracy,Al Taubenberger,David Oh,Matt Wolfe,Dennis M O Brien,Anne Covey,Correale Stevens,Mike George,Cheryl Allen,Judy Olson,Rebecca Warren,5
Daniel Tinney,0,2,1,1,0,1,0,1,1,2,1,1,0,5
James Williams,,0,2,1,1,1,0,2,1,1,1,1,0,5
Terry Tracy,,,0,1,1,1,0,2,1,1,0,1,0,5
Al Taubenberger,,,,0,0,1,0,1,0,1,0,1,0,5
David Oh,,,,,0,0,0,1,1,0,0,0,0,5
Matt Wolfe,,,,,,0,0,1,0,1,0,1,0,5
Dennis M O Brien,,,,,,,0,0,0,0,0,0,0,5
Anne Covey,,,,,,,,0,1,1,0,1,0,5
Correale Stevens,,,,,,,,,0,1,0,0,0,5
Mike George,,,,,,,,,,0,0,1,0,5
Cheryl Allen,,,,,,,,,,,0,0,0,5
Judy Olson,,,,,,,,,,,,0,0,5
Rebecca Warren,,,,,,,,,,,,,0,5
Total,3,3,2,1,1,1,0,2,2,2,1,1,0,5
,Council At Large - Republican,,,,,,,Justice Of The Supreme Court - Republican,,,,,,6
,Daniel Tinney,Matt Wolfe,Terry Tracy,Al Taubenberger,David Oh,Dennis M O Brien,James Williams,Judy Olson,Mike George,Anne Covey,Cheryl Allen,Correale Stevens,Rebecca Warren,6
Daniel Tinney,0,1,1,0,0,0,0,1,1,0,0,0,0,6
Matt Wolfe,,0,1,0,0,0,0,1,1,0,0,0,0,6
Terry Tracy,,,0,0,0,0,0,1,1,0,0,0,0,6
Al Taubenberger,,,,0,0,0,0,0,0,0,0,0,0,6
David Oh,,,,,0,0,0,0,0,0,0,0,0,6
Dennis M O Brien,,,,,,0,0,0,0,0,0,0,0,6
James Williams,,,,,,,0,0,0,0,0,0,0,6
Judy Olson,,,,,,,,0,1,0,0,0,0,6
Mike George,,,,,,,,,0,0,0,0,0,6
Anne Covey,,,,,,,,,,0,0,0,0,6
Cheryl Allen,,,,,,,,,,,0,0,0,6
Correale Stevens,,,,,,,,,,,,0,0,6
Rebecca Warren,,,,,,,,,,,,,0,6
Total,1,1,1,0,0,0,0,1,1,0,0,0,0,6
,Council At Large - Republican,,,,,,,Justice Of The Supreme Court - Republican,,,,,,7
,Al Taubenberger,James Williams,Matt Wolfe,Terry Tracy,Daniel Tinney,David Oh,Dennis M O Brien,Anne Covey,Cheryl Allen,Judy Olson,Correale Stevens,Mike George,Rebecca Warren,7
Al Taubenberger,0,1,1,1,0,0,0,1,1,1,0,0,0,7
James Williams,,0,1,1,0,0,0,1,1,1,0,0,0,7
Matt Wolfe,,,0,1,0,0,0,1,1,1,0,0,0,7
Terry Tracy,,,,0,0,0,0,1,1,1,0,0,0,7
Daniel Tinney,,,,,0,0,0,0,0,0,0,0,0,7
David Oh,,,,,,0,0,0,0,0,0,0,0,7
Dennis M O Brien,,,,,,,0,0,0,0,0,0,0,7
Anne Covey,,,,,,,,0,1,1,0,0,0,7
Cheryl Allen,,,,,,,,,0,1,0,0,0,7
Judy Olson,,,,,,,,,,0,0,0,0,7
Correale Stevens,,,,,,,,,,,0,0,0,7
Mike George,,,,,,,,,,,,0,0,7
Rebecca Warren,,,,,,,,,,,,,0,7
Total,1,1,1,1,0,0,0,1,1,1,0,0,0,7
,Justice Of The Supreme Court - Republican,,,,,,Council At Large - Republican,,,,,,,8
,Correale Stevens,Anne Covey,Cheryl Allen,Judy Olson,Mike George,Rebecca Warren,Terry Tracy,Al Taubenberger,Daniel Tinney,David Oh,Dennis M O Brien,James Williams,Matt Wolfe,8
Correale Stevens,0,0,0,0,0,0,1,0,0,0,0,0,0,8
Anne Covey,,0,0,0,0,0,0,0,0,0,0,0,0,8
Cheryl Allen,,,0,0,0,0,0,0,0,0,0,0,0,8
Judy Olson,,,,0,0,0,0,0,0,0,0,0,0,8
Mike George,,,,,0,0,0,0,0,0,0,0,0,8
Rebecca Warren,,,,,,0,0,0,0,0,0,0,0,8
