col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,division
,Judge Of The Superior Court - Democrat,,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Alice Beck Dubow,Robert Colville,Abbe Fletman,Mia Roberts Perez,Chris Mallios,Jennifer Schultz,Rainy Papademetriou,Michael Fanning,Betsy Wahl,Kai Scott,Stella Tsai,Jodi Lobel,Anthony Kyriakakis,Vincent N Melchiorre,Lucretia Clemons,Tracy B Roman,Chris Mccabe,Deborah Watson Stokes,Ken Powell,Wayne M D Bennett,Brian T Ortelere,Lynne M Summers,Thomas Martin,Stephanie M Sawyer,James F Berardinelli,Sandjai Weaver,Scott Diclaudio,Daine Grey Jr,Frances Fattah,Leon A King Ii,Marissa Brumbach,Rania Major,Starr Marshall Cash,Vince Giusini,William J Ciancaglini,Lyris Younge,Joshua Hill,Leon Goodman,Edward William Louden Jr,Jon Marshall,Shanese Johnson,Tangie M Boston,Vincent Furlong,Franklin A Bennett Iii,Sherman Toppin,1
Alice Beck Dubow,6,0,35,27,24,21,15,13,16,15,15,12,13,13,14,13,11,12,9,9,9,10,10,9,8,8,8,8,6,7,6,6,6,5,4,3,4,4,3,3,3,3,3,2,1,1
Robert Colville,,2,2,2,2,1,4,2,0,2,2,1,2,2,0,0,1,0,3,3,2,1,1,1,1,1,1,0,0,0,1,1,1,2,3,2,1,1,0,0,0,0,0,0,0,1
Abbe Fletman,,,0,28,27,11,10,16,12,14,10,7,9,9,8,8,3,7,9,3,7,7,8,6,5,4,5,6,3,4,2,4,5,4,3,2,2,4,2,3,2,0,2,0,0,1
Mia Roberts Perez,,,,0,25,10,10,15,9,9,10,5,9,4,7,7,3,7,7,5,5,5,4,5,4,6,3,4,4,1,5,3,4,3,1,1,1,2,2,2,0,1,1,0,0,1
Chris Mallios,,,,,0,9,7,16,6,8,7,4,9,4,4,5,3,4,8,4,6,3,5,2,3,3,2,3,3,0,2,1,2,2,1,1,1,2,1,2,0,0,1,0,0,1
Jennifer Schultz,,,,,,0,9,4,7,6,8,6,5,4,8,5,7,9,5,7,4,7,3,4,3,4,2,6,2,4,4,5,2,1,2,1,2,2,2,0,1,1,0,1,1,1
Rainy Papademetriou,,,,,,,0,3,5,13,10,4,7,7,8,3,7,5,3,6,8,3,5,5,3,6,3,3,2,4,4,4,2,2,2,2,2,1,1,0,0,2,0,1,0,1
Michael Fanning,,,,,,,,0,2,3,2,2,6,6,3,5,2,2,7,3,3,1,6,1,2,2,2,1,2,1,1,0,1,3,1,1,2,1,1,2,0,0,1,0,0,1
