col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,division
,District Council 6th District - Democrat,Judge Of The Court Of Common Pleas - Democrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All
,Bobby Henon,Tracy B Roman,Jennifer Schultz,Abbe Fletman,Ken Powell,Leon Goodman,Daine Grey Jr,Lyris Younge,Kai Scott,Scott Diclaudio,James F Berardinelli,Jon Marshall,Mia Roberts Perez,Anthony Kyriakakis,Lynne M Summers,Vincent Furlong,Chris Mallios,Michael Fanning,Rainy Papademetriou,Thomas Martin,Stephanie M Sawyer,Lucretia Clemons,Betsy Wahl,Deborah Watson Stokes,Vincent N Melchiorre,Edward William Louden Jr,Stella Tsai,Jodi Lobel,Brian T Ortelere,Marissa Brumbach,Wayne M D Bennett,Leon A King Ii,Joshua Hill,Vince Giusini,Chris Mccabe,Frances Fattah,Sherman Toppin,Shanese Johnson,Rania Major,Sandjai Weaver,William J Ciancaglini,Franklin A Bennett Iii,Tangie M Boston,Starr Marshall Cash,All
Bobby Henon,82,181,172,129,148,147,122,137,125,130,110,113,109,100,114,98,87,95,89,89,95,91,94,92,84,94,87,73,74,73,73,72,72,61,53,64,53,52,49,46,49,36,37,26,All
Tracy B Roman,,5,95,60,82,79,73,75,59,73,47,56,47,47,52,30,33,38,35,40,50,51,42,41,38,64,47,25,39,33,33,38,31,18,16,32,32,33,35,24,19,16,17,11,All
Jennifer Schultz,,,6,73,63,71,57,51,45,57,58,50,50,46,74,57,32,28,44,32,54,44,51,54,34,46,55,36,48,43,39,34,37,25,21,34,29,29,34,21,25,15,19,12,All
Abbe Fletman,,,,6,49,47,57,44,71,35,51,25,42,45,31,31,61,42,40,37,40,35,36,30,56,23,35,35,45,28,20,19,25,24,28,13,10,9,9,11,14,8,9,7,All
Ken Powell,,,,,6,68,70,78,56,63,43,64,34,33,38,34,31,38,26,47,27,37,25,26,41,51,20,13,33,13,35,34,33,22,27,20,31,20,15,17,17,18,8,6,All
Leon Goodman,,,,,,2,57,54,39,57,40,70,31,24,48,40,24,17,28,35,38,27,32,41,21,45,30,31,28,28,37,32,37,18,21,27,27,21,19,13,16,17,13,9,All
Daine Grey Jr,,,,,,,3,65,59,47,47,45,47,31,44,34,39,38,46,34,45,40,39,30,30,37,30,28,44,29,27,31,19,19,21,18,27,26,21,27,11,9,10,10,All
Lyris Younge,,,,,,,,2,52,57,33,53,39,33,26,34,37,39,25,34,38,30,22,27,33,48,24,18,24,18,24,21,20,17,20,18,23,16,19,14,11,12,9,12,All
