col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,division
,Judge Of The Municipal Court - Democrat,,,,,,,,Council At Large - Democrat,,,,,,,,,,,,,,,,1
,Sharon Williams Losier,Christine Hope,Christian Dicicco,Daniel R Sulman,Joffie C Pittman,Gary S Silver,Matthew Perks,Franklin A Bennett Iii,Derek S Green,Sherrie Cohen,Allan Domb,Ed Neilson,Helen Gym,Frank Rizzo,Thomas Wyatt,Isaiah Thomas,Blondell Reynolds Brown,Paul Steinke,William K Greenlee,Wilson Alexander,Jenne Ayers,W Wilson Goode Jr,Carla M Cain,Marnie Aument Loughrey,1
Sharon Williams Losier,0,20,12,9,9,7,5,1,21,18,14,11,15,9,7,13,11,6,9,7,9,8,6,4,1
Christine Hope,,1,13,9,10,4,6,4,17,19,13,12,15,10,12,10,12,6,7,8,10,8,8,4,1
Christian Dicicco,,,0,4,3,4,1,2,8,11,10,8,9,12,5,5,7,6,5,4,6,4,2,3,1
Daniel R Sulman,,,,0,2,1,2,1,9,8,9,7,4,1,2,7,6,0,4,3,1,5,1,0,1
Joffie C Pittman,,,,,0,1,3,1,8,9,1,1,6,3,8,4,4,3,5,5,7,3,4,2,1
Gary S Silver,,,,,,0,3,2,3,4,10,4,5,5,6,4,1,5,1,3,3,2,3,0,1
Matthew Perks,,,,,,,0,2,3,4,2,5,7,4,3,7,2,3,3,4,3,0,3,2,1
Franklin A Bennett Iii,,,,,,,,0,2,1,4,2,0,3,2,3,2,3,0,2,3,1,1,0,1
Derek S Green,,,,,,,,,4,10,12,8,7,4,7,10,10,3,8,8,6,8,5,1,1
Sherrie Cohen,,,,,,,,,,1,14,9,15,9,10,5,7,9,9,0,5,6,3,3,1
Allan Domb,,,,,,,,,,,2,10,7,7,8,6,4,8,5,3,3,7,3,0,1
Ed Neilson,,,,,,,,,,,,9,4,5,3,8,2,3,3,3,1,7,1,2,1
Helen Gym,,,,,,,,,,,,,0,8,7,8,5,9,9,5,3,2,2,3,1
Frank Rizzo,,,,,,,,,,,,,,1,5,8,5,4,1,6,3,4,1,2,1
Thomas Wyatt,,,,,,,,,,,,,,,0,4,3,8,5,6,7,2,4,0,1
Isaiah Thomas,,,,,,,,,,,,,,,,0,7,3,4,8,2,6,1,0,1
Blondell Reynolds Brown,,,,,,,,,,,,,,,,,0,2,4,3,5,6,2,1,1
Paul Steinke,,,,,,,,,,,,,,,,,,0,5,1,2,1,0,0,1
William K Greenlee,,,,,,,,,,,,,,,,,,,0,1,2,2,0,0,1
Wilson Alexander,,,,,,,,,,,,,,,,,,,,1,5,3,3,0,1
Jenne Ayers,,,,,,,,,,,,,,,,,,,,,0,0,7,4,1
W Wilson Goode Jr,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
Carla M Cain,,,,,,,,,,,,,,,,,,,,,,,0,4,1
Marnie Aument Loughrey,,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,40,39,24,16,15,14,13,7,35,34,32,28,28,23,23,22,18,17,16,16,15,15,10,5,1
,Judge Of The Municipal Court - Democrat,,,,,,,,Council At Large - Democrat,,,,,,,,,,,,,,,,2
,Christine Hope,Christian Dicicco,Sharon Williams Losier,Joffie C Pittman,Matthew Perks,Gary S Silver,Franklin A Bennett Iii,Daniel R Sulman,Derek S Green,Frank Rizzo,Helen Gym,Blondell Reynolds Brown,Allan Domb,William K Greenlee,Ed Neilson,Sherrie Cohen,Jenne Ayers,Paul Steinke,W Wilson Goode Jr,Wilson Alexander,Marnie Aument Loughrey,Isaiah Thomas,Thomas Wyatt,Carla M Cain,2
Christine Hope,1,20,15,9,7,5,5,3,10,17,15,11,11,16,12,16,9,9,7,7,10,4,6,5,2
Christian Dicicco,,1,10,1,5,5,3,6,12,15,7,11,12,10,12,10,6,10,3,7,6,6,5,6,2
Sharon Williams Losier,,,1,11,6,1,3,4,14,7,10,6,7,8,7,12,11,4,9,6,5,7,6,4,2
Joffie C Pittman,,,,0,4,4,4,2,9,4,9,6,5,3,4,8,9,4,8,7,4,4,3,3,2
Matthew Perks,,,,,0,4,0,0,7,7,3,5,2,6,4,1,7,0,3,5,3,3,4,3,2
Gary S Silver,,,,,,0,2,0,7,4,5,4,6,3,5,3,4,5,3,2,4,1,1,2,2
