col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,division
,Judge Of The Superior Court - Democrat,,City Commissioners - Democrat,,,,,,All
,Alice Beck Dubow,Robert Colville,Anthony Clark,Carol A Jenkins,Omar Sabir,Lisa M Deeley,Tracey L Gordon,Will Mega,All
Alice Beck Dubow,748,0,"1,634","1,249","1,129","1,058",822,656,All
Robert Colville,,81,171,100,74,82,79,65,All
Anthony Clark,,,170,365,305,133,353,200,All
Carol A Jenkins,,,,49,90,378,211,81,All
Omar Sabir,,,,,86,435,129,107,All
Lisa M Deeley,,,,,,19,100,77,All
Tracey L Gordon,,,,,,,51,76,All
Will Mega,,,,,,,,20,All
Total,"4,645",432,"2,046","1,456","1,353","1,215","1,004",778,All
,Judge Of The Superior Court - Democrat,,City Commissioners - Democrat,,,,,,1
,Alice Beck Dubow,Robert Colville,Carol A Jenkins,Lisa M Deeley,Will Mega,Anthony Clark,Tracey L Gordon,Omar Sabir,1
Alice Beck Dubow,69,0,149,106,59,41,28,18,1
Robert Colville,,7,13,6,3,5,2,4,1
Carol A Jenkins,,,2,90,12,13,9,1,1
Lisa M Deeley,,,,1,4,6,5,7,1
Will Mega,,,,,1,4,3,4,1
Anthony Clark,,,,,,3,9,5,1
Tracey L Gordon,,,,,,,1,2,1
Omar Sabir,,,,,,,,0,1
Total,311,30,167,117,64,50,31,23,1
,Judge Of The Superior Court - Democrat,,City Commissioners - Democrat,,,,,,2
,Alice Beck Dubow,Robert Colville,Carol A Jenkins,Lisa M Deeley,Anthony Clark,Tracey L Gordon,Will Mega,Omar Sabir,2
Alice Beck Dubow,61,0,127,72,42,36,36,25,2
Robert Colville,,13,15,9,13,7,1,2,2
Carol A Jenkins,,,1,64,12,14,8,6,2
Lisa M Deeley,,,,0,1,4,4,7,2
Anthony Clark,,,,,3,16,7,7,2
Tracey L Gordon,,,,,,3,2,3,2
Will Mega,,,,,,,0,2,2
Omar Sabir,,,,,,,,1,2
Total,265,40,146,84,58,46,37,28,2
,Judge Of The Superior Court - Democrat,,City Commissioners - Democrat,,,,,,3
,Alice Beck Dubow,Robert Colville,Anthony Clark,Carol A Jenkins,Will Mega,Lisa M Deeley,Tracey L Gordon,Omar Sabir,3
Alice Beck Dubow,32,0,51,51,35,31,30,30,3
Robert Colville,,1,3,5,1,3,2,0,3
Anthony Clark,,,7,11,8,5,10,8,3
Carol A Jenkins,,,,5,5,14,11,3,3
Will Mega,,,,,0,0,4,4,3
Lisa M Deeley,,,,,,0,4,6,3
Tracey L Gordon,,,,,,,1,3,3
Omar Sabir,,,,,,,,0,3
Total,174,9,62,62,38,34,34,33,3
,Judge Of The Superior Court - Democrat,,City Commissioners - Democrat,,,,,,4
,Alice Beck Dubow,Robert Colville,Anthony Clark,Carol A Jenkins,Lisa M Deeley,Omar Sabir,Tracey L Gordon,Will Mega,4
Alice Beck Dubow,31,0,51,52,41,37,28,30,4
Robert Colville,,1,2,0,4,3,1,1,4
Anthony Clark,,,7,14,5,7,10,10,4
Carol A Jenkins,,,,1,14,3,8,2,4
Lisa M Deeley,,,,,0,18,5,2,4
Omar Sabir,,,,,,3,4,5,4
Tracey L Gordon,,,,,,,2,3,4
Will Mega,,,,,,,,0,4
Total,169,7,61,53,47,44,34,32,4
,Judge Of The Superior Court - Democrat,,City Commissioners - Democrat,,,,,,5
,Alice Beck Dubow,Robert Colville,Carol A Jenkins,Anthony Clark,Lisa M Deeley,Omar Sabir,Will Mega,Tracey L Gordon,5
Alice Beck Dubow,39,0,74,51,43,39,37,27,5
Robert Colville,,6,4,5,3,2,2,2,5
Carol A Jenkins,,,3,24,20,5,8,11,5
Anthony Clark,,,,3,4,9,7,7,5
Lisa M Deeley,,,,,2,11,4,4,5
Omar Sabir,,,,,,1,3,4,5
Will Mega,,,,,,,1,3,5
Tracey L Gordon,,,,,,,,0,5
Total,199,17,85,63,49,42,41,31,5
,Judge Of The Superior Court - Democrat,,City Commissioners - Democrat,,,,,,6
,Alice Beck Dubow,Robert Colville,Carol A Jenkins,Anthony Clark,Tracey L Gordon,Will Mega,Lisa M Deeley,Omar Sabir,6
Alice Beck Dubow,32,0,81,53,34,41,42,22,6
Robert Colville,,0,9,7,3,5,4,2,6
Carol A Jenkins,,,4,13,12,11,26,7,6
Anthony Clark,,,,11,13,9,6,7,6
Tracey L Gordon,,,,,12,5,6,4,6
Will Mega,,,,,,1,5,2,6
