col_1,col_2,col_3,col_4,division
,District Council 3rd District - Democrat,Judge Of The Superior Court - Democrat,,All
,Jannie L Blackwell,Alice Beck Dubow,Robert Colville,All
Jannie L Blackwell,359,910,130,All
Alice Beck Dubow,,243,0,All
Robert Colville,,,50,All
Total,"1,399","1,153",180,All
,District Council 3rd District - Democrat,Judge Of The Superior Court - Democrat,,1
,Jannie L Blackwell,Alice Beck Dubow,Robert Colville,1
Jannie L Blackwell,21,45,9,1
Alice Beck Dubow,,22,0,1
Robert Colville,,,3,1
Total,75,67,12,1
,District Council 3rd District - Democrat,Judge Of The Superior Court - Democrat,,2
,Jannie L Blackwell,Alice Beck Dubow,Robert Colville,2
Jannie L Blackwell,35,32,4,2
Alice Beck Dubow,,14,0,2
Robert Colville,,,1,2
Total,71,46,5,2
,District Council 3rd District - Democrat,Judge Of The Superior Court - Democrat,,3
,Jannie L Blackwell,Alice Beck Dubow,Robert Colville,3
Jannie L Blackwell,15,70,11,3
Alice Beck Dubow,,10,0,3
Robert Colville,,,2,3
Total,96,80,13,3
,District Council 3rd District - Democrat,Judge Of The Superior Court - Democrat,,4
,Jannie L Blackwell,Alice Beck Dubow,Robert Colville,4
Jannie L Blackwell,13,57,7,4
Alice Beck Dubow,,15,0,4
Robert Colville,,,6,4
Total,77,72,13,4
,District Council 3rd District - Democrat,Judge Of The Superior Court - Democrat,,5
,Jannie L Blackwell,Alice Beck Dubow,Robert Colville,5
Jannie L Blackwell,9,39,4,5
Alice Beck Dubow,,8,0,5
Robert Colville,,,2,5
Total,52,47,6,5
,District Council 3rd District - Democrat,Judge Of The Superior Court - Democrat,,6
,Jannie L Blackwell,Alice Beck Dubow,Robert Colville,6
Jannie L Blackwell,27,59,7,6
Alice Beck Dubow,,17,0,6
Robert Colville,,,11,6
Total,93,76,18,6
,District Council 3rd District - Democrat,Judge Of The Superior Court - Democrat,,7
,Jannie L Blackwell,Alice Beck Dubow,Robert Colville,7
Jannie L Blackwell,40,70,9,7
Alice Beck Dubow,,18,0,7
Robert Colville,,,7,7
Total,119,88,16,7
,District Council 3rd District - Democrat,Judge Of The Superior Court - Democrat,,8
,Jannie L Blackwell,Alice Beck Dubow,Robert Colville,8
Jannie L Blackwell,16,49,9,8
Alice Beck Dubow,,8,0,8
Robert Colville,,,1,8
Total,74,57,10,8
,District Council 3rd District - Democrat,Judge Of The Superior Court - Democrat,,9
,Jannie L Blackwell,Alice Beck Dubow,Robert Colville,9
Jannie L Blackwell,26,40,4,9
Alice Beck Dubow,,11,0,9
Robert Colville,,,1,9
Total,70,51,5,9
,District Council 3rd District - Democrat,Judge Of The Superior Court - Democrat,,10
,Jannie L Blackwell,Alice Beck Dubow,Robert Colville,10
Jannie L Blackwell,13,32,5,10
Alice Beck Dubow,,14,0,10
Robert Colville,,,2,10
Total,50,46,7,10
,District Council 3rd District - Democrat,Judge Of The Superior Court - Democrat,,11
,Jannie L Blackwell,Alice Beck Dubow,Robert Colville,11
Jannie L Blackwell,37,43,19,11
Alice Beck Dubow,,13,0,11
Robert Colville,,,0,11
Total,99,56,19,11
,District Council 3rd District - Democrat,Judge Of The Superior Court - Democrat,,12
,Jannie L Blackwell,Alice Beck Dubow,Robert Colville,12
Jannie L Blackwell,15,42,4,12
Alice Beck Dubow,,9,0,12
Robert Colville,,,1,12
Total,61,51,5,12
,District Council 3rd District - Democrat,Judge Of The Superior Court - Democrat,,13
,Jannie L Blackwell,Alice Beck Dubow,Robert Colville,13
Jannie L Blackwell,10,43,9,13
Alice Beck Dubow,,12,0,13
Robert Colville,,,1,13
Total,62,55,10,13
,District Council 3rd District - Democrat,Judge Of The Superior Court - Democrat,,14
,Jannie L Blackwell,Alice Beck Dubow,Robert Colville,14
Jannie L Blackwell,7,26,3,14
Alice Beck Dubow,,3,0,14
Robert Colville,,,1,14
Total,36,29,4,14
,District Council 3rd District - Democrat,Judge Of The Superior Court - Democrat,,15
,Jannie L Blackwell,Alice Beck Dubow,Robert Colville,15
Jannie L Blackwell,21,60,8,15
Alice Beck Dubow,,13,0,15
Robert Colville,,,3,15
Total,89,73,11,15
,District Council 3rd District - Democrat,Judge Of The Superior Court - Democrat,,16
,Jannie L Blackwell,Alice Beck Dubow,Robert Colville,16
Jannie L Blackwell,17,35,3,16
Alice Beck Dubow,,14,0,16
Robert Colville,,,1,16
Total,55,49,4,16
,Judge Of The Superior Court - Democrat,,District Council 3rd District - Democrat,17
,Alice Beck Dubow,Robert Colville,Jannie L Blackwell,17
Alice Beck Dubow,23,0,85,17
Robert Colville,,2,2,17
Jannie L Blackwell,,,16,17
Total,108,4,103,17
,District Council 3rd District - Democrat,Judge Of The Superior Court - Democrat,,18
,Jannie L Blackwell,Alice Beck Dubow,Robert Colville,18
Jannie L Blackwell,21,83,13,18
Alice Beck Dubow,,19,0,18
Robert Colville,,,5,18
Total,117,102,18,18
