col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,division
,Judge Of The Municipal Court - Democrat,,,,,,,,Council At Large - Democrat,,,,,,,,,,,,,,,,All
,Sharon Williams Losier,Christine Hope,Joffie C Pittman,Matthew Perks,Gary S Silver,Christian Dicicco,Franklin A Bennett Iii,Daniel R Sulman,Blondell Reynolds Brown,Derek S Green,W Wilson Goode Jr,William K Greenlee,Isaiah Thomas,Jenne Ayers,Allan Domb,Sherrie Cohen,Ed Neilson,Thomas Wyatt,Helen Gym,Wilson Alexander,Paul Steinke,Carla M Cain,Frank Rizzo,Marnie Aument Loughrey,All
Sharon Williams Losier,10,203,193,73,43,51,30,13,214,185,168,150,112,137,88,133,91,65,49,59,32,56,36,25,All
Christine Hope,,6,136,43,31,54,30,13,188,93,142,126,94,87,77,121,90,59,50,35,28,50,42,19,All
Joffie C Pittman,,,5,70,17,11,15,18,153,100,128,109,69,83,58,97,68,39,40,48,27,21,20,12,All
Matthew Perks,,,,3,25,18,16,10,65,97,39,38,47,60,38,34,14,43,22,45,28,22,16,10,All
Gary S Silver,,,,,1,11,17,13,42,50,33,27,34,21,37,22,12,36,15,13,15,25,16,9,All
Christian Dicicco,,,,,,2,16,4,49,40,45,34,38,28,22,35,15,19,24,12,13,17,19,6,All
Franklin A Bennett Iii,,,,,,,1,6,44,41,27,19,37,23,26,24,11,26,12,13,9,11,19,4,All
Daniel R Sulman,,,,,,,,1,27,14,14,18,20,8,15,14,4,11,12,3,10,3,4,3,All
Blondell Reynolds Brown,,,,,,,,,13,125,226,194,133,76,102,151,117,35,64,34,38,31,40,18,All
Derek S Green,,,,,,,,,,24,81,68,104,100,83,42,23,76,21,64,42,29,25,13,All
W Wilson Goode Jr,,,,,,,,,,,9,152,109,44,52,115,100,19,53,16,27,10,41,7,All
William K Greenlee,,,,,,,,,,,,10,79,24,59,111,103,23,40,11,15,10,16,8,All
Isaiah Thomas,,,,,,,,,,,,,13,45,73,58,35,43,36,13,35,13,30,7,All
Jenne Ayers,,,,,,,,,,,,,,10,49,43,14,36,23,56,16,38,19,10,All
Allan Domb,,,,,,,,,,,,,,,13,27,14,50,27,25,34,35,25,9,All
Sherrie Cohen,,,,,,,,,,,,,,,,0,84,23,44,9,23,27,20,19,All
Ed Neilson,,,,,,,,,,,,,,,,,4,10,21,7,6,5,12,6,All
Thomas Wyatt,,,,,,,,,,,,,,,,,,4,11,24,28,34,12,8,All
Helen Gym,,,,,,,,,,,,,,,,,,,5,5,17,9,16,9,All
Wilson Alexander,,,,,,,,,,,,,,,,,,,,8,9,12,9,5,All
Paul Steinke,,,,,,,,,,,,,,,,,,,,,1,13,9,3,All
Carla M Cain,,,,,,,,,,,,,,,,,,,,,,3,8,10,All
Frank Rizzo,,,,,,,,,,,,,,,,,,,,,,,3,3,All
Marnie Aument Loughrey,,,,,,,,,,,,,,,,,,,,,,,,0,All
Total,459,330,277,163,96,95,84,41,417,354,316,281,266,225,218,212,151,135,118,111,92,91,82,38,All
,Judge Of The Municipal Court - Democrat,,,,,,,,Council At Large - Democrat,,,,,,,,,,,,,,,,1
,Sharon Williams Losier,Christine Hope,Joffie C Pittman,Matthew Perks,Christian Dicicco,Franklin A Bennett Iii,Gary S Silver,Daniel R Sulman,Blondell Reynolds Brown,W Wilson Goode Jr,Allan Domb,Helen Gym,William K Greenlee,Derek S Green,Sherrie Cohen,Ed Neilson,Jenne Ayers,Thomas Wyatt,Isaiah Thomas,Carla M Cain,Paul Steinke,Wilson Alexander,Frank Rizzo,Marnie Aument Loughrey,1
Sharon Williams Losier,1,10,10,6,3,0,2,0,8,5,6,4,4,7,7,3,8,4,4,3,2,4,1,2,1
Christine Hope,,0,12,3,6,2,3,2,9,6,7,7,6,6,10,4,8,6,2,5,3,3,3,3,1
Joffie C Pittman,,,0,6,2,0,0,3,5,5,4,4,3,6,4,3,8,4,2,1,1,5,1,2,1
Matthew Perks,,,,0,3,3,1,1,6,5,4,2,2,8,3,0,2,3,5,1,4,3,2,0,1
Christian Dicicco,,,,,1,3,1,0,4,5,5,3,1,4,2,0,4,4,4,2,2,2,1,1,1
Franklin A Bennett Iii,,,,,,0,1,0,2,2,3,1,2,2,1,0,1,2,1,2,1,1,1,0,1
Gary S Silver,,,,,,,0,0,1,2,4,0,1,2,1,0,0,2,2,3,0,0,0,1,1
Daniel R Sulman,,,,,,,,0,0,0,2,0,1,1,1,0,1,1,1,0,1,1,0,0,1
Blondell Reynolds Brown,,,,,,,,,1,13,5,10,12,7,10,8,3,2,4,0,4,3,1,1,1
W Wilson Goode Jr,,,,,,,,,,0,3,10,9,5,4,7,3,1,7,1,1,1,3,1,1
Allan Domb,,,,,,,,,,,2,2,4,6,2,0,4,6,3,3,1,4,1,0,1
Helen Gym,,,,,,,,,,,,2,7,0,6,7,2,1,4,1,1,0,1,2,1
William K Greenlee,,,,,,,,,,,,,0,2,7,8,1,0,2,0,3,0,0,1,1
Derek S Green,,,,,,,,,,,,,,0,2,1,7,4,4,0,2,7,1,0,1
Sherrie Cohen,,,,,,,,,,,,,,,0,4,3,1,3,3,6,0,1,3,1
Ed Neilson,,,,,,,,,,,,,,,,0,1,0,1,0,1,0,1,0,1
Jenne Ayers,,,,,,,,,,,,,,,,,0,5,0,2,2,6,1,2,1
Thomas Wyatt,,,,,,,,,,,,,,,,,,0,1,4,1,4,0,1,1
Isaiah Thomas,,,,,,,,,,,,,,,,,,,0,2,2,1,1,1,1
Carla M Cain,,,,,,,,,,,,,,,,,,,,0,2,0,1,2,1
Paul Steinke,,,,,,,,,,,,,,,,,,,,,0,0,1,1,1
Wilson Alexander,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
Frank Rizzo,,,,,,,,,,,,,,,,,,,,,,,0,0,1
Marnie Aument Loughrey,,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,25,24,17,16,11,6,5,3,24,19,18,17,17,16,14,13,13,12,11,8,8,8,5,4,1
,Judge Of The Municipal Court - Democrat,,,,,,,,Council At Large - Democrat,,,,,,,,,,,,,,,,2
,Sharon Williams Losier,Christine Hope,Matthew Perks,Joffie C Pittman,Christian Dicicco,Gary S Silver,Daniel R Sulman,Franklin A Bennett Iii,Isaiah Thomas,Derek S Green,Jenne Ayers,Blondell Reynolds Brown,Allan Domb,Thomas Wyatt,W Wilson Goode Jr,William K Greenlee,Sherrie Cohen,Helen Gym,Carla M Cain,Ed Neilson,Frank Rizzo,Wilson Alexander,Paul Steinke,Marnie Aument Loughrey,2
Sharon Williams Losier,0,9,5,8,4,3,1,1,9,12,14,9,5,3,6,3,6,3,4,2,2,4,1,2,2
Christine Hope,,0,5,6,4,4,1,1,6,5,9,9,3,6,8,4,5,4,3,3,3,1,1,2,2
