col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,division
,Council At Large - Democrat,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,All
,Derek S Green,Blondell Reynolds Brown,W Wilson Goode Jr,Allan Domb,Isaiah Thomas,Helen Gym,Ed Neilson,Jenne Ayers,William K Greenlee,Sherrie Cohen,Wilson Alexander,Thomas Wyatt,Frank Rizzo,Carla M Cain,Paul Steinke,Marnie Aument Loughrey,Sharon Williams Losier,Christine Hope,Joffie C Pittman,Matthew Perks,Christian Dicicco,Daniel R Sulman,Gary S Silver,Franklin A Bennett Iii,All
Derek S Green,112,730,585,580,382,152,417,247,208,152,209,175,73,104,95,45,818,491,522,304,146,102,146,136,All
Blondell Reynolds Brown,,40,896,611,507,300,443,169,346,280,92,103,158,95,108,45,792,586,534,237,190,158,135,136,All
W Wilson Goode Jr,,,29,480,478,249,395,122,278,232,64,72,168,54,86,20,644,510,474,201,152,146,108,112,All
Allan Domb,,,,72,284,134,366,125,164,118,76,115,86,72,67,33,572,435,356,150,113,84,119,71,All
Isaiah Thomas,,,,,66,183,145,129,197,159,61,102,125,73,99,24,442,367,289,169,134,106,104,105,All
Helen Gym,,,,,,29,42,104,144,219,34,47,45,74,56,38,229,186,238,127,90,167,50,59,All
Ed Neilson,,,,,,,1,30,124,45,24,29,20,11,20,18,382,244,226,90,48,24,30,33,All
Jenne Ayers,,,,,,,,17,67,100,135,75,32,101,44,36,332,187,204,177,76,55,71,51,All
William K Greenlee,,,,,,,,,4,174,35,45,77,41,44,19,237,212,210,111,91,99,68,78,All
Sherrie Cohen,,,,,,,,,,4,35,49,56,84,51,25,233,197,201,102,90,110,85,66,All
Wilson Alexander,,,,,,,,,,,13,73,24,27,25,11,192,93,131,135,38,29,42,40,All
Thomas Wyatt,,,,,,,,,,,,6,29,62,66,22,140,144,108,89,59,40,78,48,All
Frank Rizzo,,,,,,,,,,,,,6,18,16,9,111,108,68,55,74,43,42,47,All
Carla M Cain,,,,,,,,,,,,,,8,23,26,136,145,71,62,52,33,63,37,All
Paul Steinke,,,,,,,,,,,,,,,1,22,107,85,101,48,42,43,36,32,All
Marnie Aument Loughrey,,,,,,,,,,,,,,,,3,56,56,28,24,35,13,21,24,All
Sharon Williams Losier,,,,,,,,,,,,,,,,,36,572,526,215,149,76,119,116,All
Christine Hope,,,,,,,,,,,,,,,,,,11,414,152,158,67,99,108,All
Joffie C Pittman,,,,,,,,,,,,,,,,,,,10,215,70,176,53,52,All
Matthew Perks,,,,,,,,,,,,,,,,,,,,6,54,94,61,47,All
Christian Dicicco,,,,,,,,,,,,,,,,,,,,,5,43,51,33,All
Daniel R Sulman,,,,,,,,,,,,,,,,,,,,,,1,39,23,All
Gary S Silver,,,,,,,,,,,,,,,,,,,,,,,8,58,All
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,,,,,,2,All
Total,"1,518","1,469","1,250","1,046",977,594,587,546,536,499,342,327,268,263,230,107,"1,453",973,960,562,331,315,300,242,All
,Council At Large - Democrat,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,1
,Blondell Reynolds Brown,W Wilson Goode Jr,Derek S Green,Isaiah Thomas,William K Greenlee,Helen Gym,Allan Domb,Jenne Ayers,Sherrie Cohen,Ed Neilson,Carla M Cain,Frank Rizzo,Thomas Wyatt,Wilson Alexander,Paul Steinke,Marnie Aument Loughrey,Sharon Williams Losier,Christine Hope,Joffie C Pittman,Daniel R Sulman,Matthew Perks,Franklin A Bennett Iii,Christian Dicicco,Gary S Silver,1
Blondell Reynolds Brown,2,54,25,35,41,29,24,13,27,11,7,8,4,5,8,1,41,39,40,19,15,12,11,9,1
W Wilson Goode Jr,,1,20,30,31,27,15,14,21,11,5,10,4,4,4,0,36,34,36,15,10,9,13,7,1
Derek S Green,,,5,20,19,9,20,15,8,10,8,5,6,9,5,3,25,26,21,8,10,7,4,3,1
Isaiah Thomas,,,,1,24,12,16,14,11,10,4,8,5,2,6,0,26,29,22,11,8,6,7,5,1
William K Greenlee,,,,,0,17,15,4,23,10,5,7,3,2,4,2,24,21,27,14,10,8,7,5,1
Helen Gym,,,,,,0,8,10,17,3,6,1,3,3,4,1,20,18,17,14,6,7,4,3,1
Allan Domb,,,,,,,2,5,7,7,1,4,3,4,3,2,13,16,15,7,7,7,5,4,1
Jenne Ayers,,,,,,,,2,5,1,6,2,5,6,2,1,17,14,13,5,9,4,3,3,1
Sherrie Cohen,,,,,,,,,0,3,3,4,1,2,3,1,17,15,15,13,7,7,5,4,1
Ed Neilson,,,,,,,,,,0,0,3,2,0,1,1,10,11,9,1,1,1,3,1,1
Carla M Cain,,,,,,,,,,,0,0,3,4,1,1,9,10,5,2,6,4,1,1,1
Frank Rizzo,,,,,,,,,,,,0,0,1,0,0,6,5,5,2,1,3,3,3,1
Thomas Wyatt,,,,,,,,,,,,,0,3,4,1,4,9,6,2,7,3,2,2,1
Wilson Alexander,,,,,,,,,,,,,,1,0,0,6,5,4,1,9,3,0,1,1
Paul Steinke,,,,,,,,,,,,,,,0,2,5,6,5,3,2,2,2,1,1
Marnie Aument Loughrey,,,,,,,,,,,,,,,,0,2,3,2,0,0,3,0,0,1
Sharon Williams Losier,,,,,,,,,,,,,,,,,1,33,21,6,10,11,9,5,1
Christine Hope,,,,,,,,,,,,,,,,,,2,28,9,14,11,7,3,1
Joffie C Pittman,,,,,,,,,,,,,,,,,,,2,20,8,2,3,2,1
Daniel R Sulman,,,,,,,,,,,,,,,,,,,,0,2,0,1,1,1
Matthew Perks,,,,,,,,,,,,,,,,,,,,,0,5,2,2,1
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,,,,0,3,4,1
Christian Dicicco,,,,,,,,,,,,,,,,,,,,,,,0,3,1
Gary S Silver,,,,,,,,,,,,,,,,,,,,,,,,0,1
Total,87,71,62,58,54,40,38,36,35,19,14,14,14,14,13,4,65,63,57,27,25,18,17,12,1
,Judge Of The Municipal Court - Democrat,,,,,,,,Council At Large - Democrat,,,,,,,,,,,,,,,,2
,Sharon Williams Losier,Joffie C Pittman,Christine Hope,Matthew Perks,Daniel R Sulman,Christian Dicicco,Franklin A Bennett Iii,Gary S Silver,Derek S Green,Blondell Reynolds Brown,Allan Domb,W Wilson Goode Jr,Isaiah Thomas,Wilson Alexander,Helen Gym,Jenne Ayers,William K Greenlee,Ed Neilson,Sherrie Cohen,Thomas Wyatt,Carla M Cain,Paul Steinke,Frank Rizzo,Marnie Aument Loughrey,2
Sharon Williams Losier,1,19,20,10,5,7,8,4,33,28,23,19,20,18,13,15,10,11,9,7,8,5,4,0,2
Joffie C Pittman,,0,7,13,5,1,4,3,22,17,15,10,11,11,8,12,8,5,6,6,1,5,2,0,2
Christine Hope,,,0,4,3,5,6,3,15,17,13,11,13,6,6,7,9,3,5,3,5,5,5,1,2
Matthew Perks,,,,0,5,1,0,2,15,11,6,8,6,9,4,9,4,7,3,3,3,4,1,0,2
Daniel R Sulman,,,,,0,3,3,5,9,8,4,6,5,3,6,1,6,4,4,5,5,4,2,1,2
Christian Dicicco,,,,,,0,2,0,4,4,2,5,3,2,4,4,5,1,5,0,5,1,4,0,2
Franklin A Bennett Iii,,,,,,,0,1,9,11,2,7,6,2,1,3,6,1,6,2,4,0,0,0,2
Gary S Silver,,,,,,,,0,7,7,2,2,3,4,1,3,2,0,1,8,1,2,1,1,2
Derek S Green,,,,,,,,,2,33,17,16,13,18,8,11,8,13,6,7,5,5,2,1,2
Blondell Reynolds Brown,,,,,,,,,,2,24,18,16,10,7,8,11,13,6,7,8,7,5,2,2
Allan Domb,,,,,,,,,,,6,14,11,6,7,5,7,9,2,2,2,4,3,0,2
W Wilson Goode Jr,,,,,,,,,,,,0,13,3,7,3,7,10,5,4,4,4,2,0,2
Isaiah Thomas,,,,,,,,,,,,,0,4,8,3,3,4,5,6,4,6,5,2,2
Wilson Alexander,,,,,,,,,,,,,,0,2,9,3,0,2,3,0,1,3,0,2
Helen Gym,,,,,,,,,,,,,,,1,2,2,2,6,2,4,5,3,0,2
Jenne Ayers,,,,,,,,,,,,,,,,1,6,1,5,2,3,2,1,0,2
William K Greenlee,,,,,,,,,,,,,,,,,0,2,6,3,5,2,2,0,2
Ed Neilson,,,,,,,,,,,,,,,,,,0,2,1,2,2,0,0,2
Sherrie Cohen,,,,,,,,,,,,,,,,,,,1,2,4,2,1,0,2
Thomas Wyatt,,,,,,,,,,,,,,,,,,,,0,1,3,2,1,2
Carla M Cain,,,,,,,,,,,,,,,,,,,,,0,1,1,1,2
Paul Steinke,,,,,,,,,,,,,,,,,,,,,,0,1,1,2
Frank Rizzo,,,,,,,,,,,,,,,,,,,,,,,0,1,2
Marnie Aument Loughrey,,,,,,,,,,,,,,,,,,,,,,,,0,2
Total,61,35,31,26,17,14,12,12,59,53,38,37,32,25,24,23,19,18,16,14,12,12,9,3,2
,Judge Of The Municipal Court - Democrat,,,,,,,,Council At Large - Democrat,,,,,,,,,,,,,,,,3
,Sharon Williams Losier,Joffie C Pittman,Christine Hope,Matthew Perks,Christian Dicicco,Daniel R Sulman,Franklin A Bennett Iii,Gary S Silver,Blondell Reynolds Brown,Derek S Green,Allan Domb,W Wilson Goode Jr,Jenne Ayers,Helen Gym,Isaiah Thomas,Sherrie Cohen,Wilson Alexander,Ed Neilson,Thomas Wyatt,William K Greenlee,Carla M Cain,Paul Steinke,Frank Rizzo,Marnie Aument Loughrey,3
Sharon Williams Losier,0,25,24,15,9,4,4,2,32,32,26,26,30,14,24,11,13,11,7,5,6,5,4,4,3
Joffie C Pittman,,0,15,18,4,10,2,2,17,25,18,17,20,16,14,13,13,5,11,5,2,4,5,1,3
Christine Hope,,,1,9,11,4,3,2,24,19,19,15,16,13,13,11,5,6,6,4,7,2,4,3,3
Matthew Perks,,,,0,4,6,1,1,12,15,10,11,16,10,9,4,12,3,7,4,3,1,3,1,3
Christian Dicicco,,,,,0,4,2,2,10,8,9,6,7,10,5,8,2,1,4,1,4,3,2,5,3
Daniel R Sulman,,,,,,0,2,0,7,4,7,8,6,12,6,6,2,2,3,4,2,3,2,2,3
Franklin A Bennett Iii,,,,,,,0,3,5,4,4,4,5,3,5,5,3,2,1,0,2,1,2,1,3
Gary S Silver,,,,,,,,0,2,4,5,2,4,1,2,2,1,1,3,0,2,2,1,1,3
Blondell Reynolds Brown,,,,,,,,,3,23,24,30,11,21,21,17,3,13,2,9,5,2,1,3,3
Derek S Green,,,,,,,,,,2,21,16,23,8,15,7,16,8,11,1,6,4,1,3,3
Allan Domb,,,,,,,,,,,4,18,12,12,11,9,6,12,10,3,3,5,4,4,3
W Wilson Goode Jr,,,,,,,,,,,,2,11,20,17,13,3,10,2,7,1,4,4,1,3
Jenne Ayers,,,,,,,,,,,,,2,9,15,5,14,3,8,2,5,5,4,5,3
Helen Gym,,,,,,,,,,,,,,3,14,16,1,1,2,6,4,6,3,2,3
Isaiah Thomas,,,,,,,,,,,,,,,1,8,4,5,2,3,3,5,3,2,3
Sherrie Cohen,,,,,,,,,,,,,,,,1,2,2,2,6,3,2,4,0,3
Wilson Alexander,,,,,,,,,,,,,,,,,0,2,5,0,2,1,1,0,3
Ed Neilson,,,,,,,,,,,,,,,,,,0,1,4,1,0,2,0,3
Thomas Wyatt,,,,,,,,,,,,,,,,,,,0,1,3,4,2,3,3
William K Greenlee,,,,,,,,,,,,,,,,,,,,0,1,0,2,0,3
Carla M Cain,,,,,,,,,,,,,,,,,,,,,0,0,0,1,3
Paul Steinke,,,,,,,,,,,,,,,,,,,,,,0,0,2,3
Frank Rizzo,,,,,,,,,,,,,,,,,,,,,,,0,1,3
Marnie Aument Loughrey,,,,,,,,,,,,,,,,,,,,,,,,0,3
Total,60,46,41,31,19,17,11,8,54,51,48,47,45,42,39,27,19,17,16,13,11,11,8,7,3
,Council At Large - Democrat,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,4
,Helen Gym,Blondell Reynolds Brown,W Wilson Goode Jr,Sherrie Cohen,Derek S Green,William K Greenlee,Isaiah Thomas,Allan Domb,Jenne Ayers,Thomas Wyatt,Carla M Cain,Paul Steinke,Frank Rizzo,Ed Neilson,Wilson Alexander,Marnie Aument Loughrey,Joffie C Pittman,Daniel R Sulman,Sharon Williams Losier,Matthew Perks,Christine Hope,Christian Dicicco,Franklin A Bennett Iii,Gary S Silver,4
Helen Gym,7,58,54,43,22,38,26,14,12,7,6,9,4,3,1,2,70,64,32,46,29,13,11,6,4
Blondell Reynolds Brown,,1,55,35,27,40,16,14,9,3,3,3,6,5,4,2,38,22,29,9,29,12,8,10,4
W Wilson Goode Jr,,,0,36,25,34,20,11,10,6,2,4,7,4,2,0,36,24,26,14,28,8,9,6,4
Sherrie Cohen,,,,0,10,27,11,6,6,3,9,6,0,3,1,1,25,20,25,11,18,5,7,7,4
Derek S Green,,,,,2,14,12,16,8,8,1,3,1,5,9,1,28,14,18,8,21,6,4,5,4
William K Greenlee,,,,,,0,7,10,3,2,1,3,3,4,1,1,23,12,21,7,19,7,8,6,4
Isaiah Thomas,,,,,,,1,6,7,4,3,5,3,0,1,0,15,13,17,9,15,2,5,3,4
Allan Domb,,,,,,,,1,8,6,4,5,3,4,6,1,13,6,13,8,12,8,3,6,4
Jenne Ayers,,,,,,,,,1,4,6,1,1,1,4,1,9,5,13,6,11,4,2,2,4
Thomas Wyatt,,,,,,,,,,0,2,5,3,1,3,0,9,6,7,7,4,2,0,3,4
Carla M Cain,,,,,,,,,,,1,2,0,1,0,2,2,3,7,2,7,3,3,3,4
Paul Steinke,,,,,,,,,,,,0,0,2,0,0,9,8,3,5,0,3,1,3,4
Frank Rizzo,,,,,,,,,,,,,0,1,0,0,3,3,4,1,3,3,1,0,4
Ed Neilson,,,,,,,,,,,,,,0,0,0,7,3,2,2,4,3,2,2,4
Wilson Alexander,,,,,,,,,,,,,,,0,0,4,0,3,3,5,1,0,2,4
Marnie Aument Loughrey,,,,,,,,,,,,,,,,0,0,1,2,0,1,2,0,1,4
Joffie C Pittman,,,,,,,,,,,,,,,,,0,63,18,41,17,7,4,4,4
Daniel R Sulman,,,,,,,,,,,,,,,,,,0,8,37,7,5,1,2,4
Sharon Williams Losier,,,,,,,,,,,,,,,,,,,1,9,23,8,5,6,4
Matthew Perks,,,,,,,,,,,,,,,,,,,,0,8,0,3,2,4
Christine Hope,,,,,,,,,,,,,,,,,,,,,0,7,9,3,4
Christian Dicicco,,,,,,,,,,,,,,,,,,,,,,1,2,2,4
Franklin A Bennett Iii,,,,,,,,,,,,,,,,,,,,,,,0,3,4
Gary S Silver,,,,,,,,,,,,,,,,,,,,,,,,0,4
Total,133,81,78,56,53,50,40,33,27,18,14,13,11,9,9,4,93,72,56,53,51,19,15,14,4
,Council At Large - Democrat,,,,,,,,,,,,,,,,Judge Of The Municipal Court - Democrat,,,,,,,,5
,Blondell Reynolds Brown,Helen Gym,W Wilson Goode Jr,Sherrie Cohen,Isaiah Thomas,William K Greenlee,Derek S Green,Jenne Ayers,Allan Domb,Carla M Cain,Frank Rizzo,Paul Steinke,Thomas Wyatt,Wilson Alexander,Marnie Aument Loughrey,Ed Neilson,Joffie C Pittman,Daniel R Sulman,Sharon Williams Losier,Christine Hope,Matthew Perks,Christian Dicicco,Franklin A Bennett Iii,Gary S Silver,5
Blondell Reynolds Brown,4,54,59,47,33,38,19,15,18,3,6,8,4,4,4,3,50,33,30,16,10,7,7,5,5
Helen Gym,,2,39,51,21,36,8,15,11,7,6,5,2,1,4,1,45,37,20,13,6,10,6,3,5
W Wilson Goode Jr,,,0,35,26,40,17,9,19,1,9,6,5,3,2,4,40,27,24,17,7,5,9,4,5
Sherrie Cohen,,,,1,15,35,11,12,9,8,2,6,3,3,3,4,40,28,18,10,9,7,6,4,5
Isaiah Thomas,,,,,3,13,15,15,14,5,6,3,5,1,2,4,24,14,22,18,7,8,6,3,5
William K Greenlee,,,,,,0,9,4,8,1,3,6,2,0,1,3,35,26,15,9,7,2,4,2,5
Derek S Green,,,,,,,3,7,11,3,2,3,8,5,1,4,16,8,16,12,10,3,4,3,5
Jenne Ayers,,,,,,,,0,6,10,5,4,1,3,4,1,15,6,19,10,5,8,4,4,5
Allan Domb,,,,,,,,,0,2,5,3,5,4,2,0,16,8,15,14,4,1,2,3,5
Carla M Cain,,,,,,,,,,1,2,1,0,0,2,1,5,2,10,6,3,3,1,2,5
Frank Rizzo,,,,,,,,,,,0,0,0,0,3,0,3,4,6,4,2,4,3,1,5
Paul Steinke,,,,,,,,,,,,0,1,1,1,0,12,4,5,3,5,1,0,0,5
Thomas Wyatt,,,,,,,,,,,,,0,2,0,1,4,2,3,5,3,0,1,0,5
Wilson Alexander,,,,,,,,,,,,,,0,1,1,4,2,2,2,3,1,2,1,5
Marnie Aument Loughrey,,,,,,,,,,,,,,,0,0,3,0,4,5,1,4,2,1,5
Ed Neilson,,,,,,,,,,,,,,,,0,3,3,2,2,3,1,2,0,5
Joffie C Pittman,,,,,,,,,,,,,,,,,0,43,20,15,10,3,4,2,5
